roll_number,ranking,schoolname,address1,county,schooltype,pupils,latitude,longitude,ed_id,ed_english
18133S,NULL,FIONNTAIN NFA N S,Mayglass,Wexford,primary,116,52.2437624,-6.5163918,247086,MAYGLASS
18135W,NULL,SCOIL ANGELA,Ursuline Convent,Tipperary,primary,250,52.6804031,-7.8116467,217162,THURLES URBAN
18137D,NULL,SN NAOMH FEARGAL BOYS SENIOR,FINGLAS WEST,Dublin,primary,153,53.3906692,-6.3122566,268063,FINGLAS NORTH A
18139H,NULL,S N NAOMH PADRAIG,TEARMON,Leitrim,primary,15,53.9434509,-8.0949297,NULL,NULL
18142T,NULL,SCOIL CNOC LOINGE B,KNOCKLONG,Limerick,primary,97,52.4367599,-8.4103468,127103,KNOCKLONG
18145C,NULL,SN NMH TREASA,Swinford Road,Mayo,primary,32,53.8717922,-8.8502415,157096,KILKELLY
18148I,NULL,SCOIL BHRIDE MIXED N S,Lann Léire,Louth,primary,208,999,999,NULL,NULL
18150S,NULL,FRAOCH MOR N S,Scoil an Fhraoich Mhóir,Laois,primary,235,53.0559654,-7.2245185,107011,BALLYCARROLL
18151U,NULL,S N MHUIRE,Convent Road,Donegal,primary,174,55.0901623,-7.7039313,57121,MILLFORD
18153B,NULL,S N PADRAIG NAOFA C,Gardiner's Hill,Cork,primary,175,51.9080245,-8.4542617,48047,MONTENOTTE A
18154D,NULL,S N PADRAIG NAOFA,Dillon's Cross,Cork,primary,125,51.9079786,-8.4541753,48047,MONTENOTTE A
18157J,NULL,ST RYNAGHS N S,BANAGHER,Offaly,primary,246,53.1873558,-7.9847267,187009,BANAGHER
18158L,NULL,S N SEAMUS NAOFA,Robinstown,Kilkenny,primary,104,52.349831,-7.0498612,97069,KILMAKEVOGE
18161A,NULL,CASTLECONNELL N S,Castleconnell,Limerick,primary,232,52.7137704,-8.4954094,127041,CASTLECONNELL
18163E,NULL,SN N BREANDAIN,EANACH DHUIN,Galway,primary,146,53.3881317,-9.0710338,67009,ANNAGHDOWN
18164G,NULL,S N BUIRGHEAS,NENAGH,Tipperary,primary,68,52.8642968,-8.1975561,217177,NENAGH EAST URBAN
18165I,NULL,TISRARA NATIONAL SCHOOL,Tisrara,Roscommon,primary,42,53.5093653,-8.2244065,197082,LACKAN
18166K,NULL,CLUAIN EIDHNEACH N S,CLUAIN EIDHNEACH,Laois,primary,73,53.0091704,-7.4259715,107096,TRUMRA
18167M,NULL,S N AINE NFA SEAFIELD,Seafield,Waterford,primary,82,52.1405503,-7.365204,227066,KNOCKMAHON
18168O,NULL,S N AN CHRIOCH,AN CHRIOCH,Clare,primary,32,52.6406999,-9.4859374,37099,KILRUSH URBAN
18169Q,NULL,S N RATH RIAGAIN,Rathregan,Meath,primary,102,53.4733161,-6.5429216,167030,DUNSHAUGHLIN
18170B,NULL,SN MUIRE NA FREASTOGALA GIRLS SEN,Assumption Senior Girls NS,Dublin,primary,243,53.3237501,-6.3403586,268154,WALKINSTOWN A
18172F,NULL,GLENEELY N S,Gleneely,Donegal,primary,67,54.766961,-7.6843206,57074,GLENEELY
18173H,NULL,S N BRIOTAS,Brittas,Dublin,primary,113,53.2278972,-6.4475768,257046,KILBRIDE
18174J,NULL,S N CAITRIONA NAOFA,Oristown,Meath,primary,139,53.7202678,-6.7896773,167089,TELTOWN
18177P,NULL,SCOIL AINE NAOFA,Rathkeale,Limerick,primary,169,52.5245911,-8.940201,127123,RATHKEALE URBAN
18178R,NULL,ST JOSEPHS CONVENT,Dublin Road,Longford,primary,544,53.7259178,-7.7943857,NULL,NULL
18179T,NULL,S N BRIDE,Lackagh,Kildare,primary,146,53.1661797,-7.007829,87061,LACKAGH
18181G,NULL,St. Hugh's N.S.,Dowra,Leitrim,primary,49,54.1900827,-8.0162777,27041,DOWRA
18182I,NULL,NAOMH ATRACHTA,KINGSLAND,Roscommon,primary,39,53.9722082,-8.2972757,197022,BOYLE URBAN
18183K,NULL,QUEEN OF UNIVERSE N S,Long Range,Carlow,primary,259,52.7016947,-6.9632934,NULL,NULL
18184M,NULL,S N CILL LÚRAIGH,Causeway,Kerry,primary,77,52.2713096,-9.6999325,NULL,NULL
18186Q,NULL,SCOIL PHADRAIG NAOFA,Carrickedmond,Louth,primary,201,54.0443335,-6.4252305,147023,FAUGHART
18190H,NULL,S N CRONAIN NFA AN CARN,Carron,Clare,primary,19,54.869728,-6.709796,NULL,NULL
18191J,NULL,S N RAITHIN,RAHEEN,Wexford,primary,146,52.5068183,-6.5819746,247045,ENNISCORTHY RURAL
18193N,NULL,S N NAOMH FIONTAN,Lismacaffrey,Westmeath,primary,52,53.7133456,-7.4592591,237018,BOHERQUILL
18194P,NULL,CIARAN NAOFA,Cooly,Roscommon,primary,74,53.6131024,-8.2591228,197063,FUERTY
18196T,NULL,St Patrick's National School,Boherash,Cork,primary,135,52.1923902,-8.3583493,47159,GLANWORTH WEST
18198A,NULL,PADRAIG NAOFA N S,AVOCA,Wicklow,primary,184,52.852058,-6.2067213,257012,BALLYARTHUR
18203N,NULL,SCOIL NÁISIÚNTA CÚIL an tSÚDAIRE 2,Sandy Lane,Laois,primary,100,53.1565625,-7.1895938,107078,PORTARLINGTON SOUTH
18205R,NULL,S N AN PHAROISTE,Church Street,Dublin,primary,62,53.3881981,-6.3035177,268064,FINGLAS NORTH B
18206T,NULL,NA CARRAIGE N S,Rock,Laois,primary,207,53.1152482,-7.2874551,107089,SHAEN
18207V,NULL,S N BAILE AN ATHA,Grange Road,Tipperary,primary,424,52.811933,-8.4360827,217009,BALLINA
18212O,NULL,SCOIL NA MAIGHDINE MHUIRE,Harbour Street,Westmeath,primary,359,53.5281035,-7.3431528,237106,MULLINGAR NORTH URBAN
18213Q,NULL,S N LEAMHACH,Leugh,Tipperary,primary,120,52.6801064,-7.8044421,217162,THURLES URBAN
18214S,NULL,SN Cill Conla,CILL CONLA,Kerry,primary,48,52.51108,-9.67097,77104,KILLEHENNY
18217B,NULL,SCOIL PADRE PIO N S,Churchfield Terrace West,Cork,primary,289,51.9070851,-8.4921628,48016,CHURCHFIELD
18219F,NULL,SN CHONAILL,Machaire Chlochair,Donegal,primary,87,55.060874,-8.3003485,57114,MAGHERACLOGHER
18225A,NULL,S N MHUIRE MILIUC,LUIMNEACH,Clare,primary,112,52.6638367,-8.6267343,128033,SHANNON A
18227E,NULL,SCOIL MHUIRE NAISIUNTA,Newtown,Clare,primary,114,52.9367617,-9.0689919,37042,CORROFIN
18233W,NULL,St Johns Parochial School,Ashe Street,Kerry,primary,41,52.2702762,-9.7036322,NULL,NULL
18234B,NULL,SCOIL NAOMH PADRAIG,Oram,Monaghan,primary,81,54.1430348,-6.6958674,177021,CHURCH HILL
18235D,NULL,S N MUIRE AN PORT MOR,Ross Road,Waterford,primary,211,52.2671181,-7.1035588,228015,FERRYBANK
18236F,NULL,Scoil Naomh Mhuire National School,BEAL ATHA DA THUILLE,Limerick,primary,35,51.8757359,-8.7388287,47007,AGLISH
18241V,NULL,SCOIL NAOMH CHOLMCILLE,DRUMMAN,Donegal,primary,77,55.0421631,-7.7045811,57010,BALLYARR
18242A,NULL,CARNEW N S,Carnew,Wicklow,primary,203,52.7683762,-6.5695433,257001,AGHOWLE
18246I,NULL,S N BAILE MUINE,Ballymoney,Cork,primary,30,51.7309256,-8.9508551,47034,BALLYMONEY
18247K,NULL,S N MHUIRE NA MBRAITHRE,Clounalour,Kerry,primary,437,52.2729968,-9.6994739,NULL,NULL
18250W,NULL,S N BAILE MOR,Ballymore,Donegal,primary,18,55.1641699,-7.9189865,57006,ARDS
18251B,NULL,AYR HILL N S RAMELTON,Tank Road,Donegal,primary,19,55.0361286,-7.6473155,57128,RATHMELTON
18252D,NULL,SCOIL MHUIRE,Doire Glinne,Galway,primary,27,53.4289358,-9.4228802,67162,LETTERFORE
18253F,NULL,SCOIL NAOMH CAITRIONA,Bishopstown Avenue,Cork,primary,434,51.8866804,-8.5161602,48008,BISHOPSTOWN C
18256L,NULL,SCOIL BHRIGHDE,Tyholland,Monaghan,primary,70,54.277768,-6.905835,177069,TEHALLAN
18257N,NULL,S N BAILE AN FHASAIGH,Ballyfacey,Kilkenny,primary,60,52.6111912,-7.1956896,97081,OUTRATH
18258P,NULL,NAOMH EARNAIN N S,KILLASHEE,Longford,primary,24,53.6812889,-7.8793228,137038,KILLASHEE
18259R,NULL,Lanesborough Primary School,Lanesborough,Longford,primary,84,53.6734789,-7.9873911,137054,RATHCLINE
18260C,NULL,SCOIL MHUIRE,Broadford,Limerick,primary,164,52.3459314,-8.9693569,127030,BROADFORD
18262G,NULL,LOCHAN AN BHEALAIGH N S,Loughanavally,Westmeath,primary,64,53.48674,-7.52606,237026,CHURCHTOWN
18265M,NULL,BHRIDE N S,Ardough,Laois,primary,18,52.7969624,-7.0473423,107004,ARDOUGH
18266O,NULL,BALLYGOWN NS,CASTLETOWNROCHE,Cork,primary,130,52.1919524,-8.5196894,47093,CLENOR
18267Q,NULL,CROINCHOILL N S,Crinkill,Offaly,primary,241,53.0801657,-7.896068,187012,BIRR RURAL
18268S,NULL,S N CILLININ,Killeeneen,Galway,primary,229,53.2208688,-8.8076794,67127,KILLEELY
18272J,NULL,Lecarrow Community National School,Lecarrow,Roscommon,primary,8,53.5424697,-8.0412653,197083,LECARROW
18279A,NULL,St Mary's Church of Ireland N.S,Waterpark,Cork,primary,211,51.8155338,-8.3753185,47072,CARRIGALINE
18280I,NULL,SCOIL NAOMH IOSEPH,Gorey,Wexford,primary,504,52.6776154,-6.3091831,247052,GOREY RURAL
18282M,NULL,SN PAROISTE MAITIU NFA,Cranfield Place,Dublin,primary,223,53.3367752,-6.2211187,268111,PEMBROKE EAST B
18283O,NULL,SCOIL MHUIRE,Knockognoe,Kerry,primary,53,52.3127219,-9.2764796,77083,GNEEVES
18285S,NULL,S N CILL CHUIMIN,Thurles,Tipperary,primary,38,52.6922641,-8.1467772,217076,FOILNAMAN
18286U,NULL,S N NA HACRAI,Acres,Donegal,primary,69,54.9845286,-8.4326581,57133,RUTLAND
18287W,NULL,S N NA MAIGHDINE MHUIRE,Garrisker,Kildare,primary,67,52.7633671,-8.8981188,37128,NEWMARKET
18288B,NULL,SCOIL MHICHIL NAOFA,Mount Hawkins,Kildare,primary,621,52.9938127,-6.9808268,87090,ATHY EAST URBAN
18289D,NULL,SCOIL NAOMH IOSEF,Castlehackett,Galway,primary,59,53.4495441,-8.9828516,67138,KILLOWER
18292P,NULL,GAELSCOIL AN TEAGHLAIGH NAOFA,Tory Top Road,Cork,primary,224,51.8837102,-8.475349,48004,BALLYPHEHANE A
18294T,NULL,BARR NA SRUTHAN N S,BARR NA SRUTHAN,Laois,primary,64,53.1181481,-7.3267379,107072,MOUNTMELLICK URBAN
18295V,NULL,S N MIN AN AOIRE,Meenaneary,Donegal,primary,18,54.7011948,-8.60977,57072,GLENCOLUMBKILLE
18296A,NULL,DROMDHALLAGH N S,Drimoleague,Cork,primary,58,51.6623206,-9.2612339,47137,DROMDALEAGUE SOUTH
18298E,NULL,S N CUL FADA,Culfadda,Sligo,primary,86,54.026314,-8.47512,207041,DRUMRAT
18301N,NULL,SN MHUIRE BNS,Killarney Road,Cork,primary,108,52.0601766,-9.0709889,47114,COOMLOGANE
18308E,NULL,S N MOIN NA GCAOR,Monageer,Wexford,primary,155,52.52746,-6.47917,247112,TINNACROSS
18309G,NULL,SCOIL BRIDE,Cooloo,Galway,primary,23,53.4580841,-8.643754,67180,MOYNE
18312S,NULL,S N TALAMH NA MANACH,TALAMH NA MANACH,Louth,primary,130,54.0022769,-6.1735471,147005,CARLINGFORD
18315B,NULL,S N PADRAIG NFA,Courtnacuddy,Wexford,primary,130,52.4852039,-6.6951085,247034,CASTLEBORO
18316D,NULL,S N FHURSA,Lyre,Cork,primary,75,52.1294606,-8.8935092,47040,BANTEER
18318H,NULL,S N NAOMH PARTHALAN,CIONN SAILE BEAG,Waterford,primary,74,51.9542704,-7.8471707,47323,YOUGHAL URBAN
18319J,NULL,S N TRIANTA,Triantagh,Donegal,primary,32,54.9558392,-7.7342787,NULL,NULL
18321T,NULL,S N MUIRE MAGH DEILGE,Modeligo,Waterford,primary,51,52.0936763,-7.6203627,NULL,NULL
18322V,NULL,S N AN DROMA,Drom,Tipperary,primary,57,52.794802,-7.8398609,217156,TEMPLEMORE
18323A,NULL,SCOIL LORCAIN B,The Oval,Dublin,primary,379,53.3524352,-6.3683784,267108,PALMERSTON VILLAGE
18324C,NULL,SCOIL BRIDE C,Turret Road,Dublin,primary,388,53.352239,-6.3700372,267108,PALMERSTON VILLAGE
18325E,NULL,NAOMH CHARTHAIGH,College Road,Kerry,primary,56,52.2350768,-9.4561959,77044,CASTLEISLAND
18326G,NULL,S N NAOMH PADRAIG,CILL CHAIS,Tipperary,primary,64,52.3603161,-7.6769618,217176,CLONMEL EAST URBAN
18327I,NULL,S N CNOC DOIRE,KNOCKERRA,Clare,primary,33,52.6406999,-9.4859374,37099,KILRUSH URBAN
18328K,NULL,S N PHADRAIG,Ballybryan,Offaly,primary,127,53.3563231,-7.1495455,187004,BALLYBURLY
18329M,NULL,S N NAOMH MHUIRE,Leckaun,Leitrim,primary,37,54.2766103,-8.4760888,207081,SLIGO NORTH
18331W,NULL,S N CAOIMHIN NAOFA,Clonlisk National School,Offaly,primary,81,52.9477679,-7.9097944,187066,MOUNTHEATON
18332B,NULL,SCOIL NAOMH PADRAIG,Moylough,Galway,primary,152,53.4874616,-8.5627043,67176,MOUNT BELLEW
18334F,NULL,S N CNOC MIONNA,Turlaghraun,Sligo,primary,85,54.0898288,-8.5171827,207009,BALLYMOTE
18335H,NULL,S N MHUIRE NAOFA,Rathcobican,Offaly,primary,152,53.3395366,-7.1977344,187007,BALLYMACWILLIAM
18336J,NULL,BOOLAVOGUE N S,Boolavogue,Wexford,primary,123,52.554883,-6.419875,247110,THE HARROW
18339P,NULL,SN IOSEF NAOFA,Maigh Mór,Clare,primary,34,52.9291363,-9.3448337,37059,ENNISTIMON
18340A,NULL,S N PADRAIG,Lisboduff,Cavan,primary,55,54.0723537,-7.2270017,27076,RAKENNY
18343G,NULL,S N CHAOIMHGHIN,Littleton,Tipperary,primary,95,52.6801064,-7.8044421,217162,THURLES URBAN
18344I,NULL,S N MHUIRE,Moynalvey,Meath,primary,131,53.4747663,-6.6818896,167054,KILMORE
18345K,NULL,S N IOSEF NAOFA,Corville,Tipperary,primary,331,52.938974,-7.7853853,217152,ROSCREA
18346M,NULL,S N GREACH RATHAIN,Greaghrahan,Cavan,primary,44,54.1019056,-7.4496679,NULL,NULL
18347O,NULL,S N SAN NIOCLAS,NICHOLAS ST,Louth,primary,153,54.0092751,-6.4004131,NULL,NULL
18350D,NULL,S N NA HINSE,Bouladuff,Tipperary,primary,75,52.6801064,-7.8044421,217162,THURLES URBAN
18355N,NULL,Aughadreena National School,Aughadreena,Cavan,primary,97,53.9350537,-7.2198352,27082,STRADONE
18356P,NULL,S N BARRA NAOFA,Gilabbey Terrace,Cork,primary,89,51.8938155,-8.4832133,48028,GILLABBEY A
18357R,NULL,S N PADRAIG NAOFA,Curtlestown,Wicklow,primary,69,53.18337,-6.22501,257036,ENNISKERRY
18358T,NULL,S N FIACH,Ballinacree,Meath,primary,76,53.7684757,-7.2326584,167049,KILLEAGH
18359V,NULL,S N CUAN,Kilbaha,Clare,primary,24,52.5705484,-9.8616683,37070,KILBALLYOWEN
18360G,NULL,SCOIL BHREANDAIN,McAuley Road,Dublin,primary,157,53.3841553,-6.1958847,268076,HARMONSTOWN A
18361I,NULL,SN CAITRIONA GIRLS,Measc Avenue,Dublin,primary,177,53.3882315,-6.199216,268087,KILMORE D
18362K,NULL,S N CAITRIONA NAIONAIN,Measc Avenue,Dublin,primary,248,53.3848105,-6.19839,268076,HARMONSTOWN A
18363M,NULL,S N MUIRE GAN SMAL,Green Lane,Carlow,primary,415,52.8381735,-6.9229213,NULL,NULL
18364O,NULL,St Patrick's National School,Gilroy Avenue,Offaly,primary,221,53.3399471,-7.0673302,187036,EDENDERRY URBAN
18365Q,NULL,KILMACANOGUE N S,Kilmacanogue,Wicklow,primary,247,53.168564,-6.140065,257051,KILMACANOGE
18366S,NULL,S N AODAIN,Hollyfield,Sligo,primary,10,54.4087965,-8.4073735,207067,ROSSINVER EAST
18367U,NULL,S N TOINN AN TAIRBH,CAPPAMORE,Limerick,primary,107,52.5974424,-8.3868163,127035,CAHERCONLISH EAST
18368W,NULL,MHUIRE FATIMA N S,Timahoe,Laois,primary,147,52.962755,-7.1989539,107093,TIMAHOE
18369B,NULL,S N CILL RUADHAIN,Nenagh,Tipperary,primary,137,52.8642968,-8.1975561,217177,NENAGH EAST URBAN
18371L,NULL,SCOIL MHUIRE,AN CRAOSLOCH,Donegal,primary,128,999,999,NULL,NULL
18377A,NULL,IOSEF NAOFA,Barrack Hill,Cork,primary,99,52.1446532,-8.2801177,47152,FERMOY URBAN
18378C,NULL,S N NAOMH IOSEPH,Halverstown,Kildare,primary,58,53.0897743,-6.7619505,87088,USK
18379E,NULL,BARNANE N S,Barnane,Tipperary,primary,51,52.7896838,-7.9113559,217028,BORRISNAFARNEY
18380M,NULL,S N FAICHE LIAG,Faithlegg,Waterford,primary,204,52.2619678,-7.0028722,NULL,NULL
18381O,NULL,SCOIL NA MBRAITHRE,College Street,Westmeath,primary,412,53.5263156,-7.3471845,237106,MULLINGAR NORTH URBAN
18382Q,NULL,SCOIL BHRIDE,Shelagh,Louth,primary,30,54.0390541,-6.5582592,147012,CREGGAN UPPER
18386B,NULL,MARIST NATIONAL SCHOOL,Clogher Road,Dublin,primary,283,53.3262223,-6.2928866,268092,KIMMAGE C
18387D,NULL,S N CATRIONA NFA,Ballyhack,Wexford,primary,57,52.2420168,-6.9513715,247014,BALLYHACK
18388F,NULL,SCOIL NAOMH MICHEAL,Church Road,Cork,primary,84,51.8958828,-8.4200703,48042,MAHON A
18391R,NULL,Faughart Community National School,Faughart,Louth,primary,46,54.0399025,-6.3798916,147003,BALLYMASCANLAN
18393V,NULL,S N CILLIN,Crossreagh,Cavan,primary,91,53.8541555,-7.0121788,27031,CROSSBANE
18395C,NULL,S N CLUAIN NA CILLE,Cloonakille,Roscommon,primary,429,53.4266094,-8.0222085,197008,ATHLONE WEST RURAL
18396E,NULL,S N RATH EILTE,THURLES,Tipperary,primary,97,52.7144074,-7.7613535,217145,RAHELTY
18399K,NULL,S N BHRIDE,Ballyboy,Offaly,primary,97,53.1741815,-7.6966193,187050,KILCORMAC
18401R,NULL,SCOIL MHUIRE,Glaslough,Monaghan,primary,85,54.3082807,-6.8993936,177046,GLASLOUGH
18405C,NULL,S N PHOIL NAOFA,Lyster Street,Westmeath,primary,138,53.4207277,-7.942654,237005,ATHLONE WEST URBAN
18406E,NULL,S N PHROINSIAIS NAOFA,Kilbeggan Road,Offaly,primary,216,53.341414,-7.6092878,187018,CLARA
18410S,NULL,S N LIOSCEANUIR,Liscannor,Clare,primary,72,52.9383667,-9.3922452,37111,LISCANNOR
18411U,NULL,ST MARYS SCHOOL,Greenhills Road,Dublin,primary,341,53.2907367,-6.3572766,267148,TALLAGHT-TYMON
18412W,NULL,S N C NAOMH PADRAIG,Portrane Road,Dublin,primary,437,53.4927349,-6.1354285,267065,DONABATE
18413B,NULL,S N NAOMH TREASA,BELLEWSTOWN,Meath,primary,98,53.6432479,-6.3533802,167003,ARDCATH
18414D,NULL,S N GLEANN BEITHE,Glenbeigh,Kerry,primary,75,52.05616,-9.9404001,77078,GLANBEHY
18421A,NULL,SN DUN CEANNFHAOLAIDH,Dunkineely,Donegal,primary,93,54.6320711,-8.3570787,57059,DUNKINEELY
18422C,NULL,SCOIL NA NOG,GLEANN MAGHAIR,Cork,primary,65,51.9189438,-8.3975473,NULL,NULL
18424G,NULL,SCOIL NAIS IOSEF NAOFA,St. Joseph's Road,Carlow,primary,137,52.8391521,-6.9225702,NULL,NULL
18426K,NULL,SCOIL IDE NAOFA,Raheenagh,Limerick,primary,78,52.376179,-9.043791,127014,BALLINTOBER
18428O,NULL,S N BAILE NORA,Ballynora,Cork,primary,256,51.8602863,-8.575988,47016,BALLINCOLLIG
18429Q,NULL,S N MHUIRE,CUL RONAIN,Meath,primary,25,53.5237764,-6.9709788,167046,KILLACONNIGAN
18430B,NULL,S N BAILE ROIBEAIRD,Robertstown,Kildare,primary,206,53.269268,-6.8153164,87082,ROBERTSTOWN
18431D,NULL,SN DROICHEAD NA BANDAN,Clancool More,Cork,primary,220,51.73725,-8.7445819,47033,BALLYMODAN
18432F,NULL,S N BAILE UI FHIDHNE,Scramogue,Roscommon,primary,98,53.7675268,-8.0512541,197025,BUMLIN
18433H,NULL,NAOMH PIUS X N S,Ballacolla,Laois,primary,31,53.0328123,-7.2987933,NULL,NULL
18434J,NULL,RATHCOYLE N S,Rathcoyle Upper,Wicklow,primary,74,52.9165213,-6.524683,257064,RATHDANGAN
18435L,NULL,SACRED HEART PRIMARY SCHOOL,Newline,Tipperary,primary,143,52.9492581,-7.7988825,217152,ROSCREA
18441G,NULL,SCOIL NAOMH CHUAN,Killimor,Galway,primary,22,53.159153,-8.2017784,67208,TIRANASCRAGH
18443K,NULL,S N IOSEF NAOFA,Aglish,Tipperary,primary,38,52.938974,-7.7853853,217152,ROSCREA
18444M,NULL,S N CLOGACH,Clogagh North,Cork,primary,31,999,999,NULL,NULL
18445O,NULL,S N SCOIL TREASA,Kilshanroe,Kildare,primary,113,53.3830752,-6.8895767,87035,DUNFIERTH
18446Q,NULL,SCOIL NAOMH MHUIRE,Carnmalin,Donegal,primary,73,51.8757359,-8.7388287,47007,AGLISH
18448U,NULL,S N RATH BEAGAIN,Rathbeggan,Meath,primary,189,53.4765013,-6.5033287,167030,DUNSHAUGHLIN
18449W,NULL,ST CONLETHS N S,Derrinturn,Kildare,primary,306,53.341078,-6.938547,87017,CARBURY
18451J,NULL,SCOIL LORCÁIN,Cearnóg Eaton,Dublin,primary,484,53.296584,-6.1647249,267018,BLACKROCK-SEAPOINT
18453N,NULL,S N MHICHIL NAOFA,CILL,Meath,primary,86,999,999,NULL,NULL
18454P,NULL,S N NAOMH TREASA,CARRAIGIN RUA,Roscommon,primary,91,999,999,NULL,NULL
18459C,NULL,SCOIL MHUIRE,CILL MHEANMAN,Tipperary,primary,32,52.6840722,-7.8256982,217161,THURLES RURAL
18460K,NULL,SN BAILE AN MHUILINN,Milltown,Galway,primary,102,53.5141156,-8.8565177,67212,TUAM URBAN
18461M,NULL,S N MUIRE NA DOIRINI,Dreeny,Cork,primary,32,51.5559244,-9.2621303,47294,SKIBBEREEN URBAN
18462O,NULL,SCOIL LORCAIN BNS,St. John's Park,Waterford,primary,350,52.2431036,-7.1060274,228038,GRANGE NORTH
18464S,NULL,St. Peter's Primary School,Hawthorn Road,Wicklow,primary,167,53.2068644,-6.11874,257082,RATHMICHAEL (BRAY)
18465U,NULL,S N LIOS AN HALLA,Lissenhall,Tipperary,primary,129,52.8349727,-8.2431388,217044,CARRIGATOGHER
18467B,NULL,S N BAILE AN DROICHID,Bridgetown,Clare,primary,105,52.7527002,-8.498597,37130,O'BRIENSBRIDGE
18468D,NULL,SCOIL MHUIRE,Castledonovan,Cork,primary,23,51.6906315,-9.2799215,47138,DROMDALEAGUE NORTH
18470N,NULL,NAOMH BRID N S,Knockananna,Wicklow,primary,66,52.925413,-6.633135,257069,TALBOTSTOWN
18471P,NULL,S N RATH CORR,Rathcor,Louth,primary,67,53.9876615,-6.1953833,147032,RATHCOR
18472R,NULL,SCOIL CHAITRIONA,Ballynoe,Cork,primary,116,52.0531541,-8.1092003,47038,BALLYNOE
18473T,NULL,AN CHROI RO NAOFA N S,Main Street,Wicklow,primary,263,52.8559337,-6.3259331,257005,AUGHRIM
18475A,NULL,S N BAILE UI CHROININ,BALLYCRONEEN,Cork,primary,40,51.8911438,-8.1568527,47105,CLOYNE
18477E,NULL,SCOIL NA MBRATHAR,John Dillon Street,Dublin,primary,155,53.3414075,-6.2734884,268099,MERCHANTS QUAY B
18482U,NULL,MHUIRE GRANSLA,Latgallan,Monaghan,primary,66,54.2025136,-7.16519,NULL,NULL
18484B,NULL,MHUIRE N S,RATH AIRNE,Westmeath,primary,117,53.5259334,-7.3381378,237106,MULLINGAR NORTH URBAN
18486F,NULL,S N CILL SIOLAIN,Chapel Road,Tipperary,primary,118,52.3650835,-7.5828047,NULL,NULL
18487H,NULL,S N NAOMH MHUIRE,Fearann,Cork,primary,186,51.8757359,-8.7388287,47007,AGLISH
18488J,NULL,SCOIL NAOMH GOBNAIT,CUl NA SMEAR,Waterford,primary,143,52.0936763,-7.6203627,NULL,NULL
18489L,NULL,TINAHELY N S,TINAHELY,Wicklow,primary,116,52.7979891,-6.4580063,257071,TINAHELY
18490T,NULL,SN M AN CROI GAN SMAL,LEENANE,Galway,primary,18,53.5955956,-9.6931325,67161,LETTERBRICKAUN
18491V,NULL,S N GARRAN AN EASAIGH,KILLBRITTAIN,Cork,primary,62,57.7626967,-7.0809009,NULL,NULL
18492A,NULL,S N NAOMH BRIGHID,COILL NA GCROS,Leitrim,primary,55,53.9451156,-8.0861878,NULL,NULL
18494E,NULL,ST LOUIS INFANT SCHOOL,Park Road,Monaghan,primary,236,54.2458204,-6.9756941,NULL,NULL
18497K,NULL,LITTLE ISLAND NS,Little Island,Cork,primary,183,51.9008815,-8.3626381,47064,CAHERLAG
18500T,NULL,S N NAOMH COLMCILLE,Mount Hanover,Meath,primary,104,53.6747741,-6.3733899,167028,DULEEK
18501V,NULL,GRANGEMOCKLER NS,Grangemockler,Tipperary,primary,58,52.3455905,-7.4117508,NULL,NULL
18502A,NULL,S N NAOMH BRID,Talbotstown,Wicklow,primary,71,52.925413,-6.633135,257069,TALBOTSTOWN
18503C,NULL,S N NAOMH BRID C,OIRREAMH,Mayo,primary,56,53.7961666,-9.2641548,157026,BALLYHEAN
18504E,NULL,S N N MAOLMHAODHAGH B,Anne Street,Louth,primary,229,54.0008006,-6.407115,NULL,NULL
18505G,NULL,NAOMH CLAR N S,Tubberclare,Westmeath,primary,273,53.4623795,-7.7531877,237038,DRUMRANEY
18508M,NULL,NAOMH ADHAMHNAIN,Laghey,Donegal,primary,76,54.6190971,-8.0891958,57104,LAGHY
18509O,NULL,AN TEAGHLAIGH NAOFA Girls Junior,Military Road,Waterford,primary,285,52.262001,-7.1108699,228013,CUSTOM HOUSE B
18510W,NULL,St Patrick's National School,Ballymurphy,Carlow,primary,41,52.5712891,-6.8604934,17007,BALLYMURPHY
18512D,NULL,St Francis National School,GARRYSHANE,Tipperary,primary,40,52.5397056,-8.1404438,217106,KILMUCKLIN
18513F,NULL,NAOMH PADRAIG N S,DOIRE LIAIM OIG,Laois,primary,88,53.1123357,-7.4057653,107086,ROSENALLIS
18514H,NULL,S N CHOILM CHILLE,An Tulach,Galway,primary,104,53.23979,-9.49897,67122,KILCUMMIN
18515J,NULL,PROSPEROUS N S,Prosperous,Kildare,primary,531,53.2873689,-6.7510008,87031,DOWNINGS
18516L,NULL,S N LIOS NA GROI,Lisnagry,Limerick,primary,333,52.6804585,-8.511954,127027,BALLYVARRA
18517N,NULL,SCOIL MHUIRE,Dristernan,Donegal,primary,123,55.2418276,-7.1511231,57073,GLENEELY
18518P,NULL,S N CORR LORGAN,Corlurgan,Cavan,primary,90,53.93492,-7.2075901,27093,WATERLOO
18520C,NULL,SCOIL PHADRAIG,Rashenny,Donegal,primary,144,55.2623901,-7.4101702,57136,STRAID
18524K,NULL,S N NAOMH BRIGHDE BUACH,Kilcruttin,Offaly,primary,171,53.2714728,-7.5039702,187087,TULLAMORE URBAN
18526O,NULL,BALLYCAR N S,Ballycar,Clare,primary,30,52.7682952,-8.8532932,37149,TOMFINLOUGH
