roll_number,ranking,schoolname,address1,county,schooltype,pupils,latitude,longitude,ed_id,ed_english
04077I,NULL,SCOIL NAIS BHRIDE,Grange,Carlow,primary,223,52.837568,-6.7821554,17021,GRANGEFORD
04118T,NULL,LEAMLARA MIXED N S,Leamlara,Cork,primary,178,51.96986,-8.2639146,47240,LISGOOLD
04152T,NULL,S N CNOC AN BHILE,Knockavilla,Cork,primary,150,51.8008055,-8.6848101,47058,BRINNY
04186N,NULL,S N BHIORAINN,Berrings,Cork,primary,195,51.9374329,-8.6974398,47135,DRIPSEY
04210H,NULL,KILMESSAN MXD N S,Kilmessan,Meath,primary,234,53.5607122,-6.6626897,167053,KILMESSAN
04230N,NULL,SCOIL NAOMH EOIN,Ballincurrig,Cork,primary,87,51.9892109,-8.228013,47302,TEMPLEBODAN
04442F,NULL,KYLE N S,Kyle,Cork,primary,29,51.9531544,-7.9419843,47103,CLONPRIEST
04466T,NULL,BALLYMARTIN N S,Manister,Limerick,primary,96,52.45026,-8.74915,127049,COOLRUS
04469C,NULL,S N FIODHNACH,Feenagh,Limerick,primary,62,52.3901188,-8.8801067,127070,FEENAGH
04487E,NULL,S N NAITHI NAOFA,Achonry,Sligo,primary,86,54.0801158,-8.6606961,207057,LEITRIM
04506F,NULL,SCOIL NA NGASUR,Maree Road,Galway,primary,266,53.2640706,-8.9309954,67184,ORANMORE
04515G,NULL,SCOIL AN LINBH IOSA,St Francis Street,Galway,primary,205,53.275753,-9.0537997,NULL,NULL
04548V,NULL,SCOIL SEANAIN NAOFA,Clonlara,Clare,primary,314,52.7242526,-8.5543906,37103,KILTENANLEA
04578H,NULL,BALLYVONGANE MIXED N S,Ballyvongane,Cork,primary,28,51.9319823,-8.8591582,47182,KILBERRIHERT
04620D,NULL,THOMASTOWN N S,Ardobireen,Tipperary,primary,82,52.4934094,-8.0190559,217160,THOMASTOWN
04796R,NULL,BRACKLOON N S,Brackloon,Mayo,primary,152,53.7545927,-9.5641037,157107,KNAPPAGH
04800F,NULL,ROOSKEY N S,Rooskey,Roscommon,primary,120,53.8322125,-7.927312,197096,ROOSKY
04802J,NULL,CLOONACOOL N S,Cloonacool,Sligo,primary,114,54.100753,-8.7778571,NULL,NULL
04809A,NULL,SCOIL AN AINGIL CHOIMHEADAI,"An Céideadh,",Donegal,primary,29,54.9973526,-8.4185728,57133,RUTLAND
04919H,NULL,CRATLOE N S,Cratloe,Clare,primary,283,52.6995085,-8.7554178,37043,CRATLOE
04953H,NULL,BALLYHASS MIXED N S,Ballyhass,Cork,primary,189,52.1741854,-8.804743,47280,ROSKEEN
04992R,NULL,SCOIL AN CROI NAOFA,St Canice's Road,Dublin,primary,457,53.3840933,-6.2738992,268011,BALLYGALL C
05062A,NULL,KELLS PAROCHIAL N S,Navan Road,Meath,primary,74,53.7246994,-6.8670271,NULL,NULL
05070W,NULL,S N BAILE MUIRNE,Ballymurn,Wexford,primary,118,52.5068183,-6.5819746,247045,ENNISCORTHY RURAL
05115S,NULL,S N AN LEANA MOR,Lenamore,Longford,primary,45,53.6212481,-7.6308386,137032,FOXHALL
05120L,NULL,LEHINCH N S,Lissatava,Mayo,primary,8,53.6595962,-9.0749359,157059,COONARD
05144C,NULL,NEW INN B N S,New Inn,Tipperary,primary,76,52.5159097,-7.8915829,217046,CASHEL URBAN
05164I,NULL,SCOIL NAOMH CHOLMCILLE,Oileán Thoraí,Donegal,primary,15,55.265006,-8.2245634,57119,MEENACLADY
05220P,NULL,S N MICHIL NAOFA,Woodbrook,Roscommon,primary,25,53.9451156,-8.0861878,NULL,NULL
05230S,NULL,COMHSCOIL CHONMHA S N,Main Street,Donegal,primary,90,54.8329204,-7.4822384,57038,CLONLEIGH SOUTH
05253H,NULL,O CALLAGHANS MILLS N S,Iragh,Clare,primary,61,52.8404847,-8.672218,37092,KILLURAN
05257P,NULL,PRESENTATION CONVENT,Dunmanway Road,Cork,primary,227,51.7488353,-8.7439316,47325,BANDON
05348S,NULL,Tahilla Community National School,Tahilla,Kerry,primary,15,51.8339385,-9.8228468,77156,TAHILLA
05477G,NULL,LARAGH N S,Laragh,Cork,primary,176,51.7578958,-8.7899784,47186,KILBROGAN
05501A,NULL,SCOIL NAOIMH EANNA,Killanny,Monaghan,primary,216,53.9583425,-6.6496118,147027,KILLANNY
05508O,NULL,ST COLUMBAS N.S,With Facility for Deaf Children,Cork,primary,401,41.3511757,-88.8415563,NULL,NULL
05513H,NULL,CASTLEPOLLARD MIXED N S,Water Street,Westmeath,primary,141,53.6815554,-7.2961493,237069,KINTURK
05548D,NULL,SN BAILE MHIC AIRT,S.N. Bhaile Mhic Airt,Waterford,primary,60,52.0067506,-7.6399254,227011,BALLYMACART
05565D,NULL,TRAFRASK MIXED N S,Trafrask,Cork,primary,37,51.6872472,-9.6648601,47002,ADRIGOLE
05600C,NULL,CLOCHAR SAN DOMINIC,Convent Road,Dublin,primary,222,53.2923398,-6.1379416,267077,DUN LAOGHAIRE-WEST CENTRAL
05627W,NULL,BAILIEBORO MODEL N S,Bailieborough,Cavan,primary,106,53.9171451,-6.9739934,27004,BAILIEBOROUGH
05630L,NULL,SCOIL MHICHIL NA BUACHAILLI,Patrick Street,Meath,primary,315,53.5515853,-6.7915623,NULL,NULL
05636A,NULL,DUNMANWAY MODEL N S,Bantry Road,Cork,primary,100,51.7171333,-9.1157026,47146,DUNMANWAY SOUTH
05656G,NULL,S N AN GHOILIN,Goleen,Cork,primary,28,51.4938734,-9.7095644,47163,GOLEEN
05754G,NULL,S N CREACHMHAOIL,Crinnage,Galway,primary,335,53.2368366,-8.7514183,67072,CRAUGHWELL
05756K,NULL,BURRISCARRA N S,Carrownacon,Mayo,primary,17,53.736857,-9.2428788,157043,BURRISCARRA
05916G,NULL,St. Anne's National School,Main Street,Westmeath,primary,149,53.3888652,-7.3757224,237012,BALLYKILMORE
05927L,NULL,CHURCH HILL MIXED N S,Church Hill,Kilkenny,primary,169,52.5999798,-7.3082575,97049,GRANGE
05933G,NULL,PRESENTATION PRIMARY SCHOOL,George's Hill,Dublin,primary,128,53.3483489,-6.2715493,268082,INNS QUAY C
05940D,NULL,SCOIL URSULA,Blackrock Road,Cork,primary,145,51.8956964,-8.4145188,48042,MAHON A
05970M,NULL,SCOIL BARR DUBH,Barraduff,Kerry,primary,84,52.0593017,-9.3358106,77087,HEADFORT
06028F,NULL,ROCKCORRY N S,Rockcorry,Monaghan,primary,28,54.1178982,-7.0148382,177032,DAWSONGROVE
06044D,NULL,S N CILL CUILE,Kilcooley,Galway,primary,102,53.2005581,-8.455274,67143,KILMEEN
06100K,NULL,S N CILL RONAIN,Keadue West,Roscommon,primary,22,54.0656885,-8.1770617,197064,KEADEW
06117E,NULL,DOOHAMLET N S,Doohamlet,Monaghan,primary,128,54.1291448,-6.8306647,177029,CREMARTIN
06176U,NULL,BLESSINGTON 1 N S,Blessington Demesne,Wicklow,primary,215,53.1759855,-6.5459079,257016,BLESSINGTON
06200O,NULL,BOOTERSTOWN BOYS,Grotto Place,Dublin,primary,307,53.3089988,-6.1987888,267019,BLACKROCK-BOOTERSTOWN
06209J,NULL,ATHY MODEL SCHOOL,Tomard,Kildare,primary,97,53.0032201,-6.9856007,87001,ATHY RURAL
06227L,NULL,SN MHAOLCHEADAIR,An Charraig,Kerry,primary,31,55.104545,-8.2860586,57119,MEENACLADY
06295F,NULL,FREEMOUNT MIXED N S,Freemount,Cork,primary,87,52.2780563,-8.8845035,47009,ALLOW
06342L,NULL,VICARSTOWN MIXED N S,Gilclough,Cork,primary,127,51.9547081,-8.6565838,47250,MATEHY
06489S,NULL,S N AN TSAILEAIN,Sylane,Galway,primary,90,53.5141156,-8.8565177,67212,TUAM URBAN
06516S,NULL,KILDIMO NATIONAL SCHOOL,Kildimo,Limerick,primary,189,52.6211635,-8.8115252,127023,BALLYNACARRIGA
06539H,NULL,KNOCKEA NATIONAL SCHOOL,Knockea,Limerick,primary,207,52.6061053,-8.5722058,127130,ROXBOROUGH
06576N,NULL,DROMIN N S,Dromin,Louth,primary,99,53.8444493,-6.4444094,147015,DROMIN
06621P,NULL,Ringville National School,Ballinlaw,Kilkenny,primary,51,52.2987762,-7.0342952,97057,KILCOLUMB
06658P,NULL,KILADANGAN N S,Kiladangan National School,Tipperary,primary,126,52.9311708,-8.2390214,217115,KNIGH
