roll_number,gaeltacht_indicator,deis,island,irish_classification,ethos
18575E,N ,N ,N ,No subjects through Irish,Catholic
60081P,N ,N ,N ,No subjects taught through Irish,CATHOLIC
20273A,N ,N ,N ,No subjects through Irish,Catholic
17633K,N ,N ,N ,No subjects through Irish,Catholic
62530F,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
18487H,N ,N ,N ,No subjects through Irish,Catholic
17200C,N ,N ,N ,No subjects through Irish,Catholic
19882S,N ,N ,N ,All subjects through Irish,Catholic
19307H,N ,N ,N ,No subjects through Irish,Catholic
20265B,N ,N ,N ,All subjects through Irish,Catholic
19913D,N ,Y ,N ,No subjects through Irish,Catholic
17203I,Y ,N ,N ,All subjects through Irish,Catholic
19698C,N ,N ,N ,No subjects through Irish,Catholic
20177E,N ,N ,N ,No subjects through Irish,Multi Denominational
08512U,N ,N ,N ,No subjects through Irish,Catholic
19910U,N ,Y ,N ,No subjects through Irish,Multi Denominational
61681V,N ,N ,N ,No subjects taught through Irish,CATHOLIC
65090S,N ,N ,N ,No subjects taught through Irish,CATHOLIC
63290Q,N ,N ,N ,No subjects taught through Irish,CATHOLIC
01583I,N ,N ,N ,No subjects through Irish,Catholic
71430C,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
15046I,N ,Y ,N ,No subjects through Irish,Catholic
60262T,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
20428D,N ,N ,N ,All subjects through Irish,Multi Denominational
19494J,N ,N ,N ,No subjects through Irish,Catholic
12676D,N ,N ,N ,No subjects through Irish,Catholic
18717V,N ,N ,N ,No subjects through Irish,Catholic
19529C,Y ,N ,N ,Some subjects through Irish,Catholic
07442U,N ,N ,N ,No subjects through Irish,Catholic
20447H,N ,N ,N ,No subjects through Irish,Catholic
19857T,N ,N ,N ,All subjects through Irish,Catholic
19828M,Y ,N ,N ,All subjects through Irish,Catholic
18003F,N ,N ,N ,No subjects through Irish,Catholic
19018A,N ,N ,N ,No subjects through Irish,Catholic
76334I,N ,N ,N ,No subjects taught through Irish,CATHOLIC
16911H,N ,N ,N ,No subjects through Irish,Catholic
18683H,N ,Y ,N ,No subjects through Irish,Catholic
13571R,N ,N ,N ,No subjects through Irish,Catholic
18044T,N ,N ,N ,No subjects through Irish,Catholic
16671N,Y ,Y ,N ,All subjects through Irish,Catholic
14468G,N ,N ,N ,No subjects through Irish,Catholic
20035H,N ,Y ,N ,No subjects through Irish,Catholic
17615I,N ,N ,N ,No subjects through Irish,Catholic
18128C,N ,N ,N ,No subjects through Irish,Catholic
71241W,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
72170H,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
15342M,N ,N ,N ,No subjects through Irish,Catholic
18086M,N ,Y ,N ,No subjects through Irish,Church Of Ireland
19467G,N ,N ,N ,No subjects through Irish,Catholic
20194E,N ,N ,N ,No subjects through Irish,Catholic
17290G,N ,N ,N ,No subjects through Irish,Catholic
19871N,N ,N ,N ,No subjects through Irish,Catholic
20171P,N ,N ,N ,No subjects through Irish,Multi Denominational
15628H,N ,N ,N ,No subjects through Irish,Catholic
16746S,N ,N ,N ,No subjects through Irish,Catholic
19686S,N ,N ,N ,No subjects through Irish,Catholic
18686N,N ,N ,N ,No subjects through Irish,Catholic
19994G,Y ,N ,N ,All subjects through Irish,Catholic
60021U,N ,N ,N ,No subjects taught through Irish,CATHOLIC
18580U,N ,N ,N ,No subjects through Irish,Catholic
09414C,N ,N ,N ,No subjects through Irish,Catholic
18157J,N ,N ,N ,No subjects through Irish,Catholic
17600S,N ,N ,N ,No subjects through Irish,Catholic
13224T,N ,N ,N ,No subjects through Irish,Catholic
18286U,Y ,Y ,N ,No subjects through Irish,Catholic
18566D,N ,N ,N ,No subjects through Irish,Catholic
20457K,N ,N ,N ,No subjects through Irish,Multi Denominational
17847G,N ,N ,N ,No subjects through Irish,Catholic
13790G,N ,N ,N ,No subjects through Irish,Catholic
17771W,N ,N ,N ,No subjects through Irish,Catholic
16160L,N ,N ,N ,No subjects through Irish,Catholic
63870L,N ,N ,N ,No subjects taught through Irish,QUAKER
60090Q,N ,N ,N ,No subjects taught through Irish,CHURCH OF IRELAND
63650U,N ,N ,N ,No subjects taught through Irish,CATHOLIC
18538V,N ,N ,N ,No subjects through Irish,Catholic
18430B,N ,N ,N ,No subjects through Irish,Catholic
65150K,N ,N ,N ,No subjects taught through Irish,CATHOLIC
18746F,N ,N ,N ,No subjects through Irish,Catholic
18154D,N ,Y ,N ,No subjects through Irish,Catholic
19652B,N ,Y ,N ,No subjects through Irish,Catholic
71750U,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
60291D,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
14980Q,N ,N ,N ,No subjects through Irish,Church Of Ireland
19298J,N ,Y ,N ,No subjects through Irish,Catholic
18449W,N ,Y ,N ,No subjects through Irish,Catholic
18038B,N ,N ,N ,No subjects through Irish,Catholic
19583I,N ,Y ,N ,No subjects through Irish,Catholic
17133N,N ,N ,N ,No subjects through Irish,Catholic
15696B,N ,N ,N ,No subjects through Irish,Catholic
15170J,N ,N ,N ,No subjects through Irish,Presbyterian
20022V,N ,N ,N ,No subjects through Irish,Catholic
17072T,N ,N ,N ,No subjects through Irish,Catholic
70800E,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
17515E,N ,N ,N ,No subjects through Irish,Catholic
16844S,N ,N ,N ,No subjects through Irish,Catholic
18741S,N ,Y ,N ,No subjects through Irish,Catholic
01867W,N ,N ,N ,No subjects through Irish,Catholic
71290M,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
19339U,N ,N ,N ,No subjects through Irish,Church Of Ireland
76079S,Y ,N ,Y ,All pupils taught all subjects through Irish,INTER DENOMINATIONAL
20476O,N ,N ,N ,No subjects through Irish,Catholic
19635B,N ,N ,N ,No subjects through Irish,Catholic
12741L,N ,N ,N ,No subjects through Irish,Catholic
18113M,N ,N ,N ,No subjects through Irish,Catholic
18660S,N ,N ,N ,No subjects through Irish,Catholic
17934B,N ,N ,N ,No subjects through Irish,Catholic
16620T,N ,Y ,N ,No subjects through Irish,Catholic
00984V,N ,Y ,N ,No subjects through Irish,Catholic
