roll_number,gaeltacht_indicator,deis,island,irish_classification,ethos
18911R,N ,Y ,N ,No subjects through Irish,Catholic
15285D,N ,N ,N ,No subjects through Irish,Catholic
20029M,N ,Y ,N ,No subjects through Irish,Catholic
13563S,N ,Y ,N ,No subjects through Irish,Catholic
17931S,N ,N ,N ,No subjects through Irish,Catholic
20493O,N ,N ,N ,No subjects through Irish,Catholic
18609S,N ,N ,N ,No subjects through Irish,Catholic
62590A,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
19469K,N ,N ,N ,Some subjects through Irish,Catholic
18256L,N ,N ,N ,No subjects through Irish,Catholic
20023A,N ,N ,N ,All subjects through Irish,Catholic
16140F,N ,N ,N ,No subjects through Irish,Catholic
17490O,N ,N ,N ,No subjects through Irish,Catholic
19676P,N ,N ,N ,No subjects through Irish,Catholic
20256A,Y ,N ,N ,All subjects through Irish,Catholic
17604D,N ,N ,N ,No subjects through Irish,Catholic
19998O,N ,N ,N ,All subjects through Irish,Catholic
17031F,N ,N ,N ,No subjects through Irish,Catholic
20042E,N ,Y ,N ,No subjects through Irish,Catholic
18194P,N ,N ,N ,No subjects through Irish,Catholic
18319J,N ,N ,N ,No subjects through Irish,Presbyterian
13828F,N ,N ,N ,No subjects through Irish,Catholic
19614Q,N ,Y ,N ,No subjects through Irish,Catholic
19542R,N ,N ,N ,No subjects through Irish,Catholic
18492A,N ,N ,N ,No subjects through Irish,Catholic
18762D,N ,N ,N ,No subjects through Irish,Catholic
18247K,N ,N ,N ,No subjects through Irish,Catholic
15627F,N ,N ,N ,No subjects through Irish,Catholic
62960H,N ,N ,N ,No subjects taught through Irish,CATHOLIC
13976U,N ,Y ,N ,No subjects through Irish,Church Of Ireland
13612F,N ,N ,N ,No subjects through Irish,Catholic
16811D,N ,Y ,N ,No subjects through Irish,Catholic
01553W,N ,N ,N ,No subjects through Irish,Catholic
18213Q,N ,N ,N ,No subjects through Irish,Catholic
17820J,N ,N ,N ,No subjects through Irish,Catholic
19283T,N ,N ,N ,No subjects through Irish,Catholic
17579H,N ,N ,N ,No subjects through Irish,Catholic
16249E,N ,N ,N ,No subjects through Irish,Catholic
60810B,N ,N ,N ,No subjects taught through Irish,CATHOLIC
18607O,N ,N ,N ,No subjects through Irish,Catholic
10751E,N ,N ,N ,No subjects through Irish,Church Of Ireland
11363A,N ,N ,N ,No subjects through Irish,Catholic
71560P,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
17212J,N ,N ,N ,No subjects through Irish,Catholic
61450C,N ,N ,N ,No subjects taught through Irish,CATHOLIC
18368W,N ,N ,N ,No subjects through Irish,Catholic
18316D,N ,N ,N ,No subjects through Irish,Catholic
19396J,N ,N ,N ,No subjects through Irish,Catholic
68345R,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
19720P,N ,N ,N ,No subjects through Irish,Catholic
18118W,N ,N ,N ,No subjects through Irish,Catholic
15056L,N ,Y ,N ,No subjects through Irish,Catholic
13152U,N ,N ,N ,No subjects through Irish,Catholic
61920N,N ,N ,N ,No subjects taught through Irish,CATHOLIC
20215J,N ,N ,N ,No subjects through Irish,Catholic
09927I,N ,N ,N ,No subjects through Irish,Catholic
02803B,N ,N ,N ,No subjects through Irish,Catholic
91414Q,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
17051L,N ,N ,N ,No subjects through Irish,Catholic
20068W,N ,Y ,N ,No subjects through Irish,Catholic
17263D,N ,N ,N ,No subjects through Irish,Catholic
09760V,N ,N ,N ,No subjects through Irish,Church Of Ireland
19573F,N ,N ,N ,No subjects through Irish,Catholic
15937U,N ,N ,N ,No subjects through Irish,Catholic
63610I,N ,N ,N ,No subjects taught through Irish,CATHOLIC
18708U,N ,N ,N ,No subjects through Irish,Catholic
18148I,N ,N ,N ,No subjects through Irish,Catholic
14502D,Y ,Y ,N ,All subjects through Irish,Catholic
72130S,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
16792C,N ,N ,N ,No subjects through Irish,Catholic
17887S,N ,N ,N ,No subjects through Irish,Catholic
15900U,N ,N ,N ,No subjects through Irish,Church Of Ireland
15320C,N ,Y ,N ,No subjects through Irish,Catholic
17663T,N ,N ,N ,No subjects through Irish,Catholic
18665F,N ,N ,N ,No subjects through Irish,Catholic
10501E,N ,N ,N ,No subjects through Irish,Catholic
65470F,N ,N ,N ,No subjects taught through Irish,CATHOLIC
15664L,N ,Y ,N ,No subjects through Irish,Catholic
17011W,N ,Y ,N ,No subjects through Irish,Catholic
60261R,N ,N ,N ,No subjects taught through Irish,CATHOLIC
20337A,N ,N ,N ,Some subjects through Irish,Catholic
18295V,Y ,Y ,N ,All subjects through Irish,Catholic
64971W,N ,N ,N ,No subjects taught through Irish,CATHOLIC
15654I,N ,N ,N ,No subjects through Irish,Catholic
70200D,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
19285A,N ,N ,N ,No subjects through Irish,Catholic
20027I,N ,N ,N ,All subjects through Irish,Catholic
20182U,N ,N ,N ,No subjects through Irish,Catholic
20332N,N ,N ,N ,All subjects through Irish,Catholic
18121L,Y ,Y ,N ,All subjects through Irish,Catholic
19313C,N ,N ,N ,No subjects through Irish,Catholic
07651G,N ,N ,N ,No subjects through Irish,Catholic
20520O,N ,N ,N ,No subjects through Irish,Multi Denominational
18106P,N ,N ,N ,No subjects through Irish,Catholic
16868J,N ,N ,N ,No subjects through Irish,Catholic
11992I,N ,N ,N ,No subjects through Irish,Catholic
18748J,N ,N ,N ,No subjects through Irish,Catholic
17932U,N ,N ,N ,No subjects through Irish,Catholic
16825O,N ,N ,N ,No subjects through Irish,Catholic
70430U,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
17560J,N ,N ,N ,No subjects through Irish,Catholic
20130B,N ,N ,N ,No subjects through Irish,Catholic
18241V,N ,Y ,N ,No subjects through Irish,Catholic
17678J,N ,N ,N ,No subjects through Irish,Catholic
17007I,N ,N ,N ,No subjects through Irish,Catholic
17990L,N ,N ,N ,No subjects through Irish,Catholic
15208I,Y ,Y ,N ,All subjects through Irish,Catholic
13262E,N ,N ,N ,No subjects through Irish,Catholic
70590T,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
20453C,N ,N ,N ,No subjects through Irish,Multi Denominational
18753C,N ,N ,N ,No subjects through Irish,Catholic
19253K,N ,N ,N ,No subjects through Irish,Catholic
19006Q,N ,N ,N ,No subjects through Irish,Catholic
16339F,N ,N ,N ,No subjects through Irish,Catholic
64450R,N ,N ,N ,No subjects taught through Irish,CATHOLIC
68348A,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
60010P,N ,N ,N ,No subjects taught through Irish,CATHOLIC
17575W,N ,N ,N ,No subjects through Irish,Catholic
12312L,N ,N ,N ,No subjects through Irish,Multi Denominational
20013U,N ,Y ,N ,All subjects through Irish,Catholic
17603B,N ,Y ,N ,No subjects through Irish,Catholic
19875V,N ,N ,N ,No subjects through Irish,Catholic
11955C,N ,N ,N ,No subjects through Irish,Catholic
17505B,N ,N ,N ,No subjects through Irish,Catholic
20189L,N ,N ,N ,No subjects through Irish,Multi Denominational
64370T,N ,N ,N ,No subjects taught through Irish,CATHOLIC
16930L,N ,Y ,N ,No subjects through Irish,Catholic
13404V,N ,N ,N ,No subjects through Irish,Catholic
17928G,N ,N ,N ,No subjects through Irish,Catholic
14816D,Y ,N ,N ,All subjects through Irish,Catholic
70860W,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
17823P,N ,N ,N ,No subjects through Irish,Catholic
17162U,N ,N ,N ,No subjects through Irish,Catholic
18312S,N ,N ,N ,No subjects through Irish,Catholic
70141N,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
17364J,N ,N ,N ,No subjects through Irish,Catholic
18639E,N ,N ,N ,No subjects through Irish,Catholic
19838P,N ,N ,N ,All subjects through Irish,Catholic
18533L,N ,N ,N ,No subjects through Irish,Catholic
20043G,N ,N ,N ,All subjects through Irish,Catholic
17776J,N ,N ,N ,No subjects through Irish,Catholic
10282S,N ,N ,N ,No subjects through Irish,Church Of Ireland
18714P,N ,N ,N ,No subjects through Irish,Church Of Ireland
62531H,N ,Y ,N ,All pupils taught all subjects through Irish,CATHOLIC
16485Q,N ,N ,N ,No subjects through Irish,Catholic
70450D,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
16013V,N ,N ,N ,No subjects through Irish,Catholic
13678M,N ,N ,N ,No subjects through Irish,Catholic
18116S,N ,N ,N ,No subjects through Irish,Catholic
11135K,N ,N ,N ,No subjects through Irish,Church Of Ireland
18412W,N ,N ,N ,No subjects through Irish,Catholic
12613C,N ,N ,N ,No subjects through Irish,Catholic
17213L,N ,N ,N ,No subjects through Irish,Catholic
19627C,N ,N ,N ,No subjects through Irish,Catholic
19922E,N ,Y ,N ,No subjects through Irish,Catholic
20304I,N ,N ,N ,No subjects through Irish,Catholic
19967D,N ,N ,N ,No subjects through Irish,Catholic
63900R,N ,N ,N ,No subjects taught through Irish,CATHOLIC
17759J,Y ,N ,N ,All subjects through Irish,Catholic
17083B,N ,Y ,N ,No subjects through Irish,Catholic
19384C,N ,N ,N ,No subjects through Irish,Catholic
17936F,N ,N ,N ,No subjects through Irish,Catholic
18048E,N ,N ,N ,No subjects through Irish,Catholic
20437E,N ,N ,N ,No subjects through Irish,Catholic
13150Q,N ,N ,N ,No subjects through Irish,Catholic
16713D,N ,Y ,N ,No subjects through Irish,Catholic
13696O,N ,Y ,N ,No subjects through Irish,Catholic
17246D,N ,N ,N ,No subjects through Irish,Catholic
06044D,N ,N ,N ,No subjects through Irish,Catholic
62730N,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
65240L,N ,N ,N ,No subjects taught through Irish,CATHOLIC
17526J,N ,N ,N ,No subjects through Irish,Catholic
60770P,N ,N ,N ,No subjects taught through Irish,CATHOLIC
71620H,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
70321P,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
76103M,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
81007U,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
20270R,N ,N ,N ,No subjects through Irish,Catholic
19883U,N ,N ,N ,All subjects through Irish,Catholic
17188P,N ,N ,N ,No subjects through Irish,Catholic
19944O,N ,N ,N ,No subjects through Irish,Catholic
16893I,N ,N ,N ,No subjects through Irish,Catholic
17780A,N ,N ,N ,No subjects through Irish,Catholic
18280I,N ,N ,N ,No subjects through Irish,Catholic
16955E,N ,N ,N ,No subjects through Irish,Catholic
18864L,N ,N ,N ,No subjects through Irish,Catholic
18684J,N ,N ,N ,No subjects through Irish,Catholic
68078U,N ,N ,N ,All pupils taught all subjects through Irish,CATHOLIC
06621P,N ,N ,N ,No subjects through Irish,Catholic
20073P,N ,Y ,N ,No subjects through Irish,Catholic
20012S,N ,N ,N ,No subjects through Irish,Multi Denominational
19930D,N ,N ,N ,No subjects through Irish,Catholic
91315O,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
18289D,N ,N ,N ,No subjects through Irish,Catholic
19997M,N ,N ,N ,No subjects through Irish,Catholic
91462E,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
61370E,N ,N ,N ,No subjects taught through Irish,CATHOLIC
76102K,N ,N ,N ,All pupils taught all subjects through Irish,MULTI DENOMINATIONAL
18028V,N ,N ,N ,No subjects through Irish,Catholic
17087J,N ,N ,N ,No subjects through Irish,Catholic
18590A,N ,N ,N ,No subjects through Irish,Catholic
15113U,N ,Y ,N ,No subjects through Irish,Catholic
62693K,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
02413L,N ,N ,N ,No subjects through Irish,Catholic
71610E,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
20389T,N ,Y ,N ,No subjects through Irish,Catholic
16754R,N ,N ,N ,No subjects through Irish,Catholic
72140V,Y ,Y ,N ,All pupils taught all subjects through Irish,MULTI DENOMINATIONAL
16293H,N ,N ,N ,No subjects through Irish,Catholic
16202B,N ,Y ,N ,No subjects through Irish,Catholic
19764M,N ,Y ,N ,No subjects through Irish,Catholic
18214S,N ,N ,N ,No subjects through Irish,Catholic
19725C,N ,N ,N ,All subjects through Irish,Catholic
18642Q,N ,N ,N ,No subjects through Irish,Church Of Ireland
16471F,N ,Y ,N ,No subjects through Irish,Catholic
70700A,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
12755W,N ,N ,N ,No subjects through Irish,Church Of Ireland
20036J,N ,Y ,N ,No subjects through Irish,Catholic
18759O,N ,N ,N ,No subjects through Irish,Catholic
20404M,N ,Y ,N ,No subjects through Irish,Catholic
91413O,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
13867P,N ,N ,N ,No subjects through Irish,Church Of Ireland
18585H,N ,Y ,N ,No subjects through Irish,Catholic
18085K,N ,N ,N ,No subjects through Irish,Catholic
65080P,N ,N ,N ,No subjects taught through Irish,CATHOLIC
20176C,N ,N ,N ,No subjects through Irish,Multi Denominational
17210F,N ,N ,N ,No subjects through Irish,Catholic
17789S,N ,N ,N ,No subjects through Irish,Catholic
17622F,N ,Y ,N ,No subjects through Irish,Catholic
17330P,N ,N ,N ,No subjects through Irish,Catholic
18824W,N ,N ,N ,No subjects through Irish,Church Of Ireland
18490T,N ,N ,N ,No subjects through Irish,Catholic
70901K,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
20451V,N ,N ,N ,Some subjects through Irish,Catholic
05477G,N ,N ,N ,No subjects through Irish,Catholic
68263P,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
20509D,N ,N ,N ,No subjects through Irish,Catholic
11872V,N ,Y ,N ,No subjects through Irish,Catholic
71101G,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
63160D,N ,N ,N ,No subjects taught through Irish,CATHOLIC
18432F,N ,N ,N ,No subjects through Irish,Catholic
18043R,N ,N ,N ,No subjects through Irish,Catholic
14631O,N ,Y ,N ,No subjects through Irish,Catholic
07315N,N ,Y ,N ,No subjects through Irish,Catholic
12683A,N ,N ,N ,No subjects through Irish,Church Of Ireland
19707A,N ,Y ,N ,No subjects through Irish,Catholic
19755L,N ,N ,N ,No subjects through Irish,Catholic
18542M,N ,N ,N ,No subjects through Irish,Catholic
18434J,N ,N ,N ,No subjects through Irish,Catholic
12537M,N ,N ,N ,No subjects through Irish,Catholic
17980I,N ,N ,N ,No subjects through Irish,Catholic
11725I,N ,Y ,N ,No subjects through Irish,Catholic
13118U,N ,Y ,N ,No subjects through Irish,Catholic
02912G,N ,N ,N ,No subjects through Irish,Catholic
04067F,N ,N ,N ,No subjects through Irish,Catholic
19364T,N ,N ,N ,No subjects through Irish,Catholic
19762I,N ,N ,N ,No subjects through Irish,Catholic
16968N,N ,N ,N ,No subjects through Irish,Catholic
20470C,N ,N ,N ,No subjects through Irish,Catholic
72190N,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
18433H,N ,N ,N ,No subjects through Irish,Catholic
16250M,N ,N ,N ,No subjects through Irish,Catholic
18844F,Y ,N ,N ,No subjects through Irish,Catholic
18358T,N ,N ,N ,No subjects through Irish,Catholic
17125O,N ,Y ,N ,No subjects through Irish,Catholic
64660F,N ,N ,N ,No subjects taught through Irish,CATHOLIC
20338C,N ,N ,N ,No subjects through Irish,Catholic
19407L,N ,N ,N ,No subjects through Irish,Catholic
11249C,N ,N ,N ,No subjects through Irish,Catholic
70931T,Y ,N ,N ,All pupils taught all subjects through Irish,MULTI DENOMINATIONAL
18355N,N ,N ,N ,No subjects through Irish,Catholic
91519H,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
17650K,N ,N ,N ,No subjects through Irish,Catholic
19607T,N ,N ,N ,No subjects through Irish,Catholic
91502N,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
17689O,Y ,Y ,N ,All subjects through Irish,Catholic
15625B,N ,N ,N ,No subjects through Irish,Church Of Ireland
20008E,N ,N ,N ,All subjects through Irish,Catholic
71700F,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
65170Q,N ,N ,N ,No subjects taught through Irish,CATHOLIC
72241E,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
18605K,N ,Y ,N ,No subjects through Irish,Catholic
18739I,N ,N ,N ,No subjects through Irish,Catholic
18464S,N ,Y ,N ,No subjects through Irish,Catholic
17645R,N ,N ,N ,No subjects through Irish,Catholic
16832L,N ,N ,N ,No subjects through Irish,Catholic
62630J,N ,N ,N ,No subjects taught through Irish,CATHOLIC
18712L,N ,Y ,N ,No subjects through Irish,Catholic
19957A,N ,N ,N ,No subjects through Irish,Catholic
19694R,N ,Y ,N ,No subjects through Irish,Catholic
18301N,N ,N ,N ,No subjects through Irish,Catholic
68241F,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
12554M,N ,N ,N ,No subjects through Irish,Church Of Ireland
19519W,N ,N ,N ,No subjects through Irish,Catholic
10429W,N ,Y ,N ,No subjects through Irish,Catholic
15419V,N ,N ,N ,No subjects through Irish,Catholic
18361I,N ,Y ,N ,No subjects through Irish,Catholic
17598L,N ,Y ,N ,No subjects through Irish,Catholic
20500I,N ,N ,N ,All subjects through Irish,Multi Denominational
14433K,N ,N ,N ,No subjects through Irish,Church Of Ireland
20165U,N ,N ,N ,All subjects through Irish,Inter Denominational
13738E,N ,N ,N ,No subjects through Irish,Catholic
70080T,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
09967U,N ,N ,N ,No subjects through Irish,Catholic
13222P,Y ,Y ,N ,Some subjects through Irish,Catholic
16988T,N ,Y ,N ,No subjects through Irish,Catholic
18482U,N ,Y ,N ,No subjects through Irish,Catholic
61120E,N ,N ,N ,No subjects taught through Irish,CATHOLIC
20431P,N ,Y ,N ,No subjects through Irish,Catholic
14294W,N ,N ,N ,No subjects through Irish,Catholic
19578P,N ,N ,N ,No subjects through Irish,Catholic
08828B,N ,N ,N ,No subjects through Irish,Catholic
18839M,N ,N ,N ,No subjects through Irish,Catholic
16950R,N ,N ,N ,No subjects through Irish,Catholic
60500J,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
04919H,N ,N ,N ,No subjects through Irish,Catholic
76099B,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
12473M,N ,Y ,N ,No subjects through Irish,Catholic
17821L,N ,N ,N ,No subjects through Irish,Catholic
14668O,N ,Y ,N ,No subjects through Irish,Catholic
15425Q,N ,Y ,N ,No subjects through Irish,Catholic
16431Q,N ,N ,N ,No subjects through Irish,Catholic
17665A,N ,Y ,N ,No subjects through Irish,Catholic
17580P,N ,N ,N ,No subjects through Irish,Catholic
76093M,N ,N ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
19899M,N ,N ,N ,All subjects through Irish,Catholic
16170O,N ,N ,N ,No subjects through Irish,Catholic
12946G,Y ,N ,N ,All subjects through Irish,Catholic
18703K,N ,N ,N ,No subjects through Irish,Church Of Ireland
60450U,N ,N ,N ,All pupils taught all subjects through Irish,CATHOLIC
19885B,N ,N ,N ,All subjects through Irish,Catholic
17096K,N ,Y ,N ,No subjects through Irish,Catholic
15523Q,N ,N ,N ,No subjects through Irish,Catholic
19471U,N ,N ,N ,No subjects through Irish,Catholic
20504Q,N ,N ,N ,No subjects through Irish,Catholic
18468D,N ,N ,N ,No subjects through Irish,Catholic
20086B,N ,Y ,N ,No subjects through Irish,Multi Denominational
20518E,N ,N ,N ,All subjects through Irish,Multi Denominational
14497N,N ,N ,N ,No subjects through Irish,Catholic
01795A,N ,Y ,N ,No subjects through Irish,Catholic
18309G,N ,N ,N ,No subjects through Irish,Catholic
18652T,Y ,Y ,N ,All subjects through Irish,Catholic
71110H,N ,Y ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
13775K,N ,N ,N ,No subjects through Irish,Church Of Ireland
91496V,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
16456J,Y ,Y ,N ,All subjects through Irish,Catholic
19659P,N ,N ,N ,No subjects through Irish,Catholic
17709R,N ,N ,N ,No subjects through Irish,Catholic
18764H,N ,N ,N ,No subjects through Irish,Catholic
12358M,N ,N ,N ,No subjects through Irish,Church Of Ireland
17599N,N ,N ,N ,No subjects through Irish,Catholic
20148U,N ,N ,N ,All subjects through Irish,Catholic
17155A,N ,N ,N ,No subjects through Irish,Catholic
71020G,N ,Y ,N ,Some pupils taught some subjects through Irish,MULTI DENOMINATIONAL
18318H,N ,N ,N ,No subjects through Irish,Catholic
14900P,N ,N ,N ,No subjects through Irish,Catholic
70150O,N ,Y ,N ,No subjects taught through Irish,MULTI DENOMINATIONAL
64410F,N ,N ,N ,No subjects taught through Irish,CATHOLIC
03607G,N ,N ,N ,No subjects through Irish,Catholic
17710C,N ,N ,N ,No subjects through Irish,Catholic
18364O,N ,N ,N ,No subjects through Irish,Catholic
18484B,N ,N ,N ,No subjects through Irish,Catholic
20346B,N ,N ,N ,No subjects through Irish,Catholic
19745I,N ,N ,N ,No subjects through Irish,Catholic
60741I,N ,Y ,N ,No subjects taught through Irish,CATHOLIC
61150N,N ,N ,N ,No subjects taught through Irish,CATHOLIC
03633H,N ,Y ,N ,No subjects through Irish,Catholic
16750J,N ,N ,N ,No subjects through Irish,Church Of Ireland
14056G,N ,N ,N ,No subjects through Irish,Catholic
04210H,N ,N ,N ,No subjects through Irish,Catholic
13991Q,N ,N ,N ,No subjects through Irish,Catholic
18093J,N ,N ,N ,No subjects through Irish,Catholic
19968F,N ,N ,N ,All subjects through Irish,Catholic
19893A,N ,N ,N ,No subjects through Irish,Catholic
16665S,N ,Y ,N ,No subjects through Irish,Catholic
20127M,N ,N ,N ,No subjects through Irish,Catholic
19690J,N ,N ,N ,No subjects through Irish,Catholic
15042A,N ,N ,N ,No subjects through Irish,Catholic
13299E,N ,N ,N ,No subjects through Irish,Catholic
68068R,N ,N ,N ,No subjects taught through Irish,CATHOLIC
19177U,N ,N ,N ,No subjects through Irish,Catholic
60272W,N ,N ,N ,No subjects taught through Irish,CHURCH OF IRELAND
12169J,N ,N ,N ,No subjects through Irish,Church Of Ireland
03132I,N ,N ,N ,No subjects through Irish,Catholic
19801P,N ,N ,N ,No subjects through Irish,Catholic
10835K,N ,N ,N ,No subjects through Irish,Catholic
18939Q,N ,N ,N ,No subjects through Irish,Church Of Ireland
02007A,N ,N ,N ,No subjects through Irish,Catholic
15676S,N ,N ,N ,No subjects through Irish,Catholic
15407O,N ,N ,N ,No subjects through Irish,Catholic
15656M,N ,N ,N ,No subjects through Irish,Catholic
19886D,N ,N ,N ,All subjects through Irish,Catholic
18443K,N ,N ,N ,No subjects through Irish,Catholic
61020A,N ,N ,N ,No subjects taught through Irish,JEWISH
19356U,N ,Y ,N ,No subjects through Irish,Catholic
20009G,N ,N ,N ,All subjects through Irish,Catholic
17231N,N ,N ,N ,No subjects through Irish,Catholic
05070W,N ,N ,N ,No subjects through Irish,Catholic
76105Q,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
14031N,N ,N ,N ,No subjects through Irish,Catholic
71102I,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
60750J,N ,N ,N ,No subjects taught through Irish,CATHOLIC
13927H,N ,Y ,Y ,No subjects through Irish,Catholic
60341P,N ,N ,N ,No subjects taught through Irish,CATHOLIC
19734D,N ,N ,N ,No subjects through Irish,Church Of Ireland
14643V,N ,N ,N ,No subjects through Irish,Catholic
20512P,N ,Y ,N ,Some subjects through Irish,Catholic
09304S,N ,N ,N ,No subjects through Irish,Catholic
19541P,N ,N ,N ,No subjects through Irish,Catholic
20160K,N ,N ,N ,No subjects through Irish,Multi Denominational
18235D,N ,N ,N ,No subjects through Irish,Catholic
18142T,N ,N ,N ,No subjects through Irish,Catholic
19775R,N ,Y ,N ,No subjects through Irish,Catholic
20348F,N ,N ,N ,No subjects through Irish,Multi Denominational
12782C,N ,N ,N ,No subjects through Irish,Catholic
17260U,N ,N ,N ,No subjects through Irish,Catholic
64760J,N ,N ,N ,No subjects taught through Irish,CATHOLIC
13755E,N ,Y ,N ,No subjects through Irish,Church Of Ireland
10353P,N ,N ,N ,No subjects through Irish,Church Of Ireland
16804G,Y ,N ,N ,No subjects through Irish,Catholic
17954H,N ,N ,N ,No subjects through Irish,Catholic
01309L,N ,N ,N ,No subjects through Irish,Catholic
20281W,N ,Y ,N ,Some subjects through Irish,Catholic
70300H,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
20528H,N ,N ,N ,No subjects through Irish,Multi Denominational
18929N,N ,N ,N ,No subjects through Irish,Catholic
19246N,N ,Y ,N ,No subjects through Irish,Catholic
14045B,N ,N ,N ,No subjects through Irish,Church Of Ireland
20219R,N ,Y ,N ,No subjects through Irish,Catholic
19794V,N ,N ,N ,No subjects through Irish,Catholic
11203B,N ,N ,N ,No subjects through Irish,Catholic
19475F,N ,N ,N ,No subjects through Irish,Catholic
64820B,N ,N ,N ,No subjects taught through Irish,CATHOLIC
12138V,N ,N ,N ,No subjects through Irish,Catholic
62520C,N ,N ,N ,No subjects taught through Irish,CATHOLIC
16021U,N ,Y ,N ,No subjects through Irish,Catholic
11205F,N ,N ,N ,No subjects through Irish,Church Of Ireland
17748E,N ,Y ,N ,No subjects through Irish,Catholic
60250M,N ,N ,N ,No subjects taught through Irish,CATHOLIC
91427C,N ,N ,N ,No subjects taught through Irish,INTER DENOMINATIONAL
15532R,N ,Y ,N ,No subjects through Irish,Catholic
18653V,N ,Y ,N ,No subjects through Irish,Catholic
15718I,N ,N ,N ,No subjects through Irish,Catholic
20459O,N ,Y ,N ,No subjects through Irish,Catholic
10801Q,N ,N ,N ,No subjects through Irish,Catholic
16269K,N ,Y ,N ,No subjects through Irish,Catholic
07143K,N ,Y ,N ,No subjects through Irish,Presbyterian
18007N,Y ,N ,N ,All subjects through Irish,Catholic
20292E,N ,N ,N ,No subjects through Irish,Multi Denominational
15259C,N ,N ,N ,No subjects through Irish,Catholic
16173U,N ,Y ,N ,No subjects through Irish,Catholic
17641J,N ,N ,N ,No subjects through Irish,Catholic
15512L,N ,N ,N ,No subjects through Irish,Catholic
18234B,N ,Y ,N ,No subjects through Irish,Catholic
16680O,N ,Y ,N ,No subjects through Irish,Catholic
12568A,Y ,Y ,N ,No subjects through Irish,Catholic
05348S,N ,Y ,N ,No subjects through Irish,Multi Denominational
20057R,N ,N ,N ,All subjects through Irish,Catholic
19954R,N ,N ,N ,No subjects through Irish,Multi Denominational
60381E,N ,N ,N ,No subjects taught through Irish,CHURCH OF IRELAND
19874T,N ,N ,N ,No subjects through Irish,Catholic
12736S,N ,N ,N ,No subjects through Irish,Catholic
62260C,N ,N ,N ,No subjects taught through Irish,CATHOLIC
16990G,N ,N ,N ,No subjects through Irish,Catholic
17567A,N ,N ,N ,No subjects through Irish,Catholic
19743E,N ,Y ,N ,No subjects through Irish,Catholic
19651W,N ,Y ,N ,No subjects through Irish,Catholic
18848N,N ,Y ,N ,No subjects through Irish,Catholic
17770U,Y ,Y ,N ,All subjects through Irish,Catholic
01328P,N ,N ,N ,No subjects through Irish,Catholic
17913Q,N ,N ,N ,No subjects through Irish,Catholic
18654A,N ,N ,N ,No subjects through Irish,Catholic
60650F,N ,N ,N ,No subjects taught through Irish,PRESBYTERIAN
62980N,N ,N ,N ,No subjects taught through Irish,CATHOLIC
01574H,N ,Y ,N ,No subjects through Irish,Catholic
65610S,N ,N ,N ,No subjects taught through Irish,CATHOLIC
17283J,N ,N ,N ,No subjects through Irish,Catholic
