id06,county,ed_english,pop2016,hpindex2016,edhigh,hlprof,larent,unemploy
5009,Dublin,BLACKROCK-CARYSFORT,6318,9.5249852,67.37315474,64.56157012,0.99896315,6.73008673
5010,Dublin,BLACKROCK-CENTRAL,3733,12.42829893,76.7900564,68.49718725,1.92978219,4.66560762
5011,Dublin,BLACKROCK-GLENOMENA,2083,11.79669121,72.10911712,56.79308689,0.56787391,5.78102269
5012,Dublin,BLACKROCK-MONKSTOWN,3239,10.3920675,68.46935286,65.45230009,0.95711552,5.8648793
5013,Dublin,BLACKROCK-NEWPARK,2316,6.37379196,58.61449288,63.34196891,3.79537073,9.16262698
5014,Dublin,BLACKROCK-SEAPOINT,1450,10.65879728,75.08804125,68.75862069,1.96838334,5.86833095
5015,Dublin,BLACKROCK-STRADBROOK,2462,3.68008399,49.28787613,51.82778229,5.17642208,8.92618895
5016,Dublin,BLACKROCK-TEMPLEHILL,2658,5.64828448,63.73646641,57.26109857,13.16277765,10.70121426
5017,Dublin,BLACKROCK-WILLIAMSTOWN,2982,12.11587962,73.92045991,63.68209256,2.91413923,5.53724435
5018,Dublin,CABINTEELY-GRANITEFIELD,2702,3.39809007,47.40769515,51.66543301,1.02528684,7.43842853
5019,Dublin,CABINTEELY-KILBOGGET,2686,-6.65662826,31.16803268,39.01712584,11.91153141,13.81927576
5020,Dublin,CABINTEELY-LOUGHLINSTOWN,4280,11.38593959,65.46217655,56.40186916,1.66205098,4.81246362
5021,Dublin,CABINTEELY-POTTERY,4997,4.15572063,48.33443187,51.41084651,2.64068695,7.24559538
5022,Dublin,CHURCHTOWN-CASTLE,1476,8.41582747,52.92525154,55.55555556,11.95901454,6.20616545
5023,Dublin,CHURCHTOWN-LANDSCAPE,1411,10.31899437,60.77224052,65.91070163,0.00E+00,5.17240611
5024,Dublin,CHURCHTOWN-NUTGROVE,3165,-3.36132185,35.379302,39.49447077,8.2785091,12.93812562
5025,Dublin,CHURCHTOWN-ORWELL,1943,9.14488014,63.43108854,64.23057128,0.00E+00,4.55233725
5026,Dublin,CHURCHTOWN-WOODLAWN,1481,11.78142765,69.19766301,68.06212019,0.6090246,4.63530372
5027,Dublin,CLONSKEAGH-BELFIELD,3122,-0.57185724,57.32543909,20.78795644,16.02329582,24.30875906
5028,Dublin,CLONSKEAGH-FARRANBOLEY,1615,0.6775423,46.648051,44.95356037,15.13447907,10.98198876
5029,Dublin,CLONSKEAGH-MILLTOWN,2049,15.06528638,79.9422891,70.0829673,0.25394105,3.21919138
5030,Dublin,CLONSKEAGH-ROEBUCK,2699,8.7814711,69.19492563,63.57910337,5.21917715,7.93968663
5031,Dublin,CLONSKEAGH-WINDY ARBOUR,2736,7.212674,61.76568785,50.4751462,1.94144907,9.18141424
5032,Dublin,DALKEY-AVONDALE,1357,4.27420778,55.91745659,66.91230656,0.61722886,9.88704248
5033,Dublin,DALKEY-BULLOCK,1756,5.51043265,59.48009236,64.29384966,1.92586457,6.67913607
5034,Dublin,DALKEY-COLIEMORE,1341,4.75660197,56.61798574,60.92468307,5.69302665,6.81542957
5035,Dublin,DALKEY HILL,1617,5.39993109,61.75837167,57.57575758,9.96886175,6.72995456
5036,Dublin,DALKEY-UPPER,2118,8.84073133,64.49949058,69.54674221,0.24577573,5.44105954
5037,Dublin,DUNDRUM-BALALLY,8035,8.59295474,57.98949182,49.19726198,9.84348024,8.58597763
5038,Dublin,DUNDRUM-KILMACUD,3274,12.1109767,72.47807324,65.11912034,1.72329605,4.5654211
5039,Dublin,DUNDRUM-SANDYFORD,7688,8.44520853,61.47667744,56.84183143,4.95307153,6.87760143
5040,Dublin,DUNDRUM-SWEETMOUNT,2165,7.27736508,61.76331706,61.15473441,0.95639751,8.07434727
5041,Dublin,DUNDRUM-TANEY,2491,4.71723442,56.57356964,54.75712565,6.00182636,8.35709613
5042,Dublin,DUN LAOGHAIRE-EAST CENTRAL,2489,9.75944167,65.09284797,56.93049417,1.53400584,6.90764246
5043,Dublin,DUN LAOGHAIRE-GLASTHULE,2807,4.74501624,61.08849754,60.59850374,3.30063394,10.07038334
5044,Dublin,DUN LAOGHAIRE-GLENAGEARY,1929,6.94183836,64.17915701,62.62312079,0.69785738,8.74232392
5045,Dublin,DUN LAOGHAIRE-MONKSTOWN FARM,2225,-1.62348322,38.32193055,38.87640449,7.46707137,11.46545602
5046,Dublin,DUN LAOGHAIRE-MOUNT TOWN,1779,-6.77146777,33.33674348,31.7594154,35.12389163,18.75236632
5047,Dublin,DUN LAOGHAIRE-SALLYNOGIN EAST,2860,-2.08922855,41.2703755,44.40559441,14.62732511,11.41636319
5048,Dublin,DUN LAOGHAIRE-SALLYNOGIN SOUTH,1441,-5.06162635,30.96883694,35.46148508,14.09130394,14.19285883
5049,Dublin,DUN LAOGHAIRE-SALLYNOGIN WEST,2886,1.78582002,43.17432454,43.06999307,15.95140695,11.61202631
5050,Dublin,DUN LAOGHAIRE-SANDYCOVE,3690,9.0951345,66.22172905,67.64227642,5.68982768,5.05599761
5051,Dublin,DUN LAOGHAIRE-SALTHILL,1729,8.67019677,68.91966811,63.38924234,6.45303923,8.50910841
5052,Dublin,DUN LAOGHAIRE-WEST CENTRAL,2690,4.3635582,54.70052982,49.25650558,15.31570721,10.99763253
5053,Dublin,FOXROCK-BEECHPARK,1680,10.03390154,64.1644951,71.9047619,0.93029611,4.32025629
5054,Dublin,FOXROCK-CARRICKMINES,5951,9.72325975,61.97952504,67.03075113,0.4061505,4.81367088
5055,Dublin,FOXROCK-DEANS GRANGE,2448,7.60520319,62.2151926,68.21895425,0.24321989,7.29748444
5056,Dublin,FOXROCK-TORQUAY,1445,9.50979562,68.07229056,68.23529412,0.00E+00,6.36793376
5057,Dublin,GLENCULLEN,19773,9.23503531,60.42719429,56.28887877,6.60337107,6.34231547
5058,Dublin,KILLINEY-NORTH,3330,7.44885239,61.62508593,62.58258258,1.91512739,5.16942117
5059,Dublin,KILLINEY-SOUTH,6386,-6.4821461,33.14777559,36.12590041,26.07846866,16.01958769
5060,Dublin,SHANKILL-RATHMICHAEL,5623,2.00217277,47.60061572,47.4479815,13.94310436,11.01730906
5061,Dublin,SHANKILL-RATHSALLAGH,3268,-6.8167516,34.55920069,37.9130967,26.55408279,15.93007342
5062,Dublin,SHANKILL-SHANGANAGH,5488,3.96291662,46.11469701,50.69241983,2.75037269,7.44258149
5063,Dublin,STILLORGAN-DEERPARK,2955,11.30531288,69.90697869,70.89678511,0.09762964,4.91457431
5064,Dublin,STILLORGAN-KILMACUD,3973,6.95098416,57.72445219,59.75333501,0.28423566,6.59220672
5065,Dublin,STILLORGAN-LEOPARDSTOWN,2935,11.47163063,70.50864528,66.81431005,1.57765474,4.90476413
5066,Dublin,STILLORGAN-MERVILLE,3217,12.44598995,66.69740116,67.2365558,2.18287737,5.1528153
5067,Dublin,STILLORGAN-MOUNT MERRION,2383,9.55403007,68.47029402,67.6877885,0.51176272,6.01888175
