roll_number,ed_english,ed_id,latitude,longitude
05627W,BAILIEBOROUGH,27004,53.9171451,-6.9739934
05636A,DUNMANWAY SOUTH,47146,51.7171333,-9.1157026
05656G,GOLEEN,47163,51.4938734,-9.7095644
05754G,CRAUGHWELL,67072,53.2368366,-8.7514183
05756K,BURRISCARRA,157043,53.736857,-9.2428788
05916G,BALLYKILMORE,237012,53.3888652,-7.3757224
05927L,GRANGE,97049,52.5999798,-7.3082575
05933G,INNS QUAY C,268082,53.3483489,-6.2715493
05940D,MAHON A,48042,51.8956964,-8.4145188
05970M,HEADFORT,77087,52.0593017,-9.3358106
06028F,DAWSONGROVE,177032,54.1178982,-7.0148382
06044D,KILMEEN,67143,53.2005581,-8.455274
06100K,KEADEW,197064,54.0656885,-8.1770617
06117E,CREMARTIN,177029,54.1291448,-6.8306647
06176U,BLESSINGTON,257016,53.1759855,-6.5459079
06200O,BLACKROCK-BOOTERSTOWN,267019,53.3089988,-6.1987888
06209J,ATHY RURAL,87001,53.0032201,-6.9856007
06227L,MEENACLADY,57119,55.104545,-8.2860586
06295F,ALLOW,47009,52.2780563,-8.8845035
06342L,MATEHY,47250,51.9547081,-8.6565838
06489S,TUAM URBAN,67212,53.5141156,-8.8565177
06516S,BALLYNACARRIGA,127023,52.6211635,-8.8115252
06539H,ROXBOROUGH,127130,52.6061053,-8.5722058
06576N,DROMIN,147015,53.8444493,-6.4444094
06621P,KILCOLUMB,97057,52.2987762,-7.0342952
06658P,KNIGH,217115,52.9311708,-8.2390214
06789H,LISRONAGH,217120,52.4177263,-7.7038901
06852L,CARROWMORE,157047,54.0907066,-9.2285528
06936R,MARKET,128029,52.6618831,-8.6163235
06959G,CLONROCHE,247038,52.4474669,-6.7245608
07006A,CURRAGLASS,47122,52.0618477,-8.0221901
07054L,BALLINA RURAL,157015,54.1380922,-9.1638727
07075T,CLAREMORRIS,157051,53.7238764,-9.0017356
07117J,GRANGE,127081,52.5163151,-8.5338763
07120V,KILLYON,167051,53.4860249,-7.0024289
07143K,KILLEA,57095,54.956356,-7.4571077
07183W,MOUNTMELLICK URBAN,107072,53.1133662,-7.3188819
07191V,TULLAMORE URBAN,187087,53.2755255,-7.4933852
07222G,BALLYNABANOGE,127022,52.4807181,-8.7081204
07242M,MATEHY,47250,51.9178279,-8.6165928
07245S,CULLEN,217063,52.5115891,-8.2778414
07317R,GLENGORT,127077,52.362988,-9.163824
07358I,BURNCOURT,217037,52.3113101,-8.0792299
07374G,KILLAVALLY,157098,53.758423,-9.3054749
07441S,GRALLAGH,227046,52.0087143,-7.7721539
07455G,KILLERORAN,67131,53.5225627,-8.3257391
07464H,GLENALLA,57071,55.0606118,-7.6213522
07481H,KILMAGANNY,97068,52.4613287,-7.3289369
07518E,CALDRAGH,137013,53.75998,-7.79188
07546J,KILMAINHAM C,268085,53.3366415,-6.3190564
07551C,DRUMACOO,67089,53.1849544,-8.9098064
07626H,MALIN,57116,55.3360596,-7.2878238
07636K,MOUNTRATH,107073,52.9986259,-7.4788203
07651G,CLONAKILTY URBAN,47096,51.6260391,-8.8808829
07722D,ATHLONE WEST URBAN,237005,53.4218106,-7.9420892
07737Q,DROMANA,227028,52.0882445,-7.850768
07790U,CHURCHTOWN,87024,53.0093311,-7.0516426
07841L,KILGOBNET,77099,52.0655656,-9.7295107
07900B,IVERUSS,127085,52.6468164,-8.951776
07949I,BIRR URBAN,187013,53.0994539,-7.9144953
07990F,MOLAHIFFE,77138,52.1708717,-9.596077
08037Q,NOUGHAVAL,237083,53.5351792,-7.7927649
08099P,BODENSTOWN,87014,53.2483774,-6.6614967
08100U,KILLUCAN,237065,53.5136852,-7.1427857
08143P,SWANLINBAR,27083,54.1937636,-7.7047113
08221J,ENNISCORTHY RURAL,247045,52.504536,-6.5566341
08251S,SNEEM,77153,51.8385167,-9.9043117
08302J,WESTPORT URBAN,157153,53.8017782,-9.5213563
08342V,CAHERCONLISH WEST,127036,52.6111579,-8.5250538
08379V,PORTUMNA,67188,53.1125288,-8.2878757
08390J,MANORHAMILTON,117063,54.3051287,-8.1728495
08393P,BLACKPOOL,47053,52.0167102,-8.5831059
08419H,ARDPATRICK,127008,52.3434276,-8.5188954
08430S,SKIBBEREEN RURAL,47293,51.5489214,-9.2457269
08446K,TULLOKYNE,67213,53.3387481,-9.1814776
08453H,MOYNEHALL,27072,53.9637748,-7.3229896
08490N,CAVAN URBAN,27025,53.9924444,-7.3565801
08512U,TIRANASCRAGH,67208,53.159153,-8.2017784
08530W,GLANMORE,77081,51.7640706,-9.7774158
08572P,BRUREE,127032,52.4228841,-8.6491696
08673V,MOHILL,117066,53.9226451,-7.8650864
08687J,BAHAGHS,77009,51.9404602,-10.1117716
08791E,KILLARNEY RURAL,77101,52.0511318,-9.4588459
08828B,RATHCOOL,47276,52.0941821,-8.9734088
08926B,ADARE SOUTH,127005,52.567839,-8.784765
08948L,MILLTOWN,27071,54.0648764,-7.4752867
08972I,BRINNY,47058,51.7803174,-8.7394361
09009Q,CARRICKBOY,57024,54.4831575,-8.1192776
09040K,BALLYSAKEERY,157030,54.1869044,-9.1795375
09069L,LISCANANAUN,67165,53.3762503,-8.944668
09132P,FEDAMORE,127069,52.5712485,-8.5811768
09161W,BANTRY URBAN,47042,51.6789948,-9.4437041
09184L,RATHROE,247098,52.2621221,-6.8810477
09190G,LACKAGH,217117,52.8020412,-8.3675674
09191I,GEASHILL,187042,53.234317,-7.3225923
09209B,BOOLTEENS,77031,52.1742552,-9.7718559
09238I,BALLINLOUGH,167007,53.7323416,-7.028203
09260B,DOON,77067,52.2981973,-9.6944455
09296W,ADARE SOUTH,127005,52.5655422,-8.7878649
09302O,BREWSTERFIELD,77033,51.9948179,-9.3131602
09304S,HEADFORT,77087,52.0875478,-9.3662793
09306W,CROOM,127054,52.5209825,-8.7132966
09320Q,GARRYHILL,17019,52.661413,-6.8371316
09353I,NEWTOWNGORE,117068,54.0366588,-7.6811459
09390O,BALLYVASKIN,37013,52.8687078,-9.3471603
09401Q,MONAGAY,127111,52.4176342,-9.0880938
09414C,BALLITORE,87004,53.0208269,-6.8047559
09425H,MOY,37123,52.8907449,-9.3890249
09432E,TIPPERARY EAST URBAN,217164,52.4793428,-8.162509
09492W,BALSCADDEN,267016,53.6155292,-6.2317045
09537S,BALLINADEE,47015,51.7137862,-8.6271343
09642P,HOWTH,267095,53.3913143,-6.100234
09660R,CLOGHER,57036,54.6874178,-8.0218055
09691F,EASKY EAST,207042,54.2747394,-8.9236917
09702H,NANTINAN,127114,52.5540599,-8.9287608
09748I,MAGHERABOY,57113,54.9124843,-7.6905796
09750S,RATHFARNHAM,268127,53.3096938,-6.2820242
09760V,ENNISKERRY,257036,53.1885764,-6.1673643
09782I,ARABELA,77004,52.2463945,-9.5980417
09815U,TULLYLEASE,47314,52.3144969,-8.9394165
09833W,RINVYLE,67192,53.5859221,-9.9117513
09837H,DUNLOE,77072,51.985706,-9.646616
09841V,BALLYDUFF,77015,52.4545516,-9.6629052
09872J,COOMLOGANE,47114,52.0601318,-9.0647121
09878V,CAHER,77035,51.8911378,-10.2281816
09915B,EMLYGRENNAN,127068,52.3974388,-8.4789981
09927I,COOLRUS,127049,52.4593125,-8.7636093
09932B,ARRAN QUAY B,268002,53.3526416,-6.282914
09938N,CASTLEISLAND,77044,52.2300415,-9.4659594
09967U,CARRICKBEG URBAN,217042,52.3437928,-7.417962
10014Q,KILCUMMIN,77092,52.1249321,-9.5055646
10047I,MACROOM URBAN,47243,51.903175,-8.956614
10049M,COOLIES,77053,52.0253654,-9.4559396
10050U,COOLIES,77053,52.0392638,-9.4739618
10095T,AHASCRAGH,67006,53.398941,-8.3344002
10111O,LACKAN,257054,53.1389345,-6.4903712
10120P,CAHER,217038,52.3745296,-7.925247
10131U,TOGHER,257073,53.1063769,-6.52454
10146K,KILLASHANDRA,27057,54.0138727,-7.5282313
10223C,KILGLASS,137037,53.5918533,-7.6971425
10239R,CAHERDANIEL,77036,51.7742233,-10.1108589
10243I,BOULTEEN,47056,51.70567,-8.88384
10296G,PORTMARNOCK SOUTH,267111,53.4219778,-6.1352029
10353P,TULLAMORE URBAN,187087,53.2733025,-7.4814964
10429W,DAWSONGROVE,177032,54.1178982,-7.0148382
10494K,BLACKROCK-CARYSFORT,267020,53.2892889,-6.1809426
10499U,CLONAKILTY URBAN,47096,51.6260801,-8.874351
10501E,ASTEE,77008,52.5520897,-9.5396175
10523O,FERMOY URBAN,47152,52.1427175,-8.2740579
10533R,KILLADRIFFE,217098,52.4015639,-7.9631475
10544W,STRADBALLY,107091,53.0134405,-7.1454198
10548H,BANTRY URBAN,47042,51.6814766,-9.4547775
10591I,SKANNIVE,67200,53.3227089,-9.7369713
10595Q,BALLYSHANNON RURAL,57013,54.5341212,-8.2298638
10653E,CHAPELIZOD,268037,53.350269,-6.3450544
10675O,KILLOGILLEEN,67136,53.1987809,-8.7108922
10683N,KILBRIDE,257046,53.1982029,-6.4673638
10724B,YOUGHAL URBAN,47323,51.9478747,-7.8505461
10739O,BALLINGURTEEN,47017,51.7046192,-9.0365861
10751E,CLONTIBRET,177025,54.1945676,-6.8502914
10755M,DUNURLIN,77074,52.16615,-10.40599
10763L,BOSTON,37015,53.0311572,-8.9314536
10771K,COBH URBAN,47107,51.8520051,-8.2871191
10775S,NEWTOWNSANDES,77142,52.46585,-9.37081
10780L,BALLOUGHTER,247021,52.6150252,-6.3733236
10801Q,BOHERBOY,167012,53.7261886,-6.9407333
10835K,CASTLECOMER,97022,52.8028483,-7.2099428
10857U,KINTURK,237069,53.67951,-7.30431
10863P,CLONBROCK,67061,53.4150181,-8.3497771
10886E,MUCKANAGH,37125,52.9905351,-8.8942661
10929T,RATHKEALE URBAN,127123,52.5187833,-8.9448259
10957B,LIXNAW,77129,52.4000795,-9.6168595
10967E,COOLOUGHER,197043,53.7323948,-8.5524374
10991B,TEMPLEBREDON,127133,52.508177,-8.3359322
11039O,CRUICETOWN,167023,53.7910127,-6.8032185
11067T,DUAGH,77071,52.4133363,-9.3879723
11072M,FAIR GATE,147014,53.7172225,-6.3549033
11203B,SEIRKIERAN,187076,53.0696668,-7.7858691
11205F,KILLASHANDRA,27057,54.0133639,-7.5276518
11234M,CREEGH,37044,52.7619701,-9.3901275
11236Q,NEWMARKET,47267,52.2144873,-9.0037442
11242L,CLOONFOWER,197037,53.7812718,-8.5822179
11248A,GLIN,77082,52.1752025,-10.2871726
11249C,BALLYNAMONA,47037,52.0672808,-8.5978455
11261P,CRUMPAUN,67074,53.3049655,-9.5947141
11262R,DROMINA,47139,52.3140077,-8.8021272
11280T,GLENSHARROLD,127078,52.4924934,-9.1488334
11290W,CLADDAGH,68005,53.270668,-9.0567905
11307N,KILFERGUS,127089,52.53517,-9.27439
11337W,COOLE,47111,52.1245303,-8.1705176
11363A,KILLARNEY URBAN,77102,52.0599353,-9.5044265
11367I,CASTLETOWN,217047,52.8820423,-8.3539647
11372B,DUNGANSTOWN EAST,257030,52.9015603,-6.050578
11373D,TURLOUGH,67214,53.3397736,-9.629967
11380A,KILLOUGHRUM,247072,52.5121081,-6.6796887
11384I,AGHNAMEADLE,217002,52.8207157,-7.9788458
11405N,LAHARD,77122,52.1060983,-9.6418135
11409V,BALLYCONNELL,27006,54.1173001,-7.5863074
11419B,PORTMAGEE,77145,51.8846627,-10.3684657
11422N,MAHOONAGH,127109,52.4309324,-9.0095842
11453B,BALLYPHILIP,217023,52.6118759,-7.5864966
11466K,ROCKHILL,197094,53.4846873,-8.1119678
11470B,FARRANRORY,217073,52.6250667,-7.5445816
11496T,NEWTOWN,47268,52.3454633,-8.767827
11517B,CAVAN URBAN,27025,53.9902405,-7.3628172
11525A,DRUMCONDRA SOUTH C,268060,53.3701693,-6.2582575
11541V,CAVAN RURAL,27024,54.0019174,-7.3892112
11578V,MANSION HOUSE A,268096,53.3466957,-6.2509863
11583O,MALAHIDE EAST,267105,53.4489278,-6.1529895
11605V,TULLAMAIN,217170,52.4679247,-7.8313865
11638N,EDMONDSTOWN,267083,53.2719359,-6.2822709
11649S,KILLISKEY,257050,53.0178729,-6.1258971
11669B,RINVYLE,67192,53.5951968,-9.957941
11714D,BANSHA,217026,52.4476261,-8.0656106
11725I,ARDNAREE SOUTH RURAL,157011,54.1163187,-9.0956112
11746Q,CASTLEGREGORY,77043,52.2588697,-10.0165495
11765U,DOONBEG,37049,52.7314324,-9.528819
11809O,CULLANE,127055,52.3268071,-8.3309622
11834N,GLENHEST,157083,53.9395065,-9.4407443
11843O,KILLYBEGS,57096,54.6386696,-8.4405239
11873A,SHANKILL-RATHMICHAEL,267120,53.2361462,-6.1277496
11893G,NAAS RURAL,87070,53.1958432,-6.672531
11894I,PEMBROKE EAST C,268112,53.3283153,-6.2111718
11931L,CARRIGBAUN,47073,51.6347711,-9.2010249
11943S,BALLINLOUGH,197012,53.7412503,-8.6355799
11955C,RIDDLESTOWN,127126,52.5278377,-9.0243821
11969N,CARRICKBEG RURAL,227018,52.3315887,-7.4038621
11976K,KILCOCK,87047,53.4019522,-6.6678212
11978O,MOYLAGH,167063,53.7396677,-7.150937
11990E,BOHERGLASS,37014,52.8816758,-8.6065768
11992I,CORKBEG,47115,51.8234779,-8.2355132
12003V,CASTLESAMPSON,197033,53.4127462,-8.0971109
12007G,FERRYBANK,228015,52.2655751,-7.1017349
12012W,DOUGLAS,47132,51.8738833,-8.4364725
12014D,LUCAN HEIGHTS,267101,53.3603492,-6.4356329
12015F,LISCARROLL,47238,52.258985,-8.8063026
12041G,MIDLETON URBAN,47254,51.9160173,-8.1687871
12077E,GORTNAVERN,57082,54.9956825,-7.7313729
12099O,TERMON,27087,53.8868399,-7.1453448
12106I,CLOONBUR,67064,53.54495,-9.3641499
12124K,ABINGTON,217001,52.6863932,-8.2375229
12136R,ARDAGH EAST,137004,53.668767,-7.619686
12138V,TUAM URBAN,67212,53.5141156,-8.8565177
12140I,RATHMACURKEY,207065,54.2131456,-8.9916444
12147W,ARDFIELD,47011,51.5711456,-8.9104894
12169J,TEMPLEBREEDY,47303,51.79826,-8.28992
12171T,CASTLECONOR WEST,207025,54.1644096,-9.0770145
12173A,CARAUN,157046,53.7033475,-8.9461581
12180U,KILMACOMMA,227057,52.3483708,-7.7180853
12182B,MONASTEREVIN,87067,53.1405722,-7.063063
12203G,BALLINLOUGH B,48002,51.8879917,-8.447927
12206M,CARROWMORE,157047,54.043438,-9.177771
12259K,KILCATHERINE,47188,51.6951916,-9.9636184
12263B,DUNDERROW,47142,51.8234798,-8.5783588
12281D,COBH RURAL,47106,51.8668386,-8.2362555
12292I,CANNAWAY,47067,51.8892904,-8.8561883
12294M,LUSMAGH,187062,53.1726657,-8.0196366
12312L,COOTEHILL URBAN,27028,54.075721,-7.0865368
12343W,SHINRONE,187079,52.9851285,-7.9231327
12349L,CLONMEL WEST URBAN,217056,52.3544542,-7.7052303
12350T,NEALE,157124,53.57378,-9.22527
12354E,ARABELA,77004,52.25507,-9.57912
12358M,SWORDS VILLAGE,267135,53.4573267,-6.2232707
12368P,ABBEYFEALE,127001,52.3849983,-9.3013897
12370C,BIRR URBAN,187013,53.0907869,-7.9113785
12373I,AN GEATA MOR THEAS,157007,54.1182179,-10.1015402
12382J,CURRAGLASS,47122,52.0943718,-8.0490424
12383L,MYROSS,47265,51.5533918,-9.1441097
12395S,KILBERRIHERT,47182,51.934067,-8.8996275
12413R,DONAGHMORE,257028,52.9904826,-6.6270231
12446J,MARSHALSTOWN,47248,52.2548477,-8.3538421
12447L,CAHERDUGGAN,47063,52.185986,-8.6702517
12448N,MOUNTJOY B,268105,53.357882,-6.25894
12456M,TIMOLEAGUE,47310,51.6424535,-8.7641889
12467R,BALLINAMORE,157018,53.8179141,-9.0775984
12473M,GREENMOUNT,48034,51.8911922,-8.4812239
12476S,RATHPATRICK,97091,52.2834423,-7.0667515
12488C,OLDCASTLE,167070,53.7690196,-7.1587188
12502Q,ROUNDSTONE,67194,53.3964208,-9.9190184
12505W,INCHIGEELAGH,47176,51.8621983,-9.0605709
12529N,RATHDRUM,257065,52.9304749,-6.2283975
12535I,CUSTOM HOUSE A,228012,52.2593197,-7.1100702
12537M,KILFREE,207046,53.9968262,-8.528307
12540B,KILLAVINOGE,217100,52.8299157,-7.7657793
12554M,GREYSTONES,257039,53.1493427,-6.0691875
12568A,KNOCKNALOWER,157111,54.2511986,-9.8649436
12569C,MUINGNABO,157121,54.2853252,-9.796802
12574S,BEAGH,67033,53.0123571,-8.8669459
12587E,GUNSBOROUGH,77086,52.4829675,-9.5395286
12598J,ROSSCARBERY,47282,51.5803726,-9.0296174
12606F,RYEHILL,67195,53.3966943,-8.7901366
12613C,GLENBROHANE,127076,52.3870712,-8.3876924
12631E,PALLASKENRY,127118,52.6392744,-8.8675225
12633I,COOLMEEN,37038,52.6599457,-9.212848
12683A,LONGFORD RURAL,137045,53.7399741,-7.8022222
12685E,GLANLOUGH,47157,51.60466,-9.62386
12688K,HUMEWOOD,257042,52.9062271,-6.6042155
12692B,BALLYBROPHY,107010,52.892768,-7.6455441
12701W,CAHER,77035,51.948286,-10.2238079
12706J,SELERNA,67197,53.2458275,-9.3821231
12736S,BUNLAHY,137012,53.7927669,-7.5846146
12741L,MARSHALSTOWN,247085,52.5478747,-6.6035384
12755W,RATHMINES WEST C,268134,53.3185555,-6.2634534
12767G,KILLARAGHT,207049,53.97161,-8.40691
12782C,BALLINDUFF,67020,53.4422564,-9.0426606
12792F,ARDNAREE SOUTH URBAN,157154,54.1078528,-9.1533042
12813K,MULLANALAGHTA,137051,53.8175673,-7.5374095
12816Q,BALLINROBE,157021,53.6237338,-9.2211143
12820H,KILLORGLIN,77106,52.1073899,-9.8743427
12832O,KILLORGLIN,77106,52.1083268,-9.7876405
12834S,DOCK B,128015,52.6579963,-8.6301212
12841P,KILRUSH,247080,52.6506838,-6.5514501
12848G,MOYARTA,37124,52.62315,-9.6477357
12875J,KILLORGLIN,77106,52.1149626,-9.8394383
12897T,NEWCASTLE,167067,53.8260102,-6.8790935
12936D,SONNAGH,157140,53.930644,-8.8383224
12946G,KILCUMMIN,67122,53.2736962,-9.5403958
12954F,LACKAGHBEG,67157,53.3688046,-8.8891424
12964I,MOTE,197091,53.6005098,-8.1291146
12967O,INCHIGEELAGH,47176,51.8424464,-9.1264323
12975N,NEWCASTLE RURAL,127115,52.4395742,-9.0674736
12998C,ROBERTSTOWN,87082,53.2931573,-6.8185844
13020D,STRADBALLY,227085,52.1378868,-7.4671738
13026P,KILFINNANE,127090,52.3586898,-8.4672787
13031I,RATHLUIRC,47090,52.3546235,-8.685934
13047A,ARTAGH NORTH,197004,53.8592062,-8.6367412
13080V,KILMOVEE,157103,53.8883461,-8.6882088
13095L,BANTRY URBAN,47042,51.6800803,-9.4525763
13118U,CLARA,187018,53.3421242,-7.603988
13125R,CLONAKILTY URBAN,47096,51.6203379,-8.9055104
13145A,WESTPORT URBAN,157153,53.7980675,-9.5503204
13150Q,BREWSTERFIELD,77033,52.0335128,-9.3777531
13152U,CLOONKEEN,157055,53.8216505,-9.3346277
13165G,KILBERRY,87046,53.0507557,-7.0224208
13174H,CLARE ISLAND,157050,53.7019853,-10.1026716
13196R,RIVERSTOWN,207066,54.130045,-8.397787
13198V,CASTLEREAGH,197032,53.766325,-8.4864534
13203L,SCRABBY,27078,53.8737049,-7.5336731
13217W,RATHCOOLE,267112,53.2801699,-6.4767635
13222P,GLENCASTLE,157081,54.1956429,-9.9090142
13224T,ARKLOW RURAL,257003,52.8279334,-6.2643155
13234W,MOVIDDY,47263,51.8463885,-8.7887842
13242V,BREENCORRAGH,207016,54.0619725,-8.8591747
13246G,MONEYSTOWN,257057,53.0035937,-6.1991311
13262E,CAMS,197027,53.6529485,-8.2519894
13286S,TEERELTON,47301,51.8372603,-8.9904989
13299E,BALLYHUSKARD,247016,52.4647155,-6.5003913
13311O,CLARE ISLAND,157050,53.793183,-9.9898446
13313S,MEATHAS TRUIM,137029,53.6956862,-7.608493
