S-ID,Address Line 1,County,Lat (WGS84 GPS),Long (WGS84 GPS)
04802J,Cloonacool,Sligo,54.100753000000005,-8.7778571
04809A,"An Céideadh,",Donegal,54.997352600000006,-8.4185728
04919H,Cratloe,Clare,52.69950849999999,-8.755417800000002
04953H,Ballyhass,Cork,52.1741854,-8.804742999999998
04992R,St Canice's Road,Dublin,53.384093299999996,-6.2738992
05062A,Navan Road,Meath,53.72469939999999,-6.8670271
05070W,Ballymurn,Wexford,52.5068183,-6.5819746
05115S,Lenamore,Longford,53.6212481,-7.6308386
05120L,Lissatava,Mayo,53.6595962,-9.0749359
05144C,New Inn,Tipperary,52.51590970000001,-7.8915828999999995
05164I,Oileán Thoraí,Donegal,55.26500600000001,-8.224563400000001
05220P,Woodbrook,Roscommon,53.945115599999994,-8.0861878
05230S,Main Street,Donegal,54.832920400000006,-7.482238400000001
05253H,Iragh,Clare,52.840484700000005,-8.672217999999999
05257P,Dunmanway Road,Cork,51.748835299999996,-8.7439316
05348S,Tahilla,Kerry,51.8339385,-9.8228468
05477G,Laragh,Cork,51.7578958,-8.7899784
05501A,Killanny,Monaghan,53.95834250000001,-6.649611800000001
05508O,With Facility for Deaf Children,Cork,41.351175700000006,-88.8415563
05513H,Water Street,Westmeath,53.6815554,-7.296149300000001
05548D,S.N. Bhaile Mhic Airt,Waterford,52.0067506,-7.6399254
05565D,Trafrask,Cork,51.6872472,-9.6648601
05600C,Convent Road,Dublin,53.29233979999999,-6.1379415999999996
05627W,Bailieborough,Cavan,53.9171451,-6.973993400000001
05630L,Patrick Street,Meath,53.5515853,-6.791562299999999
05636A,Bantry Road,Cork,51.7171333,-9.1157026
05656G,Goleen,Cork,51.4938734,-9.7095644
05754G,Crinnage,Galway,53.236836600000004,-8.751418300000001
05756K,Carrownacon,Mayo,53.73685699999999,-9.2428788
05916G,Main Street,Westmeath,53.3888652,-7.3757224
05927L,Church Hill,Kilkenny,52.59997979999999,-7.3082575
05933G,George's Hill,Dublin,53.3483489,-6.271549299999999
05940D,Blackrock Road,Cork,51.8956964,-8.414518800000002
05970M,Barraduff,Kerry,52.059301700000006,-9.3358106
06028F,Rockcorry,Monaghan,54.117898200000006,-7.0148382
06044D,Kilcooley,Galway,53.2005581,-8.455274000000001
06100K,Keadue West,Roscommon,54.0656885,-8.1770617
06117E,Doohamlet,Monaghan,54.1291448,-6.8306647
06176U,Blessington Demesne,Wicklow,53.175985499999996,-6.5459079000000004
06200O,Grotto Place,Dublin,53.3089988,-6.1987888
06209J,Tomard,Kildare,53.0032201,-6.9856007
06227L,An Charraig,Kerry,55.104544999999995,-8.286058599999999
06295F,Freemount,Cork,52.278056299999996,-8.884503500000001
06342L,Gilclough,Cork,51.9547081,-8.6565838
06489S,Sylane,Galway,53.5141156,-8.8565177
06516S,Kildimo,Limerick,52.6211635,-8.8115252
06539H,Knockea,Limerick,52.606105299999996,-8.5722058
06576N,Dromin,Louth,53.8444493,-6.4444094000000005
06621P,Ballinlaw,Kilkenny,52.298776200000006,-7.034295200000001
06658P,Kiladangan National School,Tipperary,52.9311708,-8.2390214
06789H,Lisronagh,Tipperary,52.4177263,-7.7038901
06852L,Garracloon,Mayo,54.0907066,-9.228552800000001
06936R,Cathedral Place,Limerick,52.6618831,-8.6163235
06959G,Clonroche,Wexford,52.4474669,-6.724560799999999
06998Q,Corlough,Cavan,54.12356389999999,-7.7688977
07006A,Ballyclough,Cork,52.0618477,-8.0221901
07054L,Faranoo,Mayo,54.1380922,-9.1638727
07075T,Cross,Mayo,53.723876399999995,-9.0017356
07117J,Patrickswell,Limerick,52.51631510000001,-8.533876300000001
07120V,Hill of Down,Meath,53.4860249,-7.002428900000001
07143K,Monreagh,Donegal,54.95635600000001,-7.457107700000001
07183W,Davitt Road,Laois,53.1133662,-7.3188819
07191V,Blueball,Offaly,53.2755255,-7.4933852
07222G,Dohora,Limerick,52.4807181,-8.7081204
07242M,Cloghroe,Cork,51.9178279,-8.616592800000001
07245S,Cullen,Tipperary,52.51158910000001,-8.2778414
07246U,Ravenswell,Wicklow,53.209472899999994,-6.1102349
07315N,Station Road,Clare,52.842065500000004,-8.9817448
07317R,Tournafulla,Limerick,52.362988,-9.163824
07358I,Skeheenarinky,Tipperary,52.3113101,-8.0792299
07374G,Ballintubber,Mayo,53.758423,-9.305474900000002
07441S,Clashmore,Waterford,52.0087143,-7.7721539
07442U,Borrin-in-Ossory,Laois,52.93938000000001,-7.630777
07455G,Ballygar,Galway,53.522562699999995,-8.3257391
07464H,Brownknowe,Donegal,55.060611800000004,-7.6213522
07481H,Cottresllstown,Kilkenny,52.4613287,-7.3289369
07518E,Melview,Longford,53.759980000000006,-7.79188
07546J,Saint Vincent Street West,Dublin,53.336641500000006,-6.319056400000001
07551C,Ballinderreen,Galway,53.1849544,-8.909806399999999
07626H,Urblereagh,Donegal,55.3360596,-7.2878238
07636K,New Line Road,Laois,52.99862589999999,-7.4788203
07651G,Convent Road,Cork,51.6260391,-8.8808829
07722D,Excise Street,Westmeath,53.4218106,-7.942089200000001
07737Q,Villierstown,Waterford,52.0882445,-7.8507679999999995
07751K,North Road,Monaghan,54.251117799999996,-6.972170200000001
07790U,Churchtown,Kildare,53.0093311,-7.051642599999999
07841L,Beaufort,Kerry,52.0655656,-9.729510699999999
07857D,Killinure,Limerick,999.0,999.0
07900B,Ballysteen,Limerick,52.6468164,-8.951775999999999
07949I,Model School Road,Offaly,53.0994539,-7.9144953
07990F,Ballyfinane,Kerry,52.1708717,-9.596077000000001
08037Q,Clogher,Westmeath,53.5351792,-7.792764900000001
08099P,Sallins,Kildare,53.248377399999995,-6.661496700000001
08100U,Edmonstown,Westmeath,53.513685200000005,-7.1427857
08143P,Bawn Road,Cavan,54.193763600000004,-7.7047113
08147A,Aghort The Glen,Kerry,999.0,999.0
08221J,Templeshannon,Wexford,52.504536,-6.5566341
08251S,West End,Kerry,51.8385167,-9.9043117
08302J,Newport Road,Mayo,53.8017782,-9.5213563
08342V,Srahane,Limerick,52.6111579,-8.5250538
08379V,Ballyshrule,Galway,53.11252879999999,-8.287875699999999
08390J,Church Lane,Leitrim,54.305128700000004,-8.1728495
08393P,Rathduff,Cork,52.0167102,-8.583105900000001
08419H,Ardpatrick,Limerick,52.3434276,-8.5188954
08430S,Gortnaclohy,Cork,51.5489214,-9.2457269
08446K,Tulach Uí Chadhain,Galway,53.338748100000004,-9.1814776
08453H,Crubany,Cavan,53.9637748,-7.3229896
08490N,Ard Mhuire,Cavan,53.992444400000004,-7.3565800999999995
08512U,Killimor,Galway,53.159153,-8.2017784
08530W,Lauragh Lower,Kerry,51.764070600000004,-9.777415800000002
08572P,Bruree,Limerick,52.422884100000005,-8.6491696
08673V,Castle Street,Leitrim,53.9226451,-7.8650864
08687J,Coars,Kerry,51.940460200000004,-10.1117716
08791E,Lissivigeen,Kerry,52.0511318,-9.4588459
08828B,Kilcorney,Cork,52.0941821,-8.9734088
08926B,Blackabbey,Limerick,52.567839,-8.784765
08948L,Monea,Cavan,54.064876399999996,-7.4752867
08972I,Castlelack,Cork,51.7803174,-8.739436099999999
09009Q,Rockfield National School,Donegal,54.4831575,-8.1192776
09040K,Ballysakeery,Mayo,54.186904399999996,-9.1795375
09069L,Cloghaun,Galway,53.3762503,-8.944668
09132P,Carnane,Limerick,52.571248499999996,-8.581176800000001
09161W,Summerhill,Cork,51.6789948,-9.4437041
09184L,Shielbaggan,Wexford,52.2621221,-6.8810477
09186P,Magherarney,Monaghan,54.2166118,-7.1119168
09190G,Boher,Tipperary,52.8020412,-8.3675674
09191I,Geashill,Offaly,53.234317000000004,-7.322592299999999
09209B,Castledrum,Kerry,52.174255200000005,-9.7718559
09238I,Ballinlough,Meath,53.7323416,-7.0282029999999995
09260B,Listellick,Kerry,52.2981973,-9.6944455
09296W,Blackabbey,Limerick,52.5655422,-8.7878649
09302O,Glenflesk,Kerry,51.9948179,-9.3131602
09304S,Raheen,Kerry,52.087547799999996,-9.3662793
09306W,High Street,Limerick,52.520982499999995,-8.7132966
09320Q,Drumphea,Carlow,52.661413,-6.837131599999999
09353I,Mullyaster,Leitrim,54.0366588,-7.681145900000001
09390O,Rockmount,Clare,52.868707799999996,-9.3471603
09401Q,Monagea,Limerick,52.4176342,-9.088093800000001
09414C,Crookstown,Kildare,53.020826899999996,-6.804755900000001
09425H,Rineen,Clare,52.8907449,-9.3890249
09432E,Murgasty Road,Tipperary,52.4793428,-8.162509
