P-ID,S-ID,Closest School (km),Num Sec Schools < 5km
4462766,60121B,6.770631030099647,0.0
4444763,60121B,4.466597992636084,2.0
4431524,60121B,0.4178743918883148,12.0
4465176,60121B,4.5115396068317555,2.0
4449255,60121B,1.9833973858494,5.0
4461066,60121B,5.6479243047457155,0.0
4468570,60121B,4.931295417319125,1.0
4461422,60121B,6.732498733692576,0.0
4418811,60121B,6.881001112127621,0.0
4344226,60121B,5.605525661781417,0.0
4447357,60121B,4.556128118735803,2.0
4457806,60122D,2.3813538840432327,11.0
4465022,60122D,0.6952317665732946,12.0
4434023,60122D,1.0815776646605195,15.0
4468553,60122D,1.6639035394339583,15.0
4464270,60122D,2.2415383081646825,13.0
4441173,60122D,1.2537579046039429,14.0
4468754,60122D,1.6589300211662152,16.0
4461517,60122D,2.650307000667701,7.0
4433827,60130C,0.9997778666598502,9.0
4441530,60130C,0.21183485881774888,9.0
4153283,60130C,0.8238744132247297,9.0
4466280,60140F,0.4343616647194281,38.0
4464788,60140F,0.5959205829932591,38.0
4460034,60140F,0.4537066128771981,38.0
4452086,60180R,0.5687584829245861,16.0
4461700,60180R,0.8311723422084053,17.0
4458197,60180R,0.7359304054974424,16.0
4467850,60180R,0.5647997044384583,18.0
4450195,60180R,0.552779509384701,17.0
4456181,60180R,0.3065275678359851,19.0
4456992,60180R,0.4221483789435565,19.0
4450908,60180R,0.3508757894662026,17.0
4459853,60240J,0.6384959934219587,22.0
4433718,60240J,0.8855609336095164,21.0
4360176,60240J,0.8613111605166789,22.0
4462693,60240J,0.8855609336095164,21.0
4466262,60250M,1.0868216094619,11.0
4365153,60260P,0.8622689570977689,9.0
4462723,60261R,0.24101757334598944,34.0
4468738,60261R,1.0787996711930483,27.0
4460523,60261R,0.7123665436390693,33.0
4462648,60261R,1.3055782450306066,25.0
4452951,60261R,0.9331383671683248,36.0
4454964,60262T,1.0265705129712208,10.0
4442939,60262T,1.1793101759905935,10.0
4449016,60262T,2.637745808221444,11.0
4450193,60262T,0.3604124646188549,11.0
4463351,60262T,0.5819465208825776,13.0
4418334,60262T,0.3402825897285057,11.0
4464732,60262T,1.0131366553350742,10.0
4458903,60262T,0.6385742534591666,12.0
4328131,60263V,0.8766659848860157,5.0
4463956,60263V,1.4443779721572398,6.0
4436915,60263V,2.7195050848152147,3.0
4467739,60263V,5.2090667551339465,0.0
4405500,60263V,1.0320729461245297,4.0
4467567,60264A,1.9074464847274264,5.0
4459438,60264A,1.9615071026987907,5.0
4450835,60264A,0.7821178231759557,10.0
4462065,60264A,1.1408840635262123,8.0
4449821,60264A,0.7588168504357689,10.0
4414179,60264A,1.8417378861722975,10.0
4333618,60264A,0.8091620493512447,10.0
4420878,60264A,0.2637279029162776,7.0
4461014,60264A,1.332923451864667,10.0
4458675,60264A,1.3993274441278871,8.0
4440318,60272W,1.7577977976145038,10.0
4466420,60272W,1.217611570617121,15.0
4451261,60290B,0.21962013255075527,18.0
4464946,60290B,0.5428506094647421,20.0
4463673,60291D,0.8974153902605416,16.0
4467592,60291D,1.054517484546022,17.0
4440230,60291D,1.5533727111467124,13.0
4467063,60291D,0.4097121850612528,16.0
4415070,60300B,0.4146322156919847,16.0
4453253,60300B,0.656878430358995,17.0
4433733,60310E,0.4426013663040351,42.0
4458288,60310E,0.3152332815784801,46.0
4467877,60310E,1.191131847043688,35.0
4346063,60310E,0.79442195079529,46.0
4468641,60310E,0.79442195079529,46.0
4455803,60310E,1.187050513186733,38.0
4465320,60310E,0.34990040931692784,43.0
4443200,60310E,1.1331103741388286,41.0
4438720,60310E,1.1331103741388286,41.0
4465069,60310E,0.4304734401764263,40.0
4431470,60321J,1.3984431363327985,14.0
4451353,60340N,0.2609551273077245,35.0
4464349,60340N,0.555828691457308,30.0
4422252,60341P,0.42726039191460347,19.0
4454163,60341P,1.0494906152369172,17.0
4454035,60341P,0.7236085200789096,16.0
4433552,60341P,0.4001928375964372,21.0
4463189,60342R,0.6731011083007533,26.0
4441641,60342R,0.9180485964051374,21.0
4450388,60343T,4.6224897143351065,1.0
4462449,60343T,1.613619177303036,1.0
4444132,60343T,0.28576526012504266,1.0
4455885,60343T,1.5855152571373274,1.0
4419387,60343T,5.033344756805606,0.0
4063385,60343T,5.256856198854893,0.0
4465425,60343T,5.45690452492774,0.0
4465817,60343T,4.683330569832061,1.0
4463660,60343T,5.831067384335456,0.0
4464854,60361V,1.0123141614795557,25.0
4467770,60361V,0.2317781665327375,25.0
4344696,60361V,1.3953214253698156,24.0
4460597,60361V,0.6450777227734762,33.0
4458103,60380C,0.8683601619809364,4.0
4224454,60380C,0.3175222310677017,7.0
4443095,60381E,2.231134224609492,4.0
4449575,60381E,2.668626968812177,4.0
4468649,60383I,1.8392072842843183,3.0
4266181,60383I,2.1660838768372552,3.0
4463768,60383I,0.8471092880092975,3.0
4450373,60383I,2.427602791099586,3.0
4467543,60383I,2.0341646529806225,3.0
4420518,60383I,1.017642472823771,3.0
4441220,60383I,1.3583518783590982,2.0
4414301,60390F,1.2480659341911808,40.0
4409048,60390F,0.579927858601251,39.0
4458741,60390F,0.3588380229097401,39.0
4466664,60390F,0.7455965288746812,41.0
4444541,60390F,1.2114341774075867,41.0
4457503,60390F,0.6919037229940878,42.0
4422756,60400F,0.4308313598662369,38.0
4422758,60400F,0.4308313598662369,38.0
4422762,60400F,0.4308313598662369,38.0
4422764,60400F,0.4308313598662369,38.0
4463226,60400F,0.5892245000910514,39.0
4452848,60400F,0.632272674195525,37.0
