id06,ed_english,pop2016,hpindex2016,unemploy,larent,hlprof
18156,CLONMEEN,285,4.09614368,3.57142857,0.00E+00,48.42105263
18157,COOLCLOGH,415,2.10843415,6.72268908,0.00E+00,44.3373494
18158,DROMINA,626,-6.64745224,13.50040801,10.14638897,29.71246006
18159,GLENLARA,410,-3.44351969,5.10405876,1.39922978,27.56097561
18160,GORTMORE,220,2.9621911,3.07692308,0.00E+00,45.90909091
18161,GREENANE,1283,-5.10182535,9.71119339,5.51501111,30.70927514
18162,KANTURK,1935,-7.3975779,14.57873249,13.00199446,30.90439276
18163,KILBRIN,330,-2.59350093,5.31914894,5.78512397,35.45454545
18164,KILMEEN,350,-9.91695999,10.71428571,9.09090909,26.57142857
18165,KNOCKATOOAN,310,-7.4624783,7.61739782,1.7921147,28.38709677
18166,KNOCKTEMPLE,476,-7.8989606,9.56182473,8.68347339,27.10084034
18167,MEENS,461,-7.07106665,10.50577526,2.35938374,34.92407809
18168,MILFORD,680,-3.8610314,8.46765661,8.15956395,36.02941176
18169,NAD,86,-3.56879913,20.83333333,0.00E+00,34.88372093
18170,NEWMARKET,1518,-6.1423483,11.64095288,6.32930613,35.24374177
18171,NEWTOWN,906,-4.17568359,10.06734272,4.12701679,33.66445916
18172,ROSKEEN,458,-1.80862276,8.52775513,2.02360958,36.68122271
18173,ROSNALEE,358,-0.1612921,5.82633426,0.00E+00,39.38547486
18174,ROWLS,156,-13.46331363,10.63829787,8.19672131,21.15384615
18175,TINCOORA,489,-0.77764756,7.03662391,10.26993865,45.39877301
18176,TULLYLEASE,407,-5.8589344,5.87015876,5.93560067,31.44963145
18177,WILLIAMSTOWN,499,-8.59762133,13.15793981,6.10879747,25.4509018
18178,BALLINSPITTLE,659,1.39755492,7.04500142,5.50461927,41.72989378
18179,BALLYFEARD,374,-0.67398625,8.24742268,0.78740157,40.10695187
18180,BALLYFOYLE,362,0.9812219,14.14141414,0.84745763,54.14364641
18181,BALLYMACKEAN,373,1.33506884,9.13320893,1.53846154,46.11260054
18182,BALLYMARTLE,1226,5.66305948,4.25578411,2.72658826,51.95758564
18183,CARRIGALINE,2462,3.70416036,9.8760781,7.2763071,42.93257514
18184,COOLMAIN,456,4.99106109,3.2748538,0.00E+00,41.44736842
18185,CULLEN,495,4.59064298,6.67043159,1.98738081,48.88888889
18186,FARRANBRIEN,540,3.07344538,7.34985205,2.417154,40.92592593
18187,KILMONOGE,1329,4.63886267,5.62592117,4.2975136,47.17832957
18188,KILPATRICK,526,1.85107217,8.78428466,1.76136364,44.67680608
18189,KINSALE RURAL,4913,3.38595979,8.10953174,2.94964257,49.78628129
18190,KINURE,356,3.74952845,7.69230769,0.9009009,48.03370787
18191,LAHERNE,576,4.61025649,6.40623826,5.2311769,43.92361111
18192,LEIGHMONEY,782,6.3418478,3.14133215,0.00E+00,49.10485934
18193,LISCLEARY,4641,2.80208181,9.8580444,6.23933888,44.77483301
18194,NOHAVAL,316,7.09353389,1.19047619,0.00E+00,48.73417722
18195,TEMPLEBREEDY,3778,2.3076986,9.46036463,4.40313701,47.43250397
18196,TEMPLEMICHAEL,741,4.8705429,7.45008471,0.40670697,50.20242915
18197,AGHINAGH,478,4.26781495,4.88410706,0.00E+00,49.37238494
18198,AGLISH,1453,5.6986601,4.68326219,0.22446927,51.5485203
18199,BEALANAGEARY,534,-3.75679691,11.6158968,2.83362902,36.32958801
18200,CANDROMA,329,0.46318453,7.36842105,0.88495575,38.29787234
18201,CANNAWAY,626,1.38412091,5.99576563,1.05122127,42.97124601
18202,CLEANRATH,225,-0.37079272,9.09090909,1.2345679,44
18203,CLONDROHID,873,-3.02649142,7.6194868,5.94978979,34.70790378
18204,CLONMOYLE,553,2.50313183,4.61597527,3.26804506,41.7721519
18205,DERRYFINEEN,243,-5.0395167,8,1.19047619,34.1563786
18206,GORTNATUBBRID,451,-0.20128834,6.7762571,0.00E+00,46.11973392
18207,GOWLANE,1182,0.59477087,4.50384293,0.77552171,35.95600677
18208,GREENVILLE,281,-0.00089869,13.69863014,0.00E+00,49.82206406
18209,INCHIGEELAGH,538,-4.01833543,9.28662602,4.08921933,36.61710037
18210,KILBERRIHERT,713,0.12176449,10.22935274,2.59991217,43.33800842
18211,KILCULLEN,843,4.39072317,4.31562238,0.75345769,45.19572954
18212,KILNAMARTERY,673,1.45727601,5.99207627,0.91596182,41.75334324
18213,MACLONEIGH,870,-1.02180932,10.08661162,0.74733243,43.10344828
18214,MAGOURNEY,1049,-4.38970539,10.79185024,5.33688026,38.13155386
18215,MASHANAGLASS,447,-3.07892453,12.45881635,0.00E+00,42.28187919
18216,MOUNTRIVERS,694,-2.59588011,7.68613772,3.77581544,36.16714697
18217,RAHALISK,574,-2.50308333,9.00991202,1.08075444,36.93379791
18218,SLIEVEREAGH,851,-2.43533267,7.26805999,6.81900845,35.25264395
18219,ULLANES,597,0.8038721,3.52357415,0.9445375,38.52596315
18220,WARRENSCOURT,773,1.01863053,6.39661226,1.88961728,43.59637775
18221,ARDSKEAGH,429,-2.15557788,11.34023486,0.69665183,45.45454545
18222,BALLYCLOGH,700,1.64553536,3.72765711,0.43784787,41.42857143
18223,BALLYNAMONA,990,3.67975022,3.94246008,0.00E+00,50.3030303
18224,BUTTEVANT,1744,-7.72495526,17.69268727,12.93871484,31.07798165
