p_id,sale_price,property_type,beds,baths,area_sqm,routing_key,ber_rating,ber_energy,sec_school_distance,no_of_sec_schools_5k,pri_scholl_distance,no_of_pri_schools_5k,garda_distance,no_of_garda_5k,ann_mean_crime_0,total_crime_0,ann_mean_crime_1,total_crime_1,ann_mean_crime_2,total_crime_2,ann_mean_crime_3,total_crime_3,ann_mean_crime_4,total_crime_4,ann_mean_crime_5,total_crime_5,ann_mean_crime_6,total_crime_6,ann_mean_crime_7,total_crime_7,ann_mean_crime_8,total_crime_8,ann_mean_crime_9,total_crime_9,ann_mean_crime_10,total_crime_10,ann_mean_crime_11,total_crime_11,ed_english,pop_2016,hpindex_2016,ed_high,hl_prof,larent,unemployment,county,schoolrank,houses_sold,max_sale_price,min_sale_price,mean_sale_price,median_sale_price
4459712,8500.0,Site ,,,,R95,,,9.635348319863596,0.0,0.36546370134090383,3.0,0.512906993125435,2.0,5.08,61.0,10.33,124.0,3.0,36.0,10.5,126.0,5.25,63.0,0.67,8.0,0.0,0.0,1.08,13.0,9.42,113.0,0.25,3.0,16.25,195.0,0.67,8.0,POLLRONE,1461.0,-10.56516063,21.97605527,30.86926762,6.76427903,17.75638441,Kilkenny,,12.0,500000.0,75000.0,211875.0,176500.0
4420579,110000.0,Terraced House ,3.0,1.0,127.0,H62,E1,332.10,0.3041225711393432,1.0,0.0996677195983395,6.0,0.36053702544754707,1.0,43.33,520.0,33.67,404.0,16.17,194.0,57.42,689.0,37.5,450.0,14.75,177.0,0.08,1.0,14.0,168.0,134.42,1613.0,0.67,8.0,91.0,1092.0,3.5,42.0,LOUGHREA URBAN,5537.0,-5.71868233,33.95621704,30.99151165,13.98729151,17.09266956,Galway,215.0,16.0,277000.0,60000.0,166761.9375,175000.0
4443881,1200000.0,Detached House ,6.0,4.0,,R56,C2,185.4,4.902492687556856,2.0,2.9353701023713303,15.0,3.4647068304140745,2.0,47.25,567.0,65.5,786.0,28.42,341.0,88.33,1060.0,38.17,458.0,16.5,198.0,0.17,2.0,9.42,113.0,122.0,1464.0,5.08,61.0,158.92,1907.0,5.83,70.0,KILDARE,9874.0,-7.52433637,26.93274384,27.25339275,12.17322944,15.95629141,Kildare,335.0,15.0,261000.0,135000.0,224400.0,235000.0
4459572,1300000.0,Country House ,4.0,5.0,199.0,C15,C3,,13.586313443595504,0.0,3.797238477389055,3.0,4.714413844480276,1.0,24.33,292.0,58.17,698.0,7.08,85.0,38.0,456.0,23.0,276.0,6.58,79.0,0.0,0.0,13.67,164.0,31.08,373.0,2.58,31.0,111.5,1338.0,1.75,21.0,SKREEN,1481.0,2.36832947,41.23897803,45.71235652,2.43123204,7.19783241,Meath,59.0,8.0,4450000.0,180000.0,798437.5,285000.0
4457752,110000.0,Bungalow ,4.0,2.0,138.0,F45,D2,281.9,21.23779684431672,0.0,2.1833633787953963,1.0,4.187429971545244,1.0,4.58,55.0,3.83,46.0,1.17,14.0,4.58,55.0,3.25,39.0,0.5,6.0,0.0,0.0,0.5,6.0,3.58,43.0,0.17,2.0,9.25,111.0,0.17,2.0,COOLOUGHER,503.0,-9.41051962,22.00946964,28.82703777,2.18076158,14.68880297,Roscommon,419.0,9.0,570000.0,30000.0,141111.11111111112,71000.0
4467902,110000.0,Bungalow ,4.0,1.0,,F45,D2,281.90,21.23779684431672,0.0,2.1833633787953963,1.0,4.187429971545244,1.0,4.58,55.0,3.83,46.0,1.17,14.0,4.58,55.0,3.25,39.0,0.5,6.0,0.0,0.0,0.5,6.0,3.58,43.0,0.17,2.0,9.25,111.0,0.17,2.0,COOLOUGHER,503.0,-9.41051962,22.00946964,28.82703777,2.18076158,14.68880297,Roscommon,419.0,9.0,570000.0,30000.0,141111.11111111112,71000.0
4466328,189000.0,Bungalow ,2.0,2.0,,Y35,C1,174.07,9.016873228393802,0.0,2.682059540541234,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,MAYGLASS,617.0,-4.02761563,31.1029122,41.16693679,0.92220044,13.56403073,Wexford,81.0,4.0,290556.0,145000.0,224889.0,232000.0
4451652,129000.0,Detached House ,4.0,,,,,,1.1966015459336885,1.0,1.7359983995689654,2.0,0.2724811462162212,1.0,17.33,208.0,5.25,63.0,2.42,29.0,23.25,279.0,15.42,185.0,3.08,37.0,0.0,0.0,2.25,27.0,38.58,463.0,0.25,3.0,21.92,263.0,1.33,16.0,BELMULLET,1954.0,-12.77740085,23.41864881,24.05322416,8.62770498,18.38846975,Mayo,157.0,5.0,170000.0,105000.0,135200.0,130000.0
4430024,267500.0,Bungalow ,4.0,1.0,100.0,R93,F,425.55,3.4384782782481604,4.0,2.0388409179501945,11.0,3.5744316377335488,1.0,170.0,2040.0,245.42,2945.0,193.67,2324.0,313.92,3767.0,126.17,1514.0,31.33,376.0,0.5,6.0,59.67,716.0,511.42,6137.0,18.42,221.0,618.17,7418.0,19.25,231.0,,,,,,,,Carlow,,27.0,310000.0,75000.0,202559.07407407407,215000.0
4458327,235000.0,Bungalow ,3.0,2.0,,E21,D1,,5.8189586542299425,0.0,3.8480177154816313,1.0,4.948118754855821,1.0,26.92,323.0,30.0,360.0,34.0,408.0,37.17,446.0,38.5,462.0,5.83,70.0,0.33,4.0,5.5,66.0,79.17,950.0,0.58,7.0,55.42,665.0,9.08,109.0,KNOCKGRAFFON,780.0,-4.56752171,26.58499698,32.69230769,3.36097291,10.20433604,Tipperary,65.0,5.0,480000.0,77000.0,273000.0,305000.0
4437837,395000.0,Detached House ,4.0,3.0,119.0,P17,C2,197.08,9.576302329041386,0.0,2.8357893625747126,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,BALLINADEE,531.0,6.26424725,39.61720548,44.44444444,0.6217269,2.76843631,Cork,94.0,3.0,630000.0,105000.0,315000.0,210000.0
