G-ID,Station,Division
20138,Edenderry, Laois/Offaly Division
20105,Edgeworthstown, Roscommon/Longford Division
20533,Elphin, Roscommon/Longford Division
20282,Emly, Tipperary Division
20667,Emyvale, Cavan/Monaghan Division
2071,Enfield, Meath Division
20447,Ennis, Clare Division
20185,Enniscorthy, Wexford Division
20564,Enniscrone, Sligo/Leitrim Division
2041,Enniskerry, Wicklow Division
20468,Ennistymon, Clare Division
20495,Eyrecourt, Galway Division
20400,Farranfore, Kerry Division
20128,Ferbane, Laois/Offaly Division
20312,Fermoy, Cork North Division
20187,Ferns, Wexford Division
20208,Ferrybank, Waterford Division
20255,Fethard, Tipperary Division
2030,Finglas, D.M.R. Western Division
2033,Fitzgibbon Street, D.M.R. North Central Division
20585,Foxford, Mayo Division
20427,Foynes, Limerick Division
20534,Frenchpark, Roscommon/Longford Division
20229,Freshford, Kilkenny/Carlow Division
20475,Gaillimh, Galway Division
2076,Garristown, D.M.R. Northern Division
20308,Glanmire, Cork City Division
20325,Glantaine, Cork North Division
22222,Glasson,Westmeath
20571,Gleann na Muaidhe, Mayo Division
20547,Glenamaddy, Galway Division
20390,Glenbeigh, Kerry Division
20347,Glengarriff, Cork West Division
20211,Glenmore, Kilkenny/Carlow Division
20428,Glin, Limerick Division
20177,Glynn, Wexford Division
20588,Gob an Choire, Mayo Division
20283,Golden, Tipperary Division
20232,Goresbridge, Kilkenny/Carlow Division
20180,Gorey, Wexford Division
20507,Gort, Galway Division
20236,Graiguenamanagh, Kilkenny/Carlow Division
20103,Granard, Roscommon/Longford Division
20598,Grange, Sligo/Leitrim Division
2043,Greystones, Wicklow Division
20302,Gurranabraher, Cork City Division
20601,Gurteen, Sligo/Leitrim Division
2054,Hackballscross, Louth Division
20169,Hacketstown, Kilkenny/Carlow Division
20479,Headford, Galway Division
20417,Henry Street, Limerick Division
20245,Holycross, Tipperary Division
20434,Hospital Co Limerick, Limerick Division
2029,Howth, D.M.R. Northern Division
20502,Indreabhan, Galway Division
20336,Innishannon, Cork West Division
206,Irishtown, D.M.R. South Central Division
20369,Kanturk, Cork West Division
20535,Keadue, Roscommon/Longford Division
20345,Kealkil, Cork West Division
20591,Keel, Mayo Division
2058,Kells Ceanannus Mor, Meath Division
2098,Kenagh, Roscommon/Longford Division
20398,Kenmare, Kerry Division
20638,Kerrykeel, Donegal Division
2036,Kevin Street, D.M.R. South Central Division
2093,Kilbeggan, Westmeath Division
20341,Kilbrittain, Cork West Division
2069,Kilcock, Kildare Division
20523,Kilconnell, Galway Division
20129,Kilcormac, Laois/Offaly Division
20148,Kilcullen, Kildare Division
20146,Kildare, Kildare Division
20315,Kildorrery, Cork North Division
20460,Kildysart, Clare Division
20461,Kilkee, Clare Division
20583,Kilkelly, Mayo Division
20228,Kilkenny, Kilkenny/Carlow Division
20221,Kill Co Waterford, Waterford Division
20559,Killala, Mayo Division
20462,Killaloe, Clare Division
20396,Killarney, Kerry Division
20330,Killeagh, Cork North Division
20246,Killenaule, Tipperary Division
20693,Killeshandra, Cavan/Monaghan Division
20492,Killimor, Galway Division
20392,Killorglin, Kerry Division
2084,Killucan, Westmeath Division
20212,Kilmacow, Kilkenny/Carlow Division
20640,Kilmacrennan, Donegal Division
20222,Kilmacthomas, Waterford Division
20573,Kilmaine, Mayo Division
204,Kilmainham, D.M.R. South Central Division
20436,Kilmallock, Limerick Division
20223,Kilmeaden, Waterford Division
20240,Kilmoganny, Kilkenny/Carlow Division
20176,Kilmore Quay, Wexford Division
20680,Kilnaleck, Cavan/Monaghan Division
20497,Kilrickle, Galway Division
20455,Kilrush, Clare Division
20252,Kilsheelan, Tipperary Division
