P-ID,S-ID,Closest Sec School (km),Num Sec Schools < 5km,PrS-ID,Closest Pri School (km),Num Pri Schools < 5km
4462210,60021U,1.4677002135804793,12.0,19533Q,0.4424840628286439,48.0
4461292,60021U,0.5711241427675318,11.0,20437E,0.33920900452193503,41.0
4457528,60021U,1.4328654133663796,13.0,19533Q,0.19154911008231776,48.0
4456785,60021U,1.1287913325239733,11.0,19393D,0.5647888575750675,46.0
4456612,60021U,1.266980521849634,11.0,16759E,0.8596663682935942,44.0
4456636,60021U,1.3594636847545531,12.0,19533Q,0.4513983314310912,47.0
4456635,60021U,1.3594636847545531,12.0,19533Q,0.4513983314310912,47.0
4456630,60021U,1.3594636847545531,12.0,19533Q,0.4513983314310912,47.0
4456610,60021U,1.266980521849634,11.0,16759E,0.8596663682935942,44.0
4456609,60021U,1.266980521849634,11.0,16759E,0.8596663682935942,44.0
4456107,60021U,1.248454567821764,11.0,19538D,0.8425556554236677,48.0
4443288,60021U,1.0731780936234367,11.0,20437E,0.7640943178304145,42.0
4453253,60021U,1.239700868182161,11.0,16759E,0.8949435786035317,42.0
4448259,60021U,1.2480426445276942,11.0,20437E,0.8722064294438665,48.0
4445510,60021U,1.3575691760693809,11.0,16759E,0.7997233306210965,48.0
4441623,60021U,1.1450824669943185,11.0,20437E,0.821175291957767,42.0
4372137,60021U,2.770312909124949,6.0,10296G,0.06945463039694827,31.0
4419972,60021U,1.1180606525597079,11.0,20437E,0.8264153078539637,43.0
4444563,60030V,0.30898589670281645,27.0,19901T,0.5661235336580621,48.0
4467701,60030V,0.21398225174984886,27.0,19901T,0.43798743582701205,48.0
4455810,60030V,0.35357183730675434,27.0,19901T,0.5795040579767261,48.0
4448747,60041D,0.34078738457718977,33.0,17970F,0.19390075418585723,62.0
4454347,60041D,0.5957214655920773,34.0,17970F,0.5456904150379024,65.0
4466305,60041D,0.4268388102744989,30.0,17970F,0.4781602367056541,57.0
4464788,60041D,0.49787927291377954,30.0,19901T,0.5501615558205852,58.0
4464160,60041D,0.19570379048010755,33.0,17970F,0.2450286874415504,64.0
4461248,60041D,0.7096900025843049,35.0,17970F,0.73251099995379,64.0
4095111,60041D,0.4336575615435199,33.0,17970F,0.31882731655466284,62.0
4460453,60041D,0.59403575200447,34.0,17970F,0.5148232741662616,61.0
4448279,60041D,0.12750698240940328,33.0,17970F,0.31759605939162244,64.0
4362906,60041D,0.17871043775244289,32.0,17970F,0.2961177891463855,63.0
4454402,60041D,0.450718045923507,30.0,19901T,0.50110885418332,58.0
4466191,60042F,0.34094280740207333,31.0,18647D,0.6158140123397009,62.0
4466122,60042F,0.20775817418143272,32.0,17970F,0.634355811513599,65.0
4451254,60042F,0.5272579369728206,34.0,18647D,0.34064974710951984,68.0
4457150,60042F,0.9956903664665305,37.0,17970F,1.0994188572207497,71.0
4452208,60042F,0.16362273448472145,32.0,17970F,0.5972712156521955,65.0
4453329,60042F,0.7537173149763237,36.0,18647D,0.33215315546367885,67.0
4445227,60042F,0.2636404546475221,36.0,17970F,0.7157593955421154,69.0
4450798,60042F,0.16307827365382932,36.0,17970F,0.5043849405712522,66.0
4450509,60042F,0.2636404546475221,36.0,17970F,0.7157593955421154,69.0
4400499,60042F,0.24667185484449056,32.0,17970F,0.6325213190033688,65.0
4455459,60050E,0.7170389646526162,27.0,16794G,0.44333940751885087,52.0
4455441,60050E,0.7170389646526162,27.0,16794G,0.44333940751885087,52.0
4468915,60050E,0.21879892763223646,31.0,17954H,0.332407268626227,61.0
4455448,60050E,0.7170389646526162,27.0,16794G,0.44333940751885087,52.0
4468610,60050E,1.0738257799955584,25.0,10494K,0.43831929838409756,52.0
4463694,60050E,0.7273911769298675,27.0,16794G,0.43440911372065344,52.0
4450248,60050E,0.4268841506086447,31.0,18647D,0.4867935644854015,62.0
4455367,60050E,1.3421703335816326,24.0,10494K,0.42674521284789724,53.0
4462168,60050E,0.5430240145857429,27.0,16794G,0.3858982587935581,54.0
4455824,60050E,0.8547092297395928,26.0,16794G,0.1764013042466599,54.0
4465715,60050E,0.4140537088365626,28.0,17954H,0.4970084976451364,54.0
4450277,60050E,0.4268841506086447,31.0,18647D,0.4867935644854015,62.0
4464728,60050E,0.28274232236783986,29.0,17954H,0.3533089127553295,55.0
4435676,60050E,0.1827941444586324,30.0,17954H,0.08016259131021305,55.0
4461715,60050E,0.6203468568253793,27.0,16794G,0.7621236654910666,55.0
4465007,60050E,0.4140537088365626,28.0,17954H,0.4970084976451364,54.0
4457159,60050E,0.6038984159435898,34.0,17954H,0.3999426108264631,57.0
4456825,60050E,0.6285932934938558,27.0,16794G,0.5804821164131948,54.0
4460038,60050E,0.22467995027076088,30.0,17954H,0.439445784388491,55.0
4460161,60050E,0.3496996590653843,29.0,17954H,0.4303963587574114,54.0
4461808,60050E,0.8547092297395928,26.0,16794G,0.1764013042466599,54.0
4461768,60050E,1.223466778159841,24.0,10494K,0.4132387534158608,50.0
4461356,60050E,0.5429128617910826,32.0,18647D,0.20676615907456838,63.0
4460199,60050E,0.26028028279517,30.0,17954H,0.4764834014344183,55.0
4459182,60050E,0.4939061122313271,34.0,17979A,0.2131723486185173,57.0
4455036,60050E,0.8837002533710128,28.0,16794G,0.6195021670167852,52.0
4412633,60050E,0.4268841506086447,31.0,18647D,0.4867935644854015,62.0
4450265,60050E,0.4268841506086447,31.0,18647D,0.4867935644854015,62.0
4448953,60050E,1.3437492817277605,24.0,10494K,0.30741767298340344,50.0
4440170,60050E,0.7923828904790909,27.0,16794G,0.12441428658854438,54.0
4420178,60050E,1.1209420921272868,25.0,10494K,0.4507633131299989,51.0
4414326,60050E,0.5710713896432968,34.0,18647D,0.3378707308595171,61.0
4414332,60050E,0.5710713896432968,34.0,18647D,0.3378707308595171,61.0
4414347,60050E,0.5710713896432968,34.0,18647D,0.3378707308595171,61.0
4414350,60050E,0.5710713896432968,34.0,18647D,0.3378707308595171,61.0
4414357,60050E,0.5710713896432968,34.0,18647D,0.3378707308595171,61.0
4414362,60050E,0.5710713896432968,34.0,18647D,0.3378707308595171,61.0
