G-ID,Crime,Total (2004 to 2015)
2034,"Offences against government, justice procedures and organisation of crime",1469
2034,Public order and other social code offences,4467
2034,"Robbery, extortion and hijacking offences",769
2034,Theft and related offences,10091
2034,Weapons and Explosives Offences,491
2035,"Attempts or threats to murder, assaults, harassments and related offences",1515
2035,Burglary and related offences,2524
2035,Controlled drug offences,2845
2035,Damage to property and to the environment,6073
2035,Dangerous or negligent acts,1116
2035,"Fraud, deception and related offences",598
2035,Kidnapping and related offences,22
2035,"Offences against government, justice procedures and organisation of crime",37612
2035,Public order and other social code offences,6154
2035,"Robbery, extortion and hijacking offences",768
2035,Theft and related offences,10283
2035,Weapons and Explosives Offences,826
2036,"Attempts or threats to murder, assaults, harassments and related offences",2026
2036,Burglary and related offences,4209
2036,Controlled drug offences,3958
2036,Damage to property and to the environment,5578
2036,Dangerous or negligent acts,1262
2036,"Fraud, deception and related offences",802
2036,Kidnapping and related offences,15
2036,"Offences against government, justice procedures and organisation of crime",693
2036,Public order and other social code offences,7492
2036,"Robbery, extortion and hijacking offences",1071
2036,Theft and related offences,12198
2036,Weapons and Explosives Offences,759
2039,"Attempts or threats to murder, assaults, harassments and related offences",649
2039,Burglary and related offences,2798
2039,Controlled drug offences,594
2039,Damage to property and to the environment,2188
2039,Dangerous or negligent acts,456
2039,"Fraud, deception and related offences",221
2039,Kidnapping and related offences,9
2039,"Offences against government, justice procedures and organisation of crime",161
2039,Public order and other social code offences,1574
2039,"Robbery, extortion and hijacking offences",173
2039,Theft and related offences,4714
2039,Weapons and Explosives Offences,112
2040,"Attempts or threats to murder, assaults, harassments and related offences",1559
2040,Burglary and related offences,3547
2040,Controlled drug offences,2436
2040,Damage to property and to the environment,4854
2040,Dangerous or negligent acts,1066
2040,"Fraud, deception and related offences",507
2040,Kidnapping and related offences,4
2040,"Offences against government, justice procedures and organisation of crime",1401
2040,Public order and other social code offences,6156
2040,"Robbery, extortion and hijacking offences",313
2040,Theft and related offences,8236
2040,Weapons and Explosives Offences,448
2041,"Attempts or threats to murder, assaults, harassments and related offences",67
2041,Burglary and related offences,353
2041,Controlled drug offences,96
2041,Damage to property and to the environment,455
2041,Dangerous or negligent acts,50
2041,"Fraud, deception and related offences",14
2041,Kidnapping and related offences,0
2041,"Offences against government, justice procedures and organisation of crime",12
2041,Public order and other social code offences,107
2041,"Robbery, extortion and hijacking offences",17
2041,Theft and related offences,911
2041,Weapons and Explosives Offences,15
2042,"Attempts or threats to murder, assaults, harassments and related offences",946
2042,Burglary and related offences,1980
2042,Controlled drug offences,969
2042,Damage to property and to the environment,3203
2042,Dangerous or negligent acts,468
2042,"Fraud, deception and related offences",174
2042,Kidnapping and related offences,9
2042,"Offences against government, justice procedures and organisation of crime",198
2042,Public order and other social code offences,2268
2042,"Robbery, extortion and hijacking offences",208
2042,Theft and related offences,4102
2042,Weapons and Explosives Offences,177
2043,"Attempts or threats to murder, assaults, harassments and related offences",570
2043,Burglary and related offences,1950
2043,Controlled drug offences,397
