G-ID,Crime,Total (2004 to 2015)
20373,"Attempts or threats to murder, assaults, harassments and related offences",133
20373,Burglary and related offences,135
20373,Controlled drug offences,78
20373,Damage to property and to the environment,152
20373,Dangerous or negligent acts,118
20373,"Fraud, deception and related offences",27
20373,Kidnapping and related offences,0
20373,"Offences against government, justice procedures and organisation of crime",8
20373,Public order and other social code offences,437
20373,"Robbery, extortion and hijacking offences",3
20373,Theft and related offences,285
20373,Weapons and Explosives Offences,10
20374,"Attempts or threats to murder, assaults, harassments and related offences",155
20374,Burglary and related offences,102
20374,Controlled drug offences,316
20374,Damage to property and to the environment,198
20374,Dangerous or negligent acts,95
20374,"Fraud, deception and related offences",24
20374,Kidnapping and related offences,0
20374,"Offences against government, justice procedures and organisation of crime",12
20374,Public order and other social code offences,307
20374,"Robbery, extortion and hijacking offences",1
20374,Theft and related offences,320
20374,Weapons and Explosives Offences,9
20376,"Attempts or threats to murder, assaults, harassments and related offences",87
20376,Burglary and related offences,144
20376,Controlled drug offences,43
20376,Damage to property and to the environment,135
20376,Dangerous or negligent acts,120
20376,"Fraud, deception and related offences",12
20376,Kidnapping and related offences,0
20376,"Offences against government, justice procedures and organisation of crime",5
20376,Public order and other social code offences,175
20376,"Robbery, extortion and hijacking offences",0
20376,Theft and related offences,231
20376,Weapons and Explosives Offences,6
20378,"Attempts or threats to murder, assaults, harassments and related offences",78
20378,Burglary and related offences,111
20378,Controlled drug offences,67
20378,Damage to property and to the environment,65
20378,Dangerous or negligent acts,114
20378,"Fraud, deception and related offences",12
20378,Kidnapping and related offences,0
20378,"Offences against government, justice procedures and organisation of crime",21
20378,Public order and other social code offences,139
20378,"Robbery, extortion and hijacking offences",4
20378,Theft and related offences,167
20378,Weapons and Explosives Offences,1
20379,"Attempts or threats to murder, assaults, harassments and related offences",2072
20379,Burglary and related offences,1524
20379,Controlled drug offences,2079
20379,Damage to property and to the environment,2637
20379,Dangerous or negligent acts,1784
20379,"Fraud, deception and related offences",443
20379,Kidnapping and related offences,7
20379,"Offences against government, justice procedures and organisation of crime",1114
20379,Public order and other social code offences,9449
20379,"Robbery, extortion and hijacking offences",145
20379,Theft and related offences,6068
20379,Weapons and Explosives Offences,341
20381,"Attempts or threats to murder, assaults, harassments and related offences",216
20381,Burglary and related offences,89
20381,Controlled drug offences,104
20381,Damage to property and to the environment,173
20381,Dangerous or negligent acts,230
20381,"Fraud, deception and related offences",19
20381,Kidnapping and related offences,0
20381,"Offences against government, justice procedures and organisation of crime",16
20381,Public order and other social code offences,887
20381,"Robbery, extortion and hijacking offences",4
20381,Theft and related offences,194
20381,Weapons and Explosives Offences,13
20382,"Attempts or threats to murder, assaults, harassments and related offences",53
20382,Burglary and related offences,58
20382,Controlled drug offences,5
20382,Damage to property and to the environment,80
20382,Dangerous or negligent acts,48
20382,"Fraud, deception and related offences",6
20382,Kidnapping and related offences,0
20382,"Offences against government, justice procedures and organisation of crime",8
20382,Public order and other social code offences,91
20382,"Robbery, extortion and hijacking offences",0
20382,Theft and related offences,147
20382,Weapons and Explosives Offences,3
20383,"Attempts or threats to murder, assaults, harassments and related offences",11
20383,Burglary and related offences,45
20383,Controlled drug offences,4
20383,Damage to property and to the environment,15
20383,Dangerous or negligent acts,13
20383,"Fraud, deception and related offences",4
20383,Kidnapping and related offences,0
20383,"Offences against government, justice procedures and organisation of crime",0
20383,Public order and other social code offences,23
20383,"Robbery, extortion and hijacking offences",0
20383,Theft and related offences,39
20383,Weapons and Explosives Offences,1
20384,"Attempts or threats to murder, assaults, harassments and related offences",11
20384,Burglary and related offences,13
20384,Controlled drug offences,3
20384,Damage to property and to the environment,11
20384,Dangerous or negligent acts,22
20384,"Fraud, deception and related offences",0
20384,Kidnapping and related offences,0
20384,"Offences against government, justice procedures and organisation of crime",3
20384,Public order and other social code offences,9
20384,"Robbery, extortion and hijacking offences",0
20384,Theft and related offences,31
20384,Weapons and Explosives Offences,1
20387,"Attempts or threats to murder, assaults, harassments and related offences",227
20387,Burglary and related offences,80
20387,Controlled drug offences,68
20387,Damage to property and to the environment,249
20387,Dangerous or negligent acts,136
20387,"Fraud, deception and related offences",30
20387,Kidnapping and related offences,0
20387,"Offences against government, justice procedures and organisation of crime",55
20387,Public order and other social code offences,602
20387,"Robbery, extortion and hijacking offences",2
20387,Theft and related offences,249
20387,Weapons and Explosives Offences,16
20390,"Attempts or threats to murder, assaults, harassments and related offences",40
20390,Burglary and related offences,33
20390,Controlled drug offences,13
20390,Damage to property and to the environment,22
20390,Dangerous or negligent acts,33
20390,"Fraud, deception and related offences",5
20390,Kidnapping and related offences,0
20390,"Offences against government, justice procedures and organisation of crime",1
20390,Public order and other social code offences,72
20390,"Robbery, extortion and hijacking offences",0
20390,Theft and related offences,32
20390,Weapons and Explosives Offences,0
20391,"Attempts or threats to murder, assaults, harassments and related offences",39
20391,Burglary and related offences,19
20391,Controlled drug offences,17
20391,Damage to property and to the environment,61
20391,Dangerous or negligent acts,27
20391,"Fraud, deception and related offences",3
20391,Kidnapping and related offences,0
20391,"Offences against government, justice procedures and organisation of crime",1
20391,Public order and other social code offences,39
20391,"Robbery, extortion and hijacking offences",0
20391,Theft and related offences,59
20391,Weapons and Explosives Offences,0
20392,"Attempts or threats to murder, assaults, harassments and related offences",302
20392,Burglary and related offences,140
20392,Controlled drug offences,118
20392,Damage to property and to the environment,211
20392,Dangerous or negligent acts,186
20392,"Fraud, deception and related offences",33
20392,Kidnapping and related offences,3
20392,"Offences against government, justice procedures and organisation of crime",65
20392,Public order and other social code offences,706
20392,"Robbery, extortion and hijacking offences",6
20392,Theft and related offences,321
20392,Weapons and Explosives Offences,39
20393,"Attempts or threats to murder, assaults, harassments and related offences",60
20393,Burglary and related offences,52
20393,Controlled drug offences,29
20393,Damage to property and to the environment,52
20393,Dangerous or negligent acts,72
20393,"Fraud, deception and related offences",5
20393,Kidnapping and related offences,0
20393,"Offences against government, justice procedures and organisation of crime",6
20393,Public order and other social code offences,69
20393,"Robbery, extortion and hijacking offences",0
20393,Theft and related offences,94
20393,Weapons and Explosives Offences,3
20394,"Attempts or threats to murder, assaults, harassments and related offences",35
20394,Burglary and related offences,32
20394,Controlled drug offences,37
20394,Damage to property and to the environment,36
20394,Dangerous or negligent acts,34
20394,"Fraud, deception and related offences",9
20394,Kidnapping and related offences,0
20394,"Offences against government, justice procedures and organisation of crime",3
20394,Public order and other social code offences,37
20394,"Robbery, extortion and hijacking offences",0
20394,Theft and related offences,83
20394,Weapons and Explosives Offences,4
20395,"Attempts or threats to murder, assaults, harassments and related offences",51
20395,Burglary and related offences,57
20395,Controlled drug offences,19
20395,Damage to property and to the environment,64
20395,Dangerous or negligent acts,76
20395,"Fraud, deception and related offences",12
20395,Kidnapping and related offences,0
20395,"Offences against government, justice procedures and organisation of crime",14
20395,Public order and other social code offences,88
20395,"Robbery, extortion and hijacking offences",1
20395,Theft and related offences,116
20395,Weapons and Explosives Offences,10
20396,"Attempts or threats to murder, assaults, harassments and related offences",1114
20396,Burglary and related offences,835
20396,Controlled drug offences,1146
20396,Damage to property and to the environment,1253
20396,Dangerous or negligent acts,1140
20396,"Fraud, deception and related offences",250
20396,Kidnapping and related offences,5
20396,"Offences against government, justice procedures and organisation of crime",406
20396,Public order and other social code offences,5836
20396,"Robbery, extortion and hijacking offences",35
20396,Theft and related offences,3070
20396,Weapons and Explosives Offences,143
20398,"Attempts or threats to murder, assaults, harassments and related offences",164
20398,Burglary and related offences,174
20398,Controlled drug offences,86
20398,Damage to property and to the environment,222
20398,Dangerous or negligent acts,184
20398,"Fraud, deception and related offences",48
20398,Kidnapping and related offences,1
20398,"Offences against government, justice procedures and organisation of crime",37
20398,Public order and other social code offences,737
20398,"Robbery, extortion and hijacking offences",1
20398,Theft and related offences,428
20398,Weapons and Explosives Offences,16
20399,"Attempts or threats to murder, assaults, harassments and related offences",287
20399,Burglary and related offences,181
20399,Controlled drug offences,111
20399,Damage to property and to the environment,312
20399,Dangerous or negligent acts,184
20399,"Fraud, deception and related offences",49
20399,Kidnapping and related offences,0
20399,"Offences against government, justice procedures and organisation of crime",48
20399,Public order and other social code offences,645
20399,"Robbery, extortion and hijacking offences",8
20399,Theft and related offences,470
20399,Weapons and Explosives Offences,73
20400,"Attempts or threats to murder, assaults, harassments and related offences",49
20400,Burglary and related offences,88
20400,Controlled drug offences,64
20400,Damage to property and to the environment,55
20400,Dangerous or negligent acts,95
20400,"Fraud, deception and related offences",10
20400,Kidnapping and related offences,0
20400,"Offences against government, justice procedures and organisation of crime",9
20400,Public order and other social code offences,53
20400,"Robbery, extortion and hijacking offences",1
20400,Theft and related offences,114
20400,Weapons and Explosives Offences,4
20401,"Attempts or threats to murder, assaults, harassments and related offences",5
20401,Burglary and related offences,20
20401,Controlled drug offences,7
20401,Damage to property and to the environment,15
20401,Dangerous or negligent acts,37
20401,"Fraud, deception and related offences",1
20401,Kidnapping and related offences,0
20401,"Offences against government, justice procedures and organisation of crime",0
20401,Public order and other social code offences,24
20401,"Robbery, extortion and hijacking offences",0
20401,Theft and related offences,34
20401,Weapons and Explosives Offences,0
20404,"Attempts or threats to murder, assaults, harassments and related offences",557
20404,Burglary and related offences,397
20404,Controlled drug offences,525
20404,Damage to property and to the environment,636
20404,Dangerous or negligent acts,498
20404,"Fraud, deception and related offences",74
20404,Kidnapping and related offences,0
20404,"Offences against government, justice procedures and organisation of crime",306
20404,Public order and other social code offences,3078
20404,"Robbery, extortion and hijacking offences",19
20404,Theft and related offences,896
20404,Weapons and Explosives Offences,102
20405,"Attempts or threats to murder, assaults, harassments and related offences",93
20405,Burglary and related offences,71
20405,Controlled drug offences,37
20405,Damage to property and to the environment,120
20405,Dangerous or negligent acts,39
20405,"Fraud, deception and related offences",12
20405,Kidnapping and related offences,0
20405,"Offences against government, justice procedures and organisation of crime",12
20405,Public order and other social code offences,287
20405,"Robbery, extortion and hijacking offences",2
20405,Theft and related offences,82
20405,Weapons and Explosives Offences,9
20407,"Attempts or threats to murder, assaults, harassments and related offences",227
20407,Burglary and related offences,160
20407,Controlled drug offences,147
20407,Damage to property and to the environment,341
20407,Dangerous or negligent acts,154
20407,"Fraud, deception and related offences",15
20407,Kidnapping and related offences,0
20407,"Offences against government, justice procedures and organisation of crime",14
20407,Public order and other social code offences,1458
20407,"Robbery, extortion and hijacking offences",9
20407,Theft and related offences,334
20407,Weapons and Explosives Offences,27
20408,"Attempts or threats to murder, assaults, harassments and related offences",72
20408,Burglary and related offences,72
20408,Controlled drug offences,20
20408,Damage to property and to the environment,94
20408,Dangerous or negligent acts,62
20408,"Fraud, deception and related offences",7
20408,Kidnapping and related offences,1
20408,"Offences against government, justice procedures and organisation of crime",28
20408,Public order and other social code offences,169
20408,"Robbery, extortion and hijacking offences",2
20408,Theft and related offences,93
20408,Weapons and Explosives Offences,7
20410,"Attempts or threats to murder, assaults, harassments and related offences",86
20410,Burglary and related offences,78
20410,Controlled drug offences,17
20410,Damage to property and to the environment,101
20410,Dangerous or negligent acts,60
20410,"Fraud, deception and related offences",4
20410,Kidnapping and related offences,3
20410,"Offences against government, justice procedures and organisation of crime",30
20410,Public order and other social code offences,372
20410,"Robbery, extortion and hijacking offences",0
20410,Theft and related offences,89
20410,Weapons and Explosives Offences,6
20411,"Attempts or threats to murder, assaults, harassments and related offences",64
20411,Burglary and related offences,71
20411,Controlled drug offences,48
20411,Damage to property and to the environment,85
20411,Dangerous or negligent acts,73
20411,"Fraud, deception and related offences",8
20411,Kidnapping and related offences,0
20411,"Offences against government, justice procedures and organisation of crime",13
20411,Public order and other social code offences,97
20411,"Robbery, extortion and hijacking offences",0
20411,Theft and related offences,102
20411,Weapons and Explosives Offences,12
20413,"Attempts or threats to murder, assaults, harassments and related offences",30
20413,Burglary and related offences,81
20413,Controlled drug offences,30
20413,Damage to property and to the environment,55
20413,Dangerous or negligent acts,44
20413,"Fraud, deception and related offences",4
20413,Kidnapping and related offences,0
20413,"Offences against government, justice procedures and organisation of crime",2
20413,Public order and other social code offences,147
20413,"Robbery, extortion and hijacking offences",4
20413,Theft and related offences,99
20413,Weapons and Explosives Offences,6
20414,"Attempts or threats to murder, assaults, harassments and related offences",268
20414,Burglary and related offences,367
20414,Controlled drug offences,175
20414,Damage to property and to the environment,783
20414,Dangerous or negligent acts,146
20414,"Fraud, deception and related offences",46
20414,Kidnapping and related offences,1
20414,"Offences against government, justice procedures and organisation of crime",48
20414,Public order and other social code offences,406
20414,"Robbery, extortion and hijacking offences",21
20414,Theft and related offences,1154
20414,Weapons and Explosives Offences,52
20416,"Attempts or threats to murder, assaults, harassments and related offences",130
20416,Burglary and related offences,488
20416,Controlled drug offences,122
20416,Damage to property and to the environment,539
20416,Dangerous or negligent acts,158
20416,"Fraud, deception and related offences",63
20416,Kidnapping and related offences,2
20416,"Offences against government, justice procedures and organisation of crime",43
20416,Public order and other social code offences,248
20416,"Robbery, extortion and hijacking offences",16
20416,Theft and related offences,1129
20416,Weapons and Explosives Offences,37
20417,"Attempts or threats to murder, assaults, harassments and related offences",2821
20417,Burglary and related offences,3918
20417,Controlled drug offences,3574
20417,Damage to property and to the environment,7101
20417,Dangerous or negligent acts,2220
20417,"Fraud, deception and related offences",859
20417,Kidnapping and related offences,27
20417,"Offences against government, justice procedures and organisation of crime",2700
20417,Public order and other social code offences,12740
20417,"Robbery, extortion and hijacking offences",584
20417,Theft and related offences,19313
20417,Weapons and Explosives Offences,854
20418,"Attempts or threats to murder, assaults, harassments and related offences",1593
20418,Burglary and related offences,2161
20418,Controlled drug offences,2168
20418,Damage to property and to the environment,6356
20418,Dangerous or negligent acts,1065
20418,"Fraud, deception and related offences",271
20418,Kidnapping and related offences,11
20418,"Offences against government, justice procedures and organisation of crime",1454
20418,Public order and other social code offences,4798
20418,"Robbery, extortion and hijacking offences",284
20418,Theft and related offences,6980
20418,Weapons and Explosives Offences,824
20419,"Attempts or threats to murder, assaults, harassments and related offences",2299
20419,Burglary and related offences,3662
20419,Controlled drug offences,2462
20419,Damage to property and to the environment,8323
20419,Dangerous or negligent acts,1503
20419,"Fraud, deception and related offences",634
20419,Kidnapping and related offences,19
20419,"Offences against government, justice procedures and organisation of crime",1387
20419,Public order and other social code offences,5096
20419,"Robbery, extortion and hijacking offences",346
20419,Theft and related offences,12133
20419,Weapons and Explosives Offences,622
20420,"Attempts or threats to murder, assaults, harassments and related offences",136
20420,Burglary and related offences,271
20420,Controlled drug offences,43
20420,Damage to property and to the environment,303
20420,Dangerous or negligent acts,110
20420,"Fraud, deception and related offences",26
20420,Kidnapping and related offences,1
20420,"Offences against government, justice procedures and organisation of crime",24
20420,Public order and other social code offences,138
20420,"Robbery, extortion and hijacking offences",11
20420,Theft and related offences,656
20420,Weapons and Explosives Offences,13
20421,"Attempts or threats to murder, assaults, harassments and related offences",96
20421,Burglary and related offences,224
20421,Controlled drug offences,38
20421,Damage to property and to the environment,211
20421,Dangerous or negligent acts,57
20421,"Fraud, deception and related offences",18
20421,Kidnapping and related offences,1
20421,"Offences against government, justice procedures and organisation of crime",21
20421,Public order and other social code offences,75
20421,"Robbery, extortion and hijacking offences",8
20421,Theft and related offences,466
20421,Weapons and Explosives Offences,17
20422,"Attempts or threats to murder, assaults, harassments and related offences",107
20422,Burglary and related offences,227
20422,Controlled drug offences,48
20422,Damage to property and to the environment,242
20422,Dangerous or negligent acts,60
20422,"Fraud, deception and related offences",15
20422,Kidnapping and related offences,1
20422,"Offences against government, justice procedures and organisation of crime",35
20422,Public order and other social code offences,78
20422,"Robbery, extortion and hijacking offences",7
20422,Theft and related offences,458
20422,Weapons and Explosives Offences,9
20423,"Attempts or threats to murder, assaults, harassments and related offences",121
20423,Burglary and related offences,188
20423,Controlled drug offences,49
20423,Damage to property and to the environment,159
20423,Dangerous or negligent acts,64
20423,"Fraud, deception and related offences",17
20423,Kidnapping and related offences,0
20423,"Offences against government, justice procedures and organisation of crime",44
20423,Public order and other social code offences,291
20423,"Robbery, extortion and hijacking offences",3
20423,Theft and related offences,324
20423,Weapons and Explosives Offences,15
20424,"Attempts or threats to murder, assaults, harassments and related offences",39
20424,Burglary and related offences,195
20424,Controlled drug offences,19
20424,Damage to property and to the environment,74
20424,Dangerous or negligent acts,113
20424,"Fraud, deception and related offences",18
20424,Kidnapping and related offences,0
20424,"Offences against government, justice procedures and organisation of crime",11
20424,Public order and other social code offences,53
20424,"Robbery, extortion and hijacking offences",5
20424,Theft and related offences,309
20424,Weapons and Explosives Offences,3
20425,"Attempts or threats to murder, assaults, harassments and related offences",76
20425,Burglary and related offences,123
20425,Controlled drug offences,26
20425,Damage to property and to the environment,137
20425,Dangerous or negligent acts,56
20425,"Fraud, deception and related offences",8
20425,Kidnapping and related offences,0
20425,"Offences against government, justice procedures and organisation of crime",15
20425,Public order and other social code offences,94
20425,"Robbery, extortion and hijacking offences",6
20425,Theft and related offences,351
20425,Weapons and Explosives Offences,6
20426,"Attempts or threats to murder, assaults, harassments and related offences",98
20426,Burglary and related offences,167
20426,Controlled drug offences,47
20426,Damage to property and to the environment,218
20426,Dangerous or negligent acts,60
20426,"Fraud, deception and related offences",21
20426,Kidnapping and related offences,2
20426,"Offences against government, justice procedures and organisation of crime",15
20426,Public order and other social code offences,162
20426,"Robbery, extortion and hijacking offences",4
20426,Theft and related offences,412
20426,Weapons and Explosives Offences,15
20427,"Attempts or threats to murder, assaults, harassments and related offences",124
20427,Burglary and related offences,160
20427,Controlled drug offences,30
20427,Damage to property and to the environment,170
20427,Dangerous or negligent acts,80
20427,"Fraud, deception and related offences",12
20427,Kidnapping and related offences,2
20427,"Offences against government, justice procedures and organisation of crime",27
20427,Public order and other social code offences,126
20427,"Robbery, extortion and hijacking offences",3
20427,Theft and related offences,289
20427,Weapons and Explosives Offences,5
20428,"Attempts or threats to murder, assaults, harassments and related offences",36
20428,Burglary and related offences,86
20428,Controlled drug offences,21
20428,Damage to property and to the environment,89
20428,Dangerous or negligent acts,21
20428,"Fraud, deception and related offences",11
20428,Kidnapping and related offences,1
20428,"Offences against government, justice procedures and organisation of crime",25
20428,Public order and other social code offences,57
20428,"Robbery, extortion and hijacking offences",5
20428,Theft and related offences,133
20428,Weapons and Explosives Offences,3
20430,"Attempts or threats to murder, assaults, harassments and related offences",247
20430,Burglary and related offences,378
20430,Controlled drug offences,68
20430,Damage to property and to the environment,463
20430,Dangerous or negligent acts,219
20430,"Fraud, deception and related offences",45
20430,Kidnapping and related offences,2
20430,"Offences against government, justice procedures and organisation of crime",101
20430,Public order and other social code offences,440
20430,"Robbery, extortion and hijacking offences",9
20430,Theft and related offences,570
20430,Weapons and Explosives Offences,40
20431,"Attempts or threats to murder, assaults, harassments and related offences",115
20431,Burglary and related offences,128
20431,Controlled drug offences,70
20431,Damage to property and to the environment,209
20431,Dangerous or negligent acts,98
20431,"Fraud, deception and related offences",42
20431,Kidnapping and related offences,0
20431,"Offences against government, justice procedures and organisation of crime",35
20431,Public order and other social code offences,407
20431,"Robbery, extortion and hijacking offences",3
20431,Theft and related offences,323
20431,Weapons and Explosives Offences,6
20433,"Attempts or threats to murder, assaults, harassments and related offences",116
20433,Burglary and related offences,145
20433,Controlled drug offences,30
20433,Damage to property and to the environment,127
20433,Dangerous or negligent acts,41
20433,"Fraud, deception and related offences",20
20433,Kidnapping and related offences,2
20433,"Offences against government, justice procedures and organisation of crime",10
20433,Public order and other social code offences,212
20433,"Robbery, extortion and hijacking offences",1
20433,Theft and related offences,169
20433,Weapons and Explosives Offences,4
20434,"Attempts or threats to murder, assaults, harassments and related offences",99
20434,Burglary and related offences,136
20434,Controlled drug offences,53
20434,Damage to property and to the environment,150
20434,Dangerous or negligent acts,56
20434,"Fraud, deception and related offences",18
20434,Kidnapping and related offences,0
20434,"Offences against government, justice procedures and organisation of crime",13
20434,Public order and other social code offences,165
20434,"Robbery, extortion and hijacking offences",3
20434,Theft and related offences,257
20434,Weapons and Explosives Offences,10
20435,"Attempts or threats to murder, assaults, harassments and related offences",77
20435,Burglary and related offences,91
20435,Controlled drug offences,17
20435,Damage to property and to the environment,102
20435,Dangerous or negligent acts,42
20435,"Fraud, deception and related offences",8
20435,Kidnapping and related offences,0
20435,"Offences against government, justice procedures and organisation of crime",9
20435,Public order and other social code offences,80
20435,"Robbery, extortion and hijacking offences",0
20435,Theft and related offences,140
20435,Weapons and Explosives Offences,8
20436,"Attempts or threats to murder, assaults, harassments and related offences",337
20436,Burglary and related offences,318
20436,Controlled drug offences,109
20436,Damage to property and to the environment,397
20436,Dangerous or negligent acts,127
20436,"Fraud, deception and related offences",70
20436,Kidnapping and related offences,1
20436,"Offences against government, justice procedures and organisation of crime",101
20436,Public order and other social code offences,761
20436,"Robbery, extortion and hijacking offences",2
20436,Theft and related offences,591
20436,Weapons and Explosives Offences,40
20437,"Attempts or threats to murder, assaults, harassments and related offences",51
20437,Burglary and related offences,120
20437,Controlled drug offences,52
20437,Damage to property and to the environment,136
20437,Dangerous or negligent acts,53
20437,"Fraud, deception and related offences",26
20437,Kidnapping and related offences,1
20437,"Offences against government, justice procedures and organisation of crime",9
20437,Public order and other social code offences,80
20437,"Robbery, extortion and hijacking offences",3
20437,Theft and related offences,258
20437,Weapons and Explosives Offences,6
20438,"Attempts or threats to murder, assaults, harassments and related offences",81
20438,Burglary and related offences,163
20438,Controlled drug offences,47
20438,Damage to property and to the environment,180
20438,Dangerous or negligent acts,42
20438,"Fraud, deception and related offences",8
20438,Kidnapping and related offences,0
20438,"Offences against government, justice procedures and organisation of crime",13
20438,Public order and other social code offences,159
20438,"Robbery, extortion and hijacking offences",6
20438,Theft and related offences,252
20438,Weapons and Explosives Offences,15
20439,"Attempts or threats to murder, assaults, harassments and related offences",52
20439,Burglary and related offences,118
20439,Controlled drug offences,41
20439,Damage to property and to the environment,151
20439,Dangerous or negligent acts,31
20439,"Fraud, deception and related offences",14
20439,Kidnapping and related offences,0
20439,"Offences against government, justice procedures and organisation of crime",31
20439,Public order and other social code offences,81
20439,"Robbery, extortion and hijacking offences",2
20439,Theft and related offences,325
20439,Weapons and Explosives Offences,12
20440,"Attempts or threats to murder, assaults, harassments and related offences",579
20440,Burglary and related offences,579
20440,Controlled drug offences,254
20440,Damage to property and to the environment,1018
20440,Dangerous or negligent acts,449
20440,"Fraud, deception and related offences",136
20440,Kidnapping and related offences,4
20440,"Offences against government, justice procedures and organisation of crime",287
20440,Public order and other social code offences,1402
20440,"Robbery, extortion and hijacking offences",29
20440,Theft and related offences,1649
20440,Weapons and Explosives Offences,89
20441,"Attempts or threats to murder, assaults, harassments and related offences",372
20441,Burglary and related offences,316
20441,Controlled drug offences,76
20441,Damage to property and to the environment,498
20441,Dangerous or negligent acts,160
20441,"Fraud, deception and related offences",57
20441,Kidnapping and related offences,2
20441,"Offences against government, justice procedures and organisation of crime",61
20441,Public order and other social code offences,511
20441,"Robbery, extortion and hijacking offences",7
20441,Theft and related offences,607
20441,Weapons and Explosives Offences,38
20442,"Attempts or threats to murder, assaults, harassments and related offences",40
20442,Burglary and related offences,145
20442,Controlled drug offences,22
20442,Damage to property and to the environment,125
20442,Dangerous or negligent acts,33
20442,"Fraud, deception and related offences",5
20442,Kidnapping and related offences,0
20442,"Offences against government, justice procedures and organisation of crime",16
20442,Public order and other social code offences,83
20442,"Robbery, extortion and hijacking offences",2
20442,Theft and related offences,228
20442,Weapons and Explosives Offences,7
20444,"Attempts or threats to murder, assaults, harassments and related offences",46
20444,Burglary and related offences,62
20444,Controlled drug offences,17
20444,Damage to property and to the environment,85
20444,Dangerous or negligent acts,26
20444,"Fraud, deception and related offences",6
20444,Kidnapping and related offences,0
20444,"Offences against government, justice procedures and organisation of crime",4
20444,Public order and other social code offences,56
20444,"Robbery, extortion and hijacking offences",1
20444,Theft and related offences,81
20444,Weapons and Explosives Offences,8
20447,"Attempts or threats to murder, assaults, harassments and related offences",1561
20447,Burglary and related offences,1769
20447,Controlled drug offences,1947
20447,Damage to property and to the environment,2923
20447,Dangerous or negligent acts,1578
20447,"Fraud, deception and related offences",492
20447,Kidnapping and related offences,8
20447,"Offences against government, justice procedures and organisation of crime",1325
20447,Public order and other social code offences,6499
20447,"Robbery, extortion and hijacking offences",137
20447,Theft and related offences,5868
20447,Weapons and Explosives Offences,342
20448,"Attempts or threats to murder, assaults, harassments and related offences",21
20448,Burglary and related offences,55
20448,Controlled drug offences,16
20448,Damage to property and to the environment,46
20448,Dangerous or negligent acts,39
20448,"Fraud, deception and related offences",9
20448,Kidnapping and related offences,0
20448,"Offences against government, justice procedures and organisation of crime",2
20448,Public order and other social code offences,28
20448,"Robbery, extortion and hijacking offences",0
20448,Theft and related offences,97
20448,Weapons and Explosives Offences,6
20449,"Attempts or threats to murder, assaults, harassments and related offences",59
20449,Burglary and related offences,69
20449,Controlled drug offences,32
20449,Damage to property and to the environment,95
20449,Dangerous or negligent acts,74
20449,"Fraud, deception and related offences",16
20449,Kidnapping and related offences,0
20449,"Offences against government, justice procedures and organisation of crime",6
20449,Public order and other social code offences,64
20449,"Robbery, extortion and hijacking offences",1
20449,Theft and related offences,126
20449,Weapons and Explosives Offences,7
20450,"Attempts or threats to murder, assaults, harassments and related offences",102
20450,Burglary and related offences,84
20450,Controlled drug offences,73
20450,Damage to property and to the environment,137
20450,Dangerous or negligent acts,81
20450,"Fraud, deception and related offences",16
20450,Kidnapping and related offences,0
20450,"Offences against government, justice procedures and organisation of crime",18
20450,Public order and other social code offences,204
20450,"Robbery, extortion and hijacking offences",3
20450,Theft and related offences,263
20450,Weapons and Explosives Offences,7
20452,"Attempts or threats to murder, assaults, harassments and related offences",715
20452,Burglary and related offences,412
20452,Controlled drug offences,628
20452,Damage to property and to the environment,1296
20452,Dangerous or negligent acts,516
20452,"Fraud, deception and related offences",145
20452,Kidnapping and related offences,0
20452,"Offences against government, justice procedures and organisation of crime",133
20452,Public order and other social code offences,1960
20452,"Robbery, extortion and hijacking offences",49
20452,Theft and related offences,1858
20452,Weapons and Explosives Offences,104
20454,"Attempts or threats to murder, assaults, harassments and related offences",100
20454,Burglary and related offences,280
20454,Controlled drug offences,120
20454,Damage to property and to the environment,243
20454,Dangerous or negligent acts,134
20454,"Fraud, deception and related offences",19
20454,Kidnapping and related offences,3
20454,"Offences against government, justice procedures and organisation of crime",22
20454,Public order and other social code offences,259
20454,"Robbery, extortion and hijacking offences",2
20454,Theft and related offences,524
20454,Weapons and Explosives Offences,16
20455,"Attempts or threats to murder, assaults, harassments and related offences",398
20455,Burglary and related offences,323
20455,Controlled drug offences,279
20455,Damage to property and to the environment,886
20455,Dangerous or negligent acts,204
20455,"Fraud, deception and related offences",64
20455,Kidnapping and related offences,3
20455,"Offences against government, justice procedures and organisation of crime",176
20455,Public order and other social code offences,934
20455,"Robbery, extortion and hijacking offences",16
20455,Theft and related offences,706
20455,Weapons and Explosives Offences,107
20460,"Attempts or threats to murder, assaults, harassments and related offences",30
20460,Burglary and related offences,41
20460,Controlled drug offences,8
20460,Damage to property and to the environment,35
20460,Dangerous or negligent acts,24
20460,"Fraud, deception and related offences",5
20460,Kidnapping and related offences,0
20460,"Offences against government, justice procedures and organisation of crime",6
20460,Public order and other social code offences,27
20460,"Robbery, extortion and hijacking offences",0
20460,Theft and related offences,65
20460,Weapons and Explosives Offences,0
20461,"Attempts or threats to murder, assaults, harassments and related offences",281
20461,Burglary and related offences,256
20461,Controlled drug offences,235
20461,Damage to property and to the environment,489
20461,Dangerous or negligent acts,199
20461,"Fraud, deception and related offences",40
20461,Kidnapping and related offences,0
20461,"Offences against government, justice procedures and organisation of crime",47
20461,Public order and other social code offences,974
20461,"Robbery, extortion and hijacking offences",7
20461,Theft and related offences,451
20461,Weapons and Explosives Offences,33
20462,"Attempts or threats to murder, assaults, harassments and related offences",275
