P-ID,G-ID,Closest Garda Station (km),Num Garda Stations < 5km
4461713,2031,2.1152161880687115,4
4460585,2031,2.1543792389285383,4
4454192,2031,2.238968385990519,5
4464768,2031,0.5183397633643861,3
4464693,2031,3.2144636768382027,3
4464312,2031,1.8648284556679382,2
4464297,2031,0.9160861800042472,1
4456541,2031,1.623949297730198,4
4457820,2031,1.5075078021597967,4
4456963,2031,0.5889082206603652,2
4464153,2031,2.002517166438826,1
4464121,2031,1.3666884212513912,5
4463960,2031,2.31194308855217,4
4459434,2031,1.7729459985156217,4
4451294,2031,2.9217639509241273,4
4455819,2031,1.9184253820604744,4
4457767,2031,2.785691862240696,2
4333487,2031,2.2532858056404566,5
4450595,2031,2.156071298902469,4
4438594,2031,1.9699408869472945,4
4463444,2031,3.276718847527959,3
4463410,2031,3.489452313940498,3
4438629,2031,2.7889319963360832,2
4463361,2031,0.5369188833189663,2
4463159,2031,0.98682968676283,4
4453660,2031,2.886220373114225,3
4454533,2031,0.40001935275822453,3
4449970,2031,2.155714832145753,2
4462979,2031,1.6709659126255543,1
4462783,2031,1.2553159903643352,4
4462429,2031,0.6554129765023471,2
4375591,2031,2.3526728306128177,2
4351165,2031,2.8460299246454586,2
4385699,2031,3.2041979831368645,1
4461548,2031,3.1242729019447806,2
4461090,2031,2.2468738761784897,1
4461333,2031,1.2556843496091665,3
4460697,2031,1.4588385354475333,1
4459989,2031,1.4795412374529406,4
4458059,2031,3.569879207832731,3
4456810,2031,1.7471528282050093,1
4456728,2031,0.6946582307074188,1
4449057,2031,1.5586126891853234,2
4455798,2031,2.3093868211134807,4
4435299,2031,3.313829786847915,1
4454541,2031,3.6181185943653174,1
4454198,2031,2.0051012244089494,1
4440310,2031,2.669116369734685,3
4415755,2031,3.6499423625305547,1
4451866,2031,1.6301557877511237,2
4417517,2031,1.404732816415178,2
4448705,2031,2.341639671717644,2
4372691,2031,3.070302396665529,2
4406420,2031,0.08532875372381309,2
4357456,2031,0.08364665552880672,2
4450310,2031,1.755472800099008,2
4450103,2031,0.8344393361925987,3
4449342,2031,3.6741722201777884,3
4448870,2031,2.5083354083177447,4
4373074,2031,1.7165648347669453,4
4266068,2031,3.880127321975417,1
4189395,2031,3.8687273544741783,1
4447418,2031,2.327306451018919,2
4446741,2031,1.4206923858748033,2
4446336,2031,1.8812039015836326,1
4445477,2031,1.9182565029504923,1
4445283,2031,3.4195584084689896,1
4443568,2031,4.816620379101893,1
4441774,2031,2.3329147729608435,4
4439950,2031,2.748143111060067,2
4418264,2031,3.6107402772929125,1
4438843,2031,1.5406608020233243,5
4437137,2031,3.72280670389025,1
4436210,2031,2.51543238529504,3
4435829,2031,3.2706066665343116,1
4433838,2031,3.4888189008016486,3
4433653,2031,2.4373409175187506,2
4407729,2031,2.2275078745898034,1
4431281,2031,0.9044234767356844,3
4429677,2031,3.0142494180179646,3
4373183,2031,2.9056349782218356,5
4429148,2031,2.4576345606579197,1
4313691,2031,2.238877933459404,1
4417166,2031,2.8549287299599984,3
4421495,2031,0.8285237683885562,2
4419224,2031,3.1336886968882207,1
4419108,2031,0.6593187631750002,1
4364024,2031,3.6398970699748423,1
4342574,2031,3.6398970699748423,1
4364034,2031,3.6398970699748423,1
4383728,2031,3.3075868998371902,1
4414013,2031,3.72280670389025,1
4469012,20379,2.105647534870233,1
4469010,20379,0.5783314638866289,1
4467164,20379,1.2544302525853992,1
4468276,20379,0.3414844589873213,1
4467354,20379,0.6074865850251575,1
4467403,20379,1.5093478783837095,1
4465590,20379,1.2287984774686227,1
4462827,20379,2.1112975145931747,1
4461582,20379,2.3553592935374024,1
4460774,20379,4.8516034179233385,2
4458844,20379,2.5413433729978183,1
