P-ID,BER_ID,BER_Rating,BER_Energy_PI_(kWh/sqm/yr)
4460862,106216880.0,C3,222.91
4444764,113238810.0,C2,191.98
4455803,111241261.0,F,436.65
4454704,113429641.0,B3,145.6
4394739,100304526.0,C2,189.47
4465395,113503288.0,C1,168.28
4466589,112526322.0,B3,147.03
4468214,113503841.0,D1,226.53
4456376,,C2,
4466375,113475453.0,C2,199.78
4462519,113459408.0,C1,151.71
4457806,,C3,
4467290,113189294.0,B3,
4462215,,B3,
4456030,100783265.0,B3,141.12
4463586,105586960.0,C2,196.74
4438890,112957758.0,E2,379.27
4462126,106650609.0,C3,215.77
4463956,106560626.0,C3,41.37
4446243,,C1,
4436042,106671759.0,D2,279.87
4468604,,B3,143.33
4456492,113260699.0,C2,177.42
4464846,,B3,
4441619,,E2,
4447676,105287312.0,E2,360.29
4431077,,F,
4240955,111111126.0,E1,307.76
4467240,,D1,
4465997,,E2,
4462950,113469639.0,C1,174.08
4465008,101529071.0,C2,
4454233,,F,
4460073,103405056.0,D2,285.58
4452696,111522330.0,C1,158.06
4468009,106504194.0,B3,136.98
4460297,113152474.0,C1,171.31
4462065,111402186.0,C2,195.41
4467608,100724483.0,B3,145.53
4449450,108416025.0,,
4429924,,E1,
4467573,,C1,165.41
4467061,100261387.0,D1,236.31
4463591,,B3,
4452021,,B3,
4288570,101238368.0,D1,245.49
4465394,,D1,
4467770,,D1,247.68
4460901,113498695.0,C3,210.02
4464815,,G,
4464836,,G,
4465320,,E1,
4453131,113425404.0,E1,324.03
4423969,100389303.0,C1,159.37
4459478,102730371.0,E1,303.67
4468932,107680639.0,C2,181.64
4454805,113278105.0,F,398.74
4459037,113446314.0,D1,
4451247,110043122.0,C1,171.48
4456390,107208399.0,C2,183.88
4458714,,E1,
4461889,,D1,
4464470,107746091.0,E2,351.32
4465565,,Ex,
4465054,104054432.0,D2,294.73
4451998,,C1,
4454176,107832461.0,D1,230.96
4465857,113261788.0,E2,361.5
4460739,,A3,
4449016,101789550.0,D1,
4414301,,F,
4468751,100867316.0,C1,156.1
4409284,,C2,
4433775,,E1,
4461721,108559493.0,C2,35.15
4457528,,C1,
4461445,,C1,172.74
4462066,113467336.0,F,383.98
4454868,105694368.0,C3,217.62
4462976,105330666.0,D1,230.28
4464913,100702026.0,B3,135.26
4446490,112947056.0,F,404.78
4460233,113415962.0,F,421.27
4462880,107514440.0,C2,183.9
4466637,,C2,
4463512,104178504.0,C1,171.63
4449395,112688080.0,D1,
4436915,,B2,
4461923,113177109.0,C1,164 
4420694,112981402.0,C2,178.31
4459514,,C3,
4407897,109321679.0,C1,172.02
4461153,109074294.0,C1,172.76
4462155,108493362.0,B2,120.62
4465947,,D1,235.55
4425508,,B3,
4443093,113145072.0,C2,199.64
4459685,109507012.0,C1,153.74
4456773,,G,
4440261,113146641.0,G,492.64
4461951,106566995.0,D1,257.89
4468002,,F,
4430919,,C1,
4452018,,C1,
4452746,,C1,
4454629,113260681.0,C1,165.33
4454426,,A3,
4462367,113222301.0,B2,101.25
4426752,112944566.0,C3,209.93
4448250,,D1,
4372691,112610795.0,D1,242.39
4446973,100316223.0,B3,144.64
4462188,,D2,
4418173,10541422.0,C3,223.45
4468855,,D2,
4465081,102526803.0,C3,
4430394,,A2,
