G-ID,"Ann.Mean_Crime_0","Total_Crime_0","Ann.Mean_Crime_1","Total_Crime_1","Ann.Mean_Crime_2","Total_Crime_2","Ann.Mean_Crime_3","Total_Crime_3","Ann.Mean_Crime_4","Total_Crime_4","Ann.Mean_Crime_5","Total_Crime_5","Ann.Mean_Crime_6","Total_Crime_6","Ann.Mean_Crime_7","Total_Crime_7","Ann.Mean_Crime_8","Total_Crime_8","Ann.Mean_Crime_9","Total_Crime_9","Ann.Mean_Crime_10","Total_Crime_10","Ann.Mean_Crime_11","Total_Crime_11"
2057,5.67,68,15.25,183,0.67,8,14.25,171,4.58,55,1.0,12,0.08,1,1.33,16,6.08,73,0.5,6,24.25,291,0.5,6
2058,53.5,642,60.08,721,24.33,292,78.08,937,42.08,505,14.42,173,0.17,2,14.17,170,102.92,1235,2.0,24,143.5,1722,5.58,67
2060,21.92,263,27.08,325,6.33,76,28.25,339,9.92,119,2.75,33,0.08,1,1.75,21,35.08,421,1.25,15,54.17,650,1.83,22
2061,11.5,138,14.58,175,3.83,46,15.75,189,4.25,51,1.75,21,0.0,0,1.33,16,10.0,120,0.5,6,26.67,320,1.92,23
2062,16.25,195,21.08,253,4.42,53,21.42,257,10.58,127,3.0,36,0.17,2,1.25,15,20.58,247,0.92,11,38.25,459,1.0,12
2063,8.25,99,28.08,337,3.17,38,12.75,153,6.17,74,1.0,12,0.0,0,0.92,11,6.58,79,0.42,5,34.83,418,0.58,7
2064,40.0,480,77.0,924,31.08,373,81.5,978,47.75,573,18.83,226,0.08,1,24.75,297,103.42,1241,3.08,37,157.67,1892,7.33,88
2065,36.25,435,73.83,886,15.0,180,65.0,780,26.75,321,11.08,133,0.08,1,2.0,24,41.5,498,6.83,82,181.83,2182,4.0,48
2067,24.33,292,58.17,698,7.08,85,38.0,456,23.0,276,6.58,79,0.0,0,13.67,164,31.08,373,2.58,31,111.5,1338,1.75,21
2068,5.75,69,16.0,192,1.83,22,12.75,153,3.25,39,0.5,6,0.0,0,1.0,12,6.0,72,0.5,6,27.25,327,0.58,7
2069,24.17,290,65.0,780,8.83,106,51.92,623,13.92,167,6.83,82,0.0,0,14.33,172,35.33,424,3.0,36,123.0,1476,2.75,33
2070,4.58,55,23.0,276,4.08,49,14.0,168,10.5,126,2.33,28,0.0,0,1.0,12,7.33,88,0.83,10,32.83,394,0.5,6
2071,11.75,141,27.67,332,3.25,39,23.75,285,13.83,166,4.58,55,0.08,1,0.75,9,17.67,212,1.58,19,63.17,758,1.5,18
2072,79.0,948,138.17,1658,68.83,826,198.0,2376,75.83,910,57.17,686,0.67,8,50.25,603,168.17,2018,12.75,153,386.0,4632,14.0,168
2073,28.17,338,57.25,687,12.0,144,79.17,950,20.0,240,6.17,74,0.17,2,4.17,50,52.17,626,4.58,55,106.5,1278,2.5,30
2074,34.67,416,79.42,953,21.67,260,82.42,989,47.75,573,8.17,98,0.17,2,8.58,103,58.08,697,6.08,73,248.17,2978,5.25,63
2076,3.42,41,18.17,218,2.42,29,7.42,89,3.83,46,0.75,9,0.0,0,0.67,8,3.92,47,0.75,9,32.5,390,0.58,7
2077,52.5,630,108.33,1300,48.17,578,95.17,1142,67.17,806,22.67,272,0.33,4,9.83,118,127.08,1525,7.25,87,329.75,3957,8.08,97
2078,88.92,1067,189.33,2272,82.0,984,225.83,2710,118.5,1422,28.83,346,0.58,7,78.58,943,283.25,3399,15.67,188,555.08,6661,20.33,244
2079,29.25,351,62.17,746,7.5,90,67.0,804,18.83,226,9.33,112,0.5,6,6.67,80,34.0,408,2.0,24,103.83,1246,2.5,30
2080,3.92,47,13.83,166,1.0,12,10.08,121,3.17,38,0.83,10,0.0,0,0.42,5,3.25,39,0.25,3,25.83,310,0.25,3
2081,14.5,174,57.5,690,4.92,59,46.33,556,10.58,127,4.17,50,0.08,1,2.08,25,17.33,208,2.08,25,87.33,1048,1.92,23
2082,7.75,93,34.83,418,15.25,183,20.42,245,6.42,77,1.25,15,0.17,2,1.67,20,13.42,161,0.25,3,57.83,694,0.42,5
2083,127.25,1527,143.58,1723,120.17,1442,291.92,3503,143.25,1719,39.5,474,1.08,13,93.33,1120,462.67,5552,10.67,128,457.33,5488,19.33,232
2084,6.83,82,14.33,172,2.42,29,14.5,174,6.0,72,2.92,35,0.08,1,2.25,27,8.67,104,0.58,7,24.25,291,0.67,8
2085,16.67,200,31.42,377,5.42,65,36.58,439,16.92,203,3.92,47,0.0,0,3.17,38,32.83,394,1.75,21,57.92,695,1.0,12
