P-ID,Lat_(WGS84_GPS),Long_(WGS84_GPS),Address,Eircode,Routing_Key
4445085,53.27354010000001,-6.1678264," 47 beechpark road, foxrock, dublin 18",D18 X766,D18
4460870,53.1373279,-6.075454700000001," 47 burnaby heights, greystones, co. wicklow",,A63
4453002,52.33980709999999,-7.409489999999999," 47 castle heights, carrickbeg, carrick-on-suir, tipperary",E32P718,E32
4305422,53.4520344,-6.1550734," 47 castleheath, malahide,   county dublin",,K36
4465445,51.8603451,-8.1230619," 47 cloyne meadows, cloyne, midleton, cork",P25 NT67,P25
4449445,53.5185446,-8.860286300000002," 47 cois na habhainn, ballygaddy road, tuam, co. galway, h54 p588",H54 P588,H54
4449270,53.41764379999999,-7.908427899999999," 47 croi oige, dublin road, athlone, co. westmeath, n37 ty01",N37 TY01,N37
4465895,53.3335663,-6.2989472," 47 dolphin road, drimnagh, dublin 12",D12YF97,D12
4450512,51.8873973,-8.471967099999999," 47 doyle road, turners cross, cork",T12 XNC5,T12
4428068,53.3832382,-6.278898799999999," 47 glasanaon road, glasnevin, dublin 11",D11 P4A7,D11
4461849,53.32461989999999,-6.2626497," 47 gulistan cottages , rathmines,   dublin 6",,D06
4432703,53.3345923,-6.242661399999999," 47 haddington road, ballsbridge, dublin 4",,D04
4434733,53.38132370000001,-6.2490811," 47 iveragh road, whitehall, dublin 9",D09HW08,D09
4359008,53.5259587,-6.1762599," 47 kelly park, lusk,   county dublin",,K45
4465944,53.2331087,-6.669355599999999," 47 landen park, oldtown demesne, naas, co.kildare, w91 hx57",W91 HX57,W91
4459684,53.40620429999999,-6.4290889," 47 littlepace crescent, clonee, dublin 15",,D15
4464312,53.387944,-6.408893099999999," 47 lohunda crescent clonsilla dublin 15, clonsilla, dublin 15",D15 AWY2,D15
4454240,53.2713799,-6.369879699999999," 47 marlfield terrace, kiltipper, dublin 24, dublin",D24TA47,D24
4465552,53.70774770000001,-6.353356400000001," 47 moran's terrace, drogheda, louth",,A92
4439101,53.2802359,-6.2918677," 47 palmer park, rathfarnham, dublin 16",D16DC60,D16
