G-ID,Lat (WGS84 GPS),Long (WGS84 GPS),X (TM65 IE Grid),Y (TM65 IE Grid)
20208,52.267463880299175,-7.101119948897246,261416.0,113191.0
20255,52.46639778308201,-7.694422498529012,220818.0,134991.0
2030,53.38961761394005,-6.306756724173673,312702.0,239028.0
2033,53.35774027298264,-6.2553585219148635,316208.0,235563.0
20585,53.98328859199837,-9.108403764272527,127334.0,304337.0
20427,52.60973045857703,-9.103675314563397,125284.0,151469.0
20534,53.869238878710526,-8.405601524773767,173367.0,291150.0
20229,52.732438843745356,-7.394413668341298,240959.0,164725.0
20475,53.27134198806543,-9.058277481173905,129444.21,225049.64
2076,53.56705215406284,-6.383902682724667,307122.0,258655.0
20308,51.91835656324452,-8.39684454066213,172745.0,74038.0
20325,52.104693664651755,-8.748761288503266,148745.0,94962.0
22222,53.47172338785914,-7.863520908083439,209112.0,246838.0
20571,54.24083558544882,-9.678760808202238,90600.0,333737.0
20547,53.60744628717104,-8.560177681302862,162969.0,262081.0
20390,52.05712150596323,-9.937064000613656,67187.0,91175.0
20347,51.7505606510226,-9.550705866748158,92959.0,56431.01
20211,52.3538416070606,-7.028009741721144,266278.0,122867.0
20428,52.56958858208181,-9.284507087000424,112955.0,147205.0
20177,52.372769525697706,-6.582881780458168,296565.0,125474.0
20588,53.9337301993645,-9.918479238080586,74046.0,299957.01
20283,52.4967707273353,-7.984696391850954,201089.0,138327.0
20232,52.630034727353966,-6.9944280357809125,268138.0,153632.0
20180,52.675041615508654,-6.2972569013360715,315223.0,159527.0
20507,53.067438364091075,-8.81818205913092,145203.0,202147.0
20236,52.54246766411249,-6.956766834172147,270829.0,143924.0
20103,53.778553691553434,-7.494213821871545,233393.0,281099.0
20598,54.39336613216689,-8.520743888216977,166222.0,349540.0
2043,53.14796613639136,-6.0631595941533405,329636.0,212550.0
20302,51.9034369920105,-8.496585877110977,165871.0,72420.0
20601,53.99296903561633,-8.515830192614693,166216.0,304969.0
2054,54.03163951633277,-6.5241563700815774,296755.0,310159.0
20169,52.864341961353034,-6.556977004663196,297234.0,180208.0
20479,53.47031603115674,-9.098310499763018,127114.0,247234.0
20417,52.66166724812851,-8.631609309166013,157313.0,156864.0
20245,52.64257572081292,-7.872904031809865,208653.0,154560.0
20434,52.475233454973576,-8.432455584415427,170664.0,136018.0
2029,53.3872921460248,-6.068993106152862,328526.0,239171.0
20502,53.24058695011895,-9.429563791070905,104606.0,222058.0
20336,51.76442425488859,-8.655446717727838,154798.0,57039.0
206,53.33824379520832,-6.2233342013018405,318394.0,233446.0
20369,52.17586827280325,-8.912579522200543,137620.0,103010.0
20535,54.05064923882682,-8.137296213105103,191056.0,311275.0
20345,51.75504430146497,-9.375318534234617,105080.0,56687.0
20591,53.97537464356828,-10.08224080424906,63428.0,304895.0
2058,53.728405172915146,-6.881214939831643,273892.0,275980.01
2098,53.621954198084275,-7.815098817911817,212284.0,263566.0
20398,51.878499182507,-9.581620788689714,91133.0,70711.0
20638,55.137136378968364,-7.666326718220733,221329.0,432265.0
2036,53.33897817123413,-6.270238036575657,315268.0,233451.0
2093,53.36854658678892,-7.4991770674153955,233387.0,235463.0
20341,51.673531820289774,-8.690114414525004,152309.0,46948.0
2069,53.40384283168407,-6.672496348818116,288341.0,240096.0
20523,53.33137582037104,-8.401657178259176,173289.0,231284.0
20129,53.176181491135324,-7.728833567077193,218181.0,213971.0
20148,53.12914139049575,-6.746567647749939,283951.0,209436.0
20146,53.156038106972076,-6.907264949767331,273149.0,212253.0
20315,52.24543957997241,-8.429619762632889,170705.0,110446.0
20460,52.67460178094078,-9.105841231350492,125248.0,158690.0
20461,52.68240567386385,-9.644721435093027,88819.0,160254.01
20583,53.87335895500772,-8.843447121189653,144570.0,291862.0
20228,52.652442997986824,-7.259726713038376,250149.0,155908.0
20221,52.17732123489257,-7.335107752459452,245534.0,102988.0
20559,54.21410127769032,-9.22051039852936,120423.0,330148.0
20462,52.806663486612166,-8.443666889433668,170129.0,172905.0
20396,52.062401785506964,-9.512385205267984,96326.0,91071.0
20330,51.93975740525371,-7.994968196755849,200396.0,76345.0
20246,52.568523066356285,-7.67282938140491,222234.0,146362.0
20693,54.01175296031553,-7.525936918599466,231128.0,307041.0
20492,53.165885533705215,-8.294193387402009,180373.0,212831.01
20392,52.10649754600937,-9.78714888090826,77604.0,96405.0
2084,53.514714515987606,-7.139659706791872,257122.0,251959.0
20212,52.314563158722,-7.174847361396193,256323.0,118372.0
20640,55.02949552022804,-7.778514071290663,214212.0,420253.0
20222,52.20619239446115,-7.4213311323392706,239610.0,106150.0
20573,53.58260111873209,-9.123791698395726,125619.0,259757.0
204,53.341866088698616,-6.304265488048896,312994.0,233718.0
20436,52.39838189151488,-8.575765459961575,160858.0,127534.0
20223,52.24624784766058,-7.245045762910242,251615.0,110718.0
20240,52.46091781332881,-7.329281650722036,245640.0,134549.0
20176,52.17866273175262,-6.583725696502872,296930.0,103875.0
20680,53.8584681950978,-7.317913545723746,244930.0,290091.0
20497,53.23021888409321,-8.452446713738912,169834.0,220046.0
20455,52.64106686159322,-9.481074809753931,99791.0,155414.0
20252,52.36152414409733,-7.579801401252593,228676.0,123360.0
20581,53.84605366890051,-9.005758506639895,133851.0,288962.0
20524,53.23757892963811,-8.271335358219254,181932.0,220804.0
20316,52.17625574472566,-8.249564760843105,182977.0,102690.0
20683,53.90431108986489,-6.8067569023996075,278477.0,295638.0
20615,54.44577488271175,-8.286957093155571,181432.0,355287.0
2085,53.45592355310146,-7.102807826509307,259649.0,245446.0
20130,53.09841593044796,-7.722142949703856,218662.0,205318.0
20340,51.70631608112974,-8.525484570354518,163724.0,50501.0
20510,53.14047521975268,-8.939728284681571,137162.0,210375.0
20575,53.7953674607966,-8.918835662371679,139499.0,283243.0
20410,52.33066460598678,-9.385309011907472,105611.0,120746.0
20101,53.671008456457635,-7.985277265544293,201022.0,269010.0
2051,53.689200341649816,-6.243995079263054,316055.0,272468.0
20478,53.35705539603457,-8.931297328183426,138040.0,234471.0
20226,52.16932859419004,-7.521634026188019,232780.0,101998.0
20504,53.2943001625138,-9.655082407688704,89689.0,228360.0
2011,53.367379959637276,-6.498246526984434,300015.0,236268.0
20485,53.554206116725645,-9.947671001316195,70971.0,257774.0
20619,54.95469465525841,-7.736424775613654,216935.0,411935.0
