S-ID,Name,Type,Ranking,Num Pupils
12456M,TIMOLEAGUE N S,primary,,177
12467R,CRAGGAGH N S,primary,,37
12473M,GREENMOUNT MONASTERY NS,primary,,237
12476S,SLIEVERUE MIXED N S,primary,,226
12488C,GILSON NATIONAL SCHOOL,primary,,267
12502Q,S N EANNA,primary,,23
12505W,KILBARRY N S,primary,,47
12529N,ST SAVIOURS N S,primary,,106
12535I,S N URSULA NAOFA,primary,,705
12537M,CARN N S,primary,,121
12540B,CLONMORE N S,primary,,68
12554M,St Patrick's National School,primary,,273
12568A,SN INBHEAR,primary,,56
12569C,S N ROS DUMHACH,primary,,22
12574S,LURGA N S,primary,,88
12587E,COOLARD MXD N S,primary,,121
12598J,ARDAGH BOYS SENIOR NATIONAL SCHOOL,primary,,51
12606F,CRUMLIN N S,primary,,123
12613C,GLENBROHANE N S,primary,,42
12631E,PALLASKENRY N S,primary,,137
12633I,COOLMEEN N S,primary,,12
12676D,CLOGHEEN MXD N S,primary,,161
12683A,ST. JOHNS NATIONAL SCHOOL,primary,,54
12685E,RUSHNACAHARA N S,primary,,33
12688K,KILTEGAN N S,primary,,18
12692B,KILADOOLEY MIXED N S,primary,,106
12701W,SCOIL AN FHAILL MOR,primary,,56
12706J,SN SAILEARNA,primary,,200
12736S,NAOMH GUASACHTA N S,primary,,51
12741L,MARSHALSTOWN N S,primary,,197
12754U,S N CNOC AN SAMHRAIDH,primary,,266
12755W,KILDARE PLACE N S,primary,,206
12767G,S N RONAIN NAOFA,primary,,24
12782C,BUNSCOIL NAOMH CHUANA,primary,,190
12788O,FLOWERFIELD N S,primary,,45
12792F,SAINT MICHAELS N S,primary,,14
12813K,ST COLUMBAS MXD N S,primary,,38
12816Q,S N CEATHRU AN CHLOCHAR,primary,,33
12820H,SCOIL REALT NA MARA,primary,,148
12832O,SCOIL MHUIRE B,primary,,386
12834S,ST MICHAELS,primary,,126
12841P,ST PATRICKS N S,primary,,98
12848G,DOONAHA N S,primary,,15
12875J,DOUGLAS NATIONAL SCHOOL,primary,,17
12897T,UGHTYNEILL N S,primary,,29
12936D,CLOONLYON N S,primary,,47
12938H,S N TAMHNIGHAN FHEADHA,primary,,22
12946G,S N COILM CILLE,primary,,53
12954F,S N BHRIDE,primary,,248
12964I,S N NAOMH SEOSAMH,primary,,113
12967O,INCHIGEELA N S,primary,,49
12975N,ST JOSEPHS CONVENT,primary,,230
12998C,S N CIANOG NAOFA,primary,,100
13020D,OUR LADY OF MERCY N S,primary,,96
13026P,KILFINANE CONVENT PRIMARY SCHOOL,primary,,143
13031I,ST JOSEPHS CONVENT N S,primary,,211
13047A,S N LIOS A CUILL M,primary,,95
13080V,KILMOVEE IN S,primary,,51
13095L,S N AN DROMA MHOIR,primary,,70
13105L,ST BRIDGETS MONASTERY BOYS SENIOR SCHOOL,primary,,147
13118U,CLARA CONVENT N S,primary,,217
13125R,SCOIL DHAIRBHRE,primary,,41
13145A,S N NAOMH COLM CILLE,primary,,187
13150Q,KNOCKANES MXD N S,primary,,63
13152U,ST JOSEPHS N S,primary,,101
13165G,KILBERRY N S,primary,,97
13173F,PADDOCK N S,primary,,82
13174H,ST COLUMBAS N.S.,primary,,3
13191H,HIGH ST MIXED N S,primary,,64
13196R,Taunagh National School,primary,,27
13198V,ST ANNES CON N S,primary,,121
13203L,ST PATRICKS MXD N S,primary,,93
13217W,HOLY FAMILY NATIONAL SCHOOL,primary,,708
13222P,SN GLEANN A CHAISIL,primary,,58
13224T,ST KEVIN'S BALLYCOOG NS,primary,,23
13225V,CORMAIC NFA,primary,,40
13234W,CLOUGHDUV N S,primary,,121
13242V,CASTLEROCK N S,primary,,38
13246G,MONEYSTOWN N S,primary,,116
13262E,CLOVER HILL N S,primary,,65
13271F,FAIRGREEN N S,primary,,40
13286S,TIRELTON N S MXD,primary,,82
13299E,GLANBRIAN N S,primary,,85
13311O,ST PATRICKS NS,primary,,16
13313S,"St. John's National School,",primary,,26
13320P,FERMOYLE MIXED N S,primary,,115
13328I,ST PATRICKS N S,primary,,201
13335F,COURT N S,primary,,132
13343E,SCOIL BHRIDE,primary,,83
13350B,SCOIL BRIDE,primary,,318
13365O,SCOIL MHUIRE,primary,,437
13375R,SCOIL BHRIDE,primary,,215
13379C,S N PADRAIG NFA FANOIR,primary,,29
13383Q,S N AN TSRAITH,primary,,17
13389F,SN AN TRIAN LAIR,primary,,71
13402R,KNOCKRAHA N S,primary,,165
13404V,Scoil Mhuire Gan Smál,primary,,120
13415D,SN TUAIRINI,primary,,85
13418J,BALLYEA MIXED N S,primary,,208
13444K,S N BEAL ATHA NA HEIN,primary,,85
13447Q,SCOIL MHUIRE,primary,,638
13450F,Bunscoil Rinn an Chabhlaigh,primary,,724
13459A,S N GALLBHAILE,primary,,118
13483U,S N ATH NA LIONTA,primary,,90
13498K,CLOONFOUR N S,primary,,24
13500R,MOUNT PLEASANT N S,primary,,86
13507I,S N MUIRE LOURDES,primary,,251
13512B,SCOIL MHUIRE LOURDES,primary,,389
13530D,SCOIL MHUIRE,primary,,404
13540G,MURHUR N S,primary,,68
13543M,DERRINACAHARA N S,primary,,57
13555T,S N FAITCHE,primary,,98
13563S,S N CHILL COINNIGH,primary,,20
13571R,DRUMRANEY MIXED N S,primary,,27
13597M,ST ANDREWS N S,primary,,212
13607M,ST COLUMBAS N S,primary,,59
13611D,PRESENTATION PRIMARY SCHOOL,primary,,191
13612F,PRESENTATION PRIMARY SCHOOL,primary,,582
13615L,SCOIL EOIN,primary,,629
13621G,S N MUIRE,primary,,84
13625O,KILNAMONA N S,primary,,107
13632L,ANNALITTEN N S,primary,,24
13635R,BALLYDUFF N S,primary,,229
13643Q,EMO MIXED N S,primary,,209
13647B,CASTLEMARTYR N S,primary,,259
13648D,ST LUKES MXD N S,primary,,83
13656C,ANNADUFF MXD N S,primary,,201
13659I,BEACAN MIXED N S,primary,,150
13661S,DUNMANWAY CONVENT GIRLS SENIOR NATIONAL SCHOOL,primary,,100
13662U,DUNMANWAY CONVENT INF,primary,,99
13663W,LOWER GLANMIRE N S,primary,,127
13665D,S N AN CILLIN,primary,,73
13667H,SN MUINE CHONALLAIN,primary,,85
13670T,DULARGY MIXED N S,primary,,196
13678M,KILLURNEY N S,primary,,32
13679O,DELGANY N S,primary,,227
13684H,SCOIL CHROÍ RÓ NAOFA BEANNCHOR IORRAIS,primary,,38
13686L,S N NAOMH IOSEF,primary,,92
13696O,ST VINCENTS CONVENT N S,primary,,271
13699U,S N COLMCILLE,primary,,28
13728B,CASTLETOWNSEND MXD N S,primary,,126
13730L,CLOHANES N S,primary,,29
13738E,BURRANE N S,primary,,28
13741Q,RATH MIXED N S,primary,,219
13747F,RIVERSTOWN N S,primary,,707
13752V,NAOMH PADRAIG N S,primary,,48
13755E,GARTAN N S,primary,,19
13757I,TARMON N S,primary,,179
13758K,TEMPLEMARY N S,primary,,39
13773G,S N GORT AN EADAIN,primary,,22
13775K,ST PATRICKS N S,primary,,59
13779S,S N DHROM ATHAIN,primary,,238
13781F,BREAFFY N S,primary,,417
13790G,BULGADEN N S,primary,,28
13797U,LECANVEY N S,primary,,31
