P-ID,P-Lat,P-Long,S-ID,S-Lat,S-Long,Closest School (km),# Sec Schools < 5km
4461114,51.87252460000001,-8.4178117,62691G,51.88350429999999,-8.4437439,2.157671079721861,11.0
4443714,51.86391560000001,-8.438647,62691G,51.88350429999999,-8.4437439,2.2033292786016667,12.0
4468889,51.86992619999999,-8.4139649,62691G,51.88350429999999,-8.4437439,2.540195741544564,7.0
4432045,51.88162879999999,-8.4532291,62691G,51.88350429999999,-8.4437439,0.6835490895132339,19.0
4432040,51.8845935,-8.458837599999999,62692I,51.8845041,-8.462411099999999,0.2454678522311773,19.0
4398125,51.88016260000001,-8.4916951,62693K,51.883843799999994,-8.4784426,0.9972761006998933,18.0
4438368,51.87763899999999,-8.493547699999999,62693K,51.883843799999994,-8.4784426,1.2449120107674423,18.0
4449381,51.88477229999999,-8.4802685,62693K,51.883843799999994,-8.4784426,0.16228827571155993,19.0
4459721,51.881157200000004,-8.4767261,62693K,51.883843799999994,-8.4784426,0.3207729963472637,19.0
4356651,51.8671283,-8.4881712,62693K,51.883843799999994,-8.4784426,1.972778154962719,17.0
4436658,51.90324589999999,-8.443409899999999,62730N,51.9083252,-8.454953300000001,0.9722593598585448,18.0
4435329,55.14474789999999,-7.4571372999999985,62770C,55.131218999999994,-7.4582273,1.5042840923600749,1.0
4468665,55.29008520000001,-7.1700016999999985,62770C,55.131218999999994,-7.4582273,25.411600515183334,0.0
4449683,54.95759449999999,-7.7586841,62830R,54.95174960000001,-7.7455758,1.059241143082747,2.0
4467521,55.1834711,-7.9694369000000025,62830R,54.95174960000001,-7.7455758,29.420978148051624,0.0
4425120,54.9588635,-7.7165898,62840U,54.9496892,-7.7411439,1.869870138462064,2.0
4378569,54.95401589999999,-7.7147436,62840U,54.9496892,-7.7411439,1.7529622674323977,2.0
4452386,54.9616826,-7.7247026,62840U,54.9496892,-7.7411439,1.6960419312454182,2.0
4447541,54.95478170000001,-7.717418200000001,62840U,54.9496892,-7.7411439,1.6171460845161132,2.0
4440195,54.954769999999996,-7.6218499999999985,62840U,54.9496892,-7.7411439,7.638362453309889,0.0
4452908,53.301035899999995,-8.7538882,62870G,53.2990914,-8.7619332,0.5765842843481267,1.0
4463323,53.30123390000001,-8.757629300000001,62870G,53.2990914,-8.7619332,0.37204671311011817,1.0
4468974,53.3254458,-8.1946794,62880J,53.32876210000001,-8.226946700000001,2.1743186895526634,2.0
4468734,53.47183199999999,-8.2691053,62900M,53.5243338,-8.3215176,6.783713579659482,0.0
4437321,53.2886542,-9.0811477,62980N,53.27098270000001,-9.067082899999999,2.173992853444289,7.0
4452302,53.28734470000001,-9.0817893,62980N,53.27098270000001,-9.067082899999999,2.063530166134098,7.0
4455004,53.25336579999999,-9.1552089,62981P,53.26468730000001,-9.0830859,4.959424625776718,1.0
4458005,53.261539299999995,-9.0737996,62981P,53.26468730000001,-9.0830859,0.7097231421683955,7.0
