Property ID,Latitude,Longitude,Latitude_rad,Longitude_rad,Dist_Nearest_Food_Amenity_to Property,Food_Amenity_id,Nearest_Food__Amenity_to_Property,Number_Food__Amenity_to_Property,Dist_Nearest_Outdoor_Amenity_to_Property,Outdoor_Amenity_id,Nearest_Outdoor_Amenity_to_Property,Number_Outdoor__Amenity_to_Property,Dist_Nearest_Shopping_Amenity_to_Property,Shopping_Amenity_id,Nearest_Shopping_Amenity_to_Property,Number_Shopping_Amenity_to_Property,Dist_Nearest_Cultural_Amenity_to_Property,Culture_Amenity_id,Nearest_Cultural_Amenity_to_Property,Number_culture_Amenity_to_Property,Dist_Nearest_Indoor_Amenity_to_Property,Indoor_Amenity_id,Nearest_Indoor_Amenity_to_Property,Number_indoor_Amenity_to_Property
4450697,52.6617881,-7.2607583999999985,0.9191215923325688,-0.12672414027183543,0.810336974226621,Act5223,Royal Spice Indian Restaurant,38.0,0.8916695798845675,Act4626,Newpark Fen and Eco-Park,18.0,0.9827415865223026,Act4831,Padmore & Barnes,8.0,0.6163530386324736,Act5622,St Canice's Cathedral and Round Tower,24.0,1.2977848283354394,Act3616,Kilkenny Ghost Tours,18.0
4437390,53.149173899999994,-6.7932535000000005,0.9276280792700353,-0.11856464049762862,3.3176747693573017,Act3450,Judge Roy Beans,3.0,0.16875274039686594,Act312,Athgarvan Pitch and Putt Club,6.0,2.989796060445116,Act4613,Newbridge Silverware Visitor Centre,2.0,2.989796060445116,Act4612,Newbridge Silverware - Museum of Style Icons,2.0,2.5424011339917594,Act1810,Curragh Military Museum,2.0
4291456,53.1595336,-6.1142756999999985,0.9278088901445544,-0.10671424233968103,1.5475611217760086,Act11150,Belmont Demesne,8.0,1.541156028126659,Act2474,DUPLICATE Fatbike Adventures,10.0,3.8447547527777868,Act143,AMOC Jewellery,1.0,2.929183559741874,Act3684,DUPLICATE Killruddery House,3.0,2.0923567477522864,Act6112,The Haven at The Glenview Hotel,5.0
4456439,52.3745296,-7.925247099999999,0.9141079857032287,-0.1383216559291323,0.06633489154384578,Act6053,The Galtee Inn,2.0,0.4323987937651422,Act1067,Cahir Self Guided Historic Town Walk,4.0,0.19057389341468162,Act1740,Craft Granary,1.0,7.513721873376968,Act485,Ballyhist Garden,0.0,0.12410755570923482,Act1064,Cahir Castle,3.0
4352883,53.40021479999999,-9.2608785,0.9320095695322052,-0.16163282145215369,8.334301790513004,Act1612,Connemara Marble Visitor Centre,0.0,2.9634916579248647,Act4808,Oughterard Golf Club,2.0,8.334301790513004,Act1612,Connemara Marble Visitor Centre,0.0,2.287954141205069,Act346,Aughnanure Castle,3.0,3.611124949000174,Act890,Brigit's Garden (Gairdín Bhríde),2.0
4428522,53.71704279999999,-6.358594600000001,0.9375392612947137,-0.11097841156953185,0.13589931811777264,Act406,Balbriggan Fish and Farmers Market,5.0,0.7459252433858373,Act5008,Quay Cycles Bicycle Hire,2.0,0.6675502547236402,Act5974,The Crafty Fox,4.0,0.6897345402467704,Act3060,Highlanes Municipal Art Gallery,3.0,0.41127534365476054,Act5646,"St Peter's Roman Catholic Church, Drogheda",9.0
4448680,53.44961,-6.182518399999998,0.9328716784068863,-0.10790530214513176,1.2974426252377493,Act8646,Avoca Malahide,28.0,1.2953630319031246,Act4176,Malahide Castle and Gardens,11.0,7.6585018400904925,Act4765,Omni Park Shopping Centre,0.0,1.6092719714299772,Act8654,Casino Model Railway Museum,11.0,4.736201363502208,Act4960,Portmarnock Beach,1.0
4436334,53.330462,-8.222742,0.9307921535097201,-0.14351392144202357,20.522038292956303,Act6157,The Irish Whiskey Trail,0.0,3.2384753296424535,Act430,Ballinasloe Golf Club,1.0,21.13042205608312,Act5856,The Bastion Gallery,0.0,7.07168176842632,Act5857,The Battle of Aughrim Visitor Centre,0.0,15.709064668926374,Act1507,Clonmacnoise - Monastic site,0.0
4452561,52.31950459999999,-9.715844,0.9131476182823186,-0.16957346741013596,3.4917370257326,Act534,Ballyroe Heights Hotel Bar & Restaurant,5.0,4.037428940810514,Act3227,Ireland Walk Hike Bike,2.0,5.110846964926418,Act6913,Waterworld Tralee,0.0,4.244896335817933,Act3815,Kyrie Eleison Abbey,4.0,5.255802296651218,Act4737,Old Country Golf & Tours,0.0
4301685,53.248377000000005,-6.179805,0.9293594999932207,-0.10785794438120817,2.159320279857615,Act3939,Leopardstown Farmers Market,13.0,0.5826044409713186,Act1166,Carrickmines Golf Club,16.0,1.4969536700202277,Act3725,Kilternan Country Market,2.0,0.1644004336901106,Act3788,Knockcree Gardens,4.0,1.2429814478072294,Act2860,GoQuest,7.0
