Property ID,Latitude,Longitude,Latitude_rad,Longitude_rad,Dist_Nearest_Food_Amenity_to_Property,Food_Amenity_id,Nearest_Food__Amenity_to_Property,Number_Food__Amenity_to_Property,Dist_Nearest_Outdoor_Amenity_to_Property,Outdoor_Amenity_id,Nearest_Outdoor_Amenity_to_Property,Number_Outdoor__Amenity_to_Property,Dist_Nearest_Shopping_Amenity_to_Property,Shopping_Amenity_id,Nearest_Shopping_Amenity_to_property,Number_Shopping_Amenity_to_Property,Dist_Nearest_Culture_Amenity_to_Property,Culture_Amenity_id,Nearest_Culture_Amenity_to_property,Number_Culture_Amenity_to_Property,Dist_Nearest_Indoor_Amenity_to_Property,Indoor_Amenity_id,Nearest_Indoor_Amenity_to_property,Number_Indoor_Amenity_to_Property
4457566,53.8965609,-7.7592316,0.940672443,-0.135424139,11.46733982,Act1735,Cox's Bar and Steak House,0,4.293258935,Act427,Ballinamuck Bog Loop,1,22.61733185,Act3920,Leitrim Crystal,0,4.442660846,Act428,Ballinamuck Visitor Centre,1,21.85965532,Act359,Aura Leitrim Leisure Centre,0
4467391,53.6071155,-6.9681373,0.935620668,-0.121616939,12.9909371,Act836,Bounty Bar,0,5.013786039,Act441,Ballinlough Castle Golf Club,0,19.25662578,Act4586,Navan Shopping Centre,0,4.989600082,Act4303,Mellowes Adventure & Childcare,1,12.02747088,Act4174,Majestic Irish Travels,0
4466817,53.9762223,-7.3565771,0.942062797,-0.128396492,1.544572817,Act6277,The Oak Room Restaurant,3,3.314070498,Act1715,County Cavan Golf Club,2,41.69406227,Act1163,Carrickmacross Lace Gallery,0,1.892302426,Act1279,Cavan Heritage and Genealogy Centre,3,1.50737054,Act300,Astra Bowl,6
4446314,54.0036705,-6.4199936,0.942541858,-0.112050026,0.892133645,Act6170,The Jockey's,8,1.501071482,Act6493,The Táin Way,2,1.299075159,Act4233,Marshes Shopping Centre,1,1.498234516,Act1719,County Museum Dundalk,4,1.27087712,Act165,An Táin Arts Centre,4
4421412,54.0160556,-6.3103519,0.942758019,-0.110136418,1.357368263,Act2537,Fitzpatricks Bar & Restaurant,2,3.252130611,Act512,Ballymascanlon Golf Course,2,3.259767013,Act1021,By Gone Times,1,5.810765476,Act1719,County Museum Dundalk,0,3.41216275,Act4989,Proleek Dolmen,1
4446417,53.4700896,-6.3600794,0.933229115,-0.111004326,3.644964763,Act6546,The White House Dublin,2,2.269177729,Act905,Broadmeadow Equestrian Centre,5,5.037829392,Act1353,Chez Emily Fine Handmade Chocolates,0,3.973241489,Act6572,Thomas Diem Pottery,1,6.156712313,Act410,Balheary Shooting,0
4459421,53.3573928,-6.5056182,0.931262185,-0.113544457,1.15595852,Act1837,Da Vincis Restaurant,8,1.108019137,Act6397,The Royal Canal Way,11,7.598419376,Act3961,Liffey Valley Shopping Centre,0,1.195034359,Act5640,St Mary's Church Leixlip,6,1.119354403,Act3925,Leixlip Castle,9
4451088,52.5090985,-9.6761004,0.916456656,-0.168879811,0.222116483,Act4293,McMunn's of Ballybunion,3,1.558089328,Act458,Ballybunion Golf Club,5,0.272099968,Act1800,Cullotycraft,2,0.251384078,Act455,Ballybunion Beach,3,0.065871429,Act459,Ballybunion Health and Leisure Centre,2
4445897,53.710623,-6.41192,0.937427215,-0.111909115,3.696197053,Act406,Balbriggan Fish and Farmers Market,5,1.840922462,Act844,Boyne Boats,5,2.067179111,Act1841,Dalys Inn,3,1.605821982,Act595,Battle of the Boyne Visitor Centre,2,2.458750584,Act355,Aura Drogheda Leisure Centre,8
4431875,51.8289492,-8.0089573,0.904585811,-0.139782675,6.061141968,Act511,Ballymaloe House Restaurant,0,0.518330569,Act468,Ballycotton Island Lighthouse Tours,1,2.781413709,Act5693,Stephen Pearce Pottery,1,2.781413709,Act6289,Shanagarry Potters,2,0.546337348,Act469,Ballycotton Sea Adventures,2
