School,FullAddress,Latitude,Longitude
"Presentation Secondary School, Mitchelstown, Co Cork","Presentation Secondary School, Church Rd, Brigown, Mitchelstown, Co. Cork, Ireland",52.2654128,-8.2653065
"Scoil Mhuire gan Smal, Roscommon, 9Scoil Mhuire gan Smal","Convent of Mercy, Convent Rd, Ardnanagh, Roscommon, Ireland",53.6280154,-8.1966823
"Gaelcholaiste Cheatharlach, Askea, Co Carlow","Gaelcholáiste Ceatharlach, Askea, Carlow, Ireland",52.8368409,-6.9108865
"Coláiste Ghobnait, Inis O\xc3\xadrr, Aran Islands","Inisheer, Co. Galway, Ireland",53.063474,-9.5225605
"Presentation College, Athenry, Co Galway","L3103, Prospect, Athenry, Co. Galway, Ireland",53.2990914,-8.7619332
"Loreto Secondary School, Spawell Road, Co Wexford","Pembroke Hill, Ballynagee, Wexford, Co. Wexford, Ireland",52.3226218,-6.4854942
"Scoil Chaitriona, Glasnevin, Dublin 9","St Mobhi Rd, Glasnevin, Dublin 9, D09 TW99, Ireland",53.3745441,-6.2623067
"Laurel Hill Secondary School FCJ, South Circular Road, Limerick","S Circular Rd, Laurel Hill Ave, Limerick, Ireland",52.6549898,-8.6363918
"St Colmcille''s Community School, Knocklyon, Dublin 16","Scholarstown Rd, Knocklyon, Dublin, Co. Dublin, D16 H298, Ireland",53.2786269,-6.315072
"Colaiste Muire, Ennis, Co Clare","Coláiste Muire, Rae an Chairdis, Lifford, Inis, Co. Contae an Chláir, Ireland",52.8469905,-8.9854667
"Loreto Secondary School, Granges Road, Kilkenny","Granges Rd, Bishopsmeadows, Kilkenny, Co. Kilkenny, R95 W2NV, Ireland",52.6589505,-7.2606511
"Terenure College, Terenure, Dublin 6W","Templeogue Rd, Terenure, Dublin, D6W DK72, Ireland",53.3038,-6.2942162
"East Glendalough School, Station Road, Wicklow","Station Rd, Glebe, Wicklow, A67 PC52, Ireland",52.9875182,-6.0540988
"St Peter''s College, Dunboyne, Co Meath","Station Rd, Bracetown, Dunboyne, Co. Meath, Ireland",53.4185002,-6.468379
"Loreto College, Cavan, ","Loreto College, Drumlark, Cavan, H12 WV60, Ireland",54.0127666,-7.3737017
"Eureka Secondary School, Kells, Co Meath","Cavan Rd, Townparks, Kells, Co. Meath, A82 R6C4, Ireland",53.7304775,-6.8860615
"Our Lady''s Bower, Athlone, Co Westmeath","Retreat Rd, Aghacocara, Athlone, Co. Westmeath, Ireland",53.4225836,-7.9220011
"Colaiste Oiriall, Monaghan                           , ","Knockaconny, Monaghan, Ireland",54.2625795,-6.9504065
"Colaiste Na Toirbhirte, Bandon, Co Cork","Ard Aoibhinn, Bandon, Co. Cork, P72 FW28, Ireland",51.740204,-8.731043
"St Joseph''s College, Thurles, Co Tipperary","1 Pallas St, Borrisland South, Borrisoleigh, Co. Tipperary, E41 X228, Ireland",52.748946,-7.9599165
"Castletroy College, Newtown, Co Limerick","Newtown, Castletroy, Co. Limerick, V94 6D85, Ireland",52.6631336,-8.5408984
"Calasanctius College, Oranmore, Co Galway","Oranmore, Innplot, Oranmore, Co. Galway, Ireland",53.267645,-8.9332681
"St Joseph''s College, Lucan, Co Dublin","Lucan Rd, Esker North, Lucan, Co. Dublin, Ireland",53.3579268,-6.4409843
"Dominican College, Taylor''s Hill, Galway","Taylor's Hill Rd, Rosary Ln, Galway, Ireland",53.2681461,-9.0760287
"Loreto Secondary School, Fermoy, Co Cork","College Rd, Fermoy, Co. Cork, Ireland",52.135928,-8.2773
"Gaelcholaiste Reachrann, Donaghmede, Dublin 13","Grange Abbey Rd, Grange Abbey, Dublin 13, D13 RW28, Ireland",53.3993137,-6.1561837
"St Kieran''s College Secondary School, College Road, Kilkenny","College Rd, Kilkenny, Ireland",52.6475799,-7.2549442
"Presentation Secondary School, Listowel, Co Kerry","106 Feale Dr, Listowel, Co. Kerry, V31 AH76, Ireland",52.448081,-9.4937056
"Malahide Community School, Malahide, Co Dublin","Broomfield, Malahide, Co. Dublin, Ireland",53.438265,-6.1526534
"Ashton School, Blackrock Road, Cork","27 Boreenmanna Rd, Belfield Abbey, Ballintemple, Cork, Ireland",51.8925892,-8.4518135
"Mount St Michael, Claremorris, Co Mayo","Convent of Mercy, Claremount, Claremorris, Co. Mayo, Ireland",53.732416,-9.0014401
"Scoil Mhuire, Ballingeary, Co Cork (G)","Illauninagh West, Ballingeary, Co. Cork, P12 YP62, Ireland",51.8479875,-9.235342
"Sacred Heart Secondary School, Clonakilty, Co Cork","10 Convent Ct, Scartagh, Clonakilty, Co. Cork, P85 KW28 Convent Ct, Scartagh, Clonakilty, Co. Cork, P85 KW28, Ireland",51.6269542,-8.8799914
"St Gerald''s College, Castlebar, Co Mayo","Newport Rd, Garryduff, Castlebar, Co. Mayo, Ireland",53.8574365,-9.3080468
"Salesian College, Celbridge, Co Kildare","Maynooth Rd, Crodaun, Celbridge, Co. Kildare, Ireland",53.3583155,-6.5523368
"Seamount College, Kinvara, Co Galway","Kinvarra, Dungory West, Kinvara, Co. Galway, Ireland",53.1387045,-8.9352155
"Meanscoil Iognaid Ris, Naas, Co Kildare","Corban's Ln, Naas East, Naas, Co. Kildare, Ireland",53.2157141,-6.6614147
"St Brigid''s Secondary School, Killarney, Co Kerry","New St, Monearmore, Killarney, Co. Kerry, Ireland",52.0585011,-9.515911
"Colaiste Choilm, Ballincollig, Co Cork","Ballincollig, Carrigrohane, Ballincollig, Co. Cork, Ireland",51.8897506,-8.580173
"Colaiste An Phiarsaigh, Glanmire, Co Cork (B)","Poulacurry South, Glanmire, Co. Cork, Ireland",51.9180756,-8.398856
"Pobalscoil Chorca Dhuibhne, Bothar an Spa, Dingle","Pobalscoil Chorca Dhuibhne, Spa Rd, Grove, Dingle, Co. Kerry, Ireland",52.143275,-10.2672394
"Villiers Secondary School, North Circular Road, Limerick (B)","N Circular Rd, Limerick, Ireland",52.6615983,-8.6584185
"St Aloysius'' College, Carrigtwohill, Co Cork","Carrig Downs, Carrigtohill, Co. Cork, Ireland",51.9098686,-8.2593207
