,School,FullAddress,Latitude,Longitude
2955,"Bracken Educate Together N.S., Castlelands, Balbriggan","Castleland Park View, Castleland, Balbriggan, Co. Fingal, Ireland",53.6006247,-6.1783021
2956,"St. Cynoc's National School, Ferbane, Co. Offaly","Church Street, Ferbane, Co. Offaly, Ireland",53.2724177,-7.830892899999999
2957,"Maynooth Educate Together National School, Celbridge Road, Maynooth","Railpark, Co. Kildare, Ireland",53.3700313,-6.5802201
2958,"Aston Village Educate Together National School, Dunlin Street, Aston Village","Dunlin St, Aston Village, Drogheda, Co. Louth, Ireland",53.7314136,-6.3299223
2959,"Carlow Educate Together NS, Bestfield, Athy Road","Athy Rd, Bestfield, Carlow Town, Co. Carlow, Ireland",52.8547699,-6.9279286
2960,"Greystones Educate Together National School, Blacklion, Greystones","Blacklion, Greystones, Co. Wicklow, Ireland",53.15182129999999,-6.085359800000001
2961,"Gaelscoil na gCloch Liath, Blacklion, Greystones","Blacklion, Coolagad, Blacklion, Co. Wicklow, Ireland",53.1517856,-6.0872288
2962,"Thornleigh Educate Together National School, Thornleigh Green, Applewood Village","Applewood, Swords, Co. Dublin, Ireland",53.4722057,-6.233788
2963,"Lucan East ETNS, Kishogue Cross, Off Griffeen Avenue","Kishogue Cross, Griffeen Avenue, Kishoge, Lucan, Co. Dublin, Ireland",53.3383042,-6.432605499999999
2964,"St. Francis of Assisi National School, Belmayne Avenue, Balgriffin","Balgriffin, Belmayne, Howth, Dublin, Ireland",53.4051578,-6.170372800000001
2965,"Skerries Educate Together National School, Kellys Bay, Skerries","Kelly's Bay Dr, Barnageeragh Cove, Skerries, Co. Dublin, K34 CX46, Ireland",53.583489,-6.134741699999999
2966,"Belmayne Educate Together National School, Belmayne Avenue, Dublin 13","Belmayne North, Donaghmede, Dublin 13, Ireland",53.4048048,-6.168488300000001
2967,"Mary Mother of Hope Junior National School, St Charles Houben Building, Littlepace","St Charles Houben Building, Littlepace Gallops, Huntstown, Dublin 15, Ireland",53.4048203,-6.4240013
2968,"Educate Together Carrigaline, Kilnagleary, Carrigaline","Kilnagleary, Kilnaglery, Carrigaline, Co. Cork, Ireland",51.80959,-8.382997999999999
2969,"Raheen Wood Community National School, Raheen Road, Tuamgraney","Raheen Rd, Raheen, Scarriff, Co. Clare, Ireland",52.8928521,-8.519742599999999
2970,"Mol an Óige Community National School, Glencree, Ennistymon","Ennistimon, Co. Clare, Ireland",52.940372,-9.2934951
2971,"Kilcolgan Educate Together NS, Kilcornan, Clarinbridge","Kilcornan, Clarinbridge, Co. Galway, Ireland",53.23080059999999,-8.8612568
2972,"Gaelscoil Lorgan, Baile na Lorgan, Co. Mhuineacháin","Moraghy, Castleblayney, Co. Monaghan, Ireland",54.120659,-6.7397374
2973,"Gaelscoil Éadan Doire, Cill Anna, Éadan Doire","Gaelscoil Éadan Doire, Killane, Monasteroris, Edenderry, Co. Offaly, R45 ED89, Ireland",53.3389147,-7.0716098
2974,"Wexford Educate Together National School, Whitemill, Clonard","Whitemill North, Wexford, Ireland",52.32844559999999,-6.487996099999999
