id,formatted_address,lat,lng,county,address,dateofsale,euro_price
159,"4 Ceide Diarmada, Castledermot, Ard a'Laoi, Co. Kildare, R14 AE48, Ireland",52.9096455,-6.8495093,Kildare,"4 CEIDE DIARMADA, ARD A LAOI, CASTLEDERMOT",04/11/2020,125000.00
158,"52 Seabury Lawns, Mornington, Co. Meath, A92 T6VH, Ireland",53.7151128,-6.25743,Meath,"52 SEABURY LAWNS, MORNINGTON, MEATH",04/11/2020,184504.00
156,"54 Old Bawn Rd, Oldbawn, Dublin 24, D24 A06A, Ireland",53.2827447,-6.3590092,Dublin,"54 OLD BAWN ROAD, TALLAGHT, DUBLIN 24",04/11/2020,316000.00
152,"Santry Cross, Ballymun, Dublin 11, Ireland",53.4003615,-6.2651253,Dublin,"APT 44, THE CHARTER, SANTRY CROSS DUBLIN 11",04/11/2020,125000.00
176,"Saint Jude's, 10 Eglinton Rd, Bray, Co. Wicklow, A98 PF66, Ireland",53.2037129,-6.1065544,Wicklow,"ST JUDES, 10 EGLINTON RD, BRAY",04/11/2020,525000.00
146,"Killarainy, Moycullen, Co. Galway, Ireland",53.3435034,-9.1777133,Galway,"13 DOIRE FEA, KILRAINEY, MOYCULLEN",04/11/2020,255179.00
147,"14 Castlegate Heath, Adamstown, Lucan, Co. Dublin, Ireland",53.3360582,-6.4558797,Dublin,"14 CASTLEGATE HEATH, ADAMSTOWN, LUCAN",04/11/2020,285000.00
173,"Leinster View, The Cools, Co. Wexford, Ireland",52.3213791,-6.587641,Wexford,"LEINSTER VIEW, BARNTOWN, CO WEXFORD",04/11/2020,317000.00
218,"Rathmolyon, Co. Meath, Ireland",53.4910486,-6.8036577,Meath,"THE MOAT, RATHMOLYON, MEATH",03/11/2020,600000.00
266,"Main St, Clontaff, Co. Cork, Ireland",51.5582329,-9.1408101,Cork,"MAIN ST, UNION HALL, CORK",03/11/2020,190000.00
236,"16 Owenabue Dr, Carrigaline West, Carrigaline, Co. Cork, P43 R272, Ireland",51.8163004,-8.4001356,Cork,"16 OWENABUE CLOSE, BALLEA RD, CARRIGALINE",03/11/2020,229000.00
241,"19 Cúirt Cregg, Bóthar Na Gaillimhe, Tullyvoheen, Clifden, Co. Galway, H71 T978, Ireland",53.4889886,-10.0030506,Galway,"19CUIRT CREGG, CLIFDEN, GALWAY",03/11/2020,190000.00
286,"Manor West, Co. Kerry, Ireland",52.2587414,-9.6826086,Kerry,"2 DEERPARK, MANOR WEST, TRALEE",03/11/2020,100000.00
